"Original","Part of","Count","File","Volume","Game","Level"
"BASIC SPEED","","1","Animal Companion","","Pathfinder","1"
"HEALTH","","2","Animal Companion","","Pathfinder","1"
"hp","","6","Animal Companion","","Pathfinder","1"
"Non-lethal","","2","Animal Companion","","Pathfinder","1"
"Wounds","","2","Animal Companion","","Pathfinder","1"
"Dying","","2","Animal Companion","","Pathfinder","1"
"Unconscious","","1","Animal Companion","","Pathfinder","1"
"Stable","","2","Animal Companion","","Pathfinder","1"
"HIT POINTS","","2","Animal Companion","","Pathfinder","1"
"COMBAT ABILITIES","","1","Animal Companion","","Pathfinder","1"
"DEFENCE","","1","Animal Companion","","Pathfinder","1"
"Damage Reduction","","2","Animal Companion","","Pathfinder","1"
"Spell Resistance","","2","Animal Companion","","Pathfinder","1"
"ARMOUR CLASS","","3","Animal Companion","","Pathfinder","1"
"FLAT-FOOTED","FLAT-FOOTED ARMOUR CLASS","2","Animal Companion","","Pathfinder","1"
"ARMOUR CLASS","FLAT-FOOTED ARMOUR CLASS","2","Animal Companion","","Pathfinder","1"
"TOUCH","TOUCH ARMOUR CLASS","2","Animal Companion","","Pathfinder","1"
"ARMOUR CLASS","TOUCH ARMOUR CLASS","2","Animal Companion","","Pathfinder","1"
"AC","","8","Animal Companion","","Pathfinder","1"
"Temp AC","","2","Animal Companion","","Pathfinder","1"
"Armour|& Shield","","1","Animal Companion","","Pathfinder","1"
"EFFECTS","","2","Animal Companion","","Pathfinder","1"
"SAVING THROWS","","1","Animal Companion","","Pathfinder","1"
"Evasion","","1","Animal Companion","","Pathfinder","1"
"Endurance","","1","Animal Companion","","Pathfinder","1"
"WILL","","2","Animal Companion","","Pathfinder","1"
"REF","","2","Animal Companion","","Pathfinder","1"
"FORT","","2","Animal Companion","","Pathfinder","1"
"WIS","","7","Animal Companion","","Pathfinder","1"
"WILL","WILL SAVE","2","Animal Companion","","Pathfinder","1"
"SAVE","WILL SAVE","2","Animal Companion","","Pathfinder","1"
"REFLEX","REFLEX SAVE","2","Animal Companion","","Pathfinder","1"
"SAVE","REFLEX SAVE","2","Animal Companion","","Pathfinder","1"
"Base Save","","2","Animal Companion","","Pathfinder","1"
"Temp","","2","Animal Companion","","Pathfinder","1"
"FORTITUDE","FORTITUDE SAVE","2","Animal Companion","","Pathfinder","1"
"SAVE","FORTITUDE SAVE","2","Animal Companion","","Pathfinder","1"
"CON","","4","Animal Companion","","Pathfinder","1"
"COMBAT MANEUVRE","COMBAT MANEUVRE|DEFENCE","1","Animal Companion","","Pathfinder","1"
"DEFENCE","COMBAT MANEUVRE|DEFENCE","1","Animal Companion","","Pathfinder","1"
"Natural|Armour","","1","Animal Companion","","Pathfinder","1"
"SAVES","","1","Animal Companion","","Pathfinder","1"
"Unconcious","","1","Animal Companion","","Pathfinder","1"
"COMBAT MANEUVRES","","1","Animal Companion","","Pathfinder","1"
"SPEED","","1","Animal Companion","","Pathfinder","1"
"INITIATIVE","","1","Animal Companion","","Pathfinder","1"
"COMBAT MANEUVRE","COMBAT MANEUVRE|BONUS","1","Animal Companion","","Pathfinder","1"
"BONUS","COMBAT MANEUVRE|BONUS","1","Animal Companion","","Pathfinder","1"
"PORTRAIT","","1","Animal Companion","","Pathfinder","1"
"SURVIVAL","","1","Animal Companion","","Pathfinder","1"
"Trained","","1","Animal Companion","","Pathfinder","1"
"Track","","1","Animal Companion","","Pathfinder","1"
"TRICKS / FEATS / SPECIAL ABILITIES","","1","Animal Companion","","Pathfinder","1"
"SKILLS","","1","Animal Companion","","Pathfinder","1"
"Racial, Feats","","1","Animal Companion","","Pathfinder","1"
"Ranks","","1","Animal Companion","","Pathfinder","1"
"Swim","","1","Animal Companion","","Pathfinder","1"
"Survival","","1","Animal Companion","","Pathfinder","1"
"Stealth","","1","Animal Companion","","Pathfinder","1"
"Sense Motive","","1","Animal Companion","","Pathfinder","1"
"Perception","","1","Animal Companion","","Pathfinder","1"
"Fly","","1","Animal Companion","","Pathfinder","1"
"Escape Artist","","1","Animal Companion","","Pathfinder","1"
"Climb","","1","Animal Companion","","Pathfinder","1"
"Acrobatics","","1","Animal Companion","","Pathfinder","1"
"EQUIPMENT","","1","Animal Companion","","Pathfinder","1"
"ABILITIES","","1","Animal Companion","","Pathfinder","1"
"MALE","","1","Animal Companion","","Pathfinder","1"
"FEMALE","","1","Animal Companion","","Pathfinder","1"
"EVIL","","1","Animal Companion","","Pathfinder","1"
"GOOD","","1","Animal Companion","","Pathfinder","1"
"CHAOTIC","","1","Animal Companion","","Pathfinder","1"
"LAWFUL","","1","Animal Companion","","Pathfinder","1"
"Ability Modifier = (Total Ability Score - 10) ÷ 2","","1","Animal Companion","","Pathfinder","1"
"Height","","1","Animal Companion","","Pathfinder","1"
"lb","","1","Animal Companion","","Pathfinder","1"
"Creature|Level","","1","Animal Companion","","Pathfinder","1"
"Age","","1","Animal Companion","","Pathfinder","1"
"Weight","","1","Animal Companion","","Pathfinder","1"
"Subtype","","1","Animal Companion","","Pathfinder","1"
"Creature Type","","1","Animal Companion","","Pathfinder","1"
"XP","","1","Animal Companion","","Pathfinder","1"
"Creature Name","","1","Animal Companion","","Pathfinder","1"
"HIT|DICE","","1","Animal Companion","","Pathfinder","1"
"SUMMONED CREATURE","","1","Animal Companion","","Pathfinder","1"
"ANIMAL COMPANION","","1","Animal Companion","","Pathfinder","1"
"MOUNT","","1","Animal Companion","","Pathfinder","1"
"FAMILIAR","","1","Animal Companion","","Pathfinder","1"
"CHA","","2","Animal Companion","","Pathfinder","1"
"INT","","2","Animal Companion","","Pathfinder","1"
"Temp|Bonus","","1","Animal Companion","","Pathfinder","1"
"Item|Bonus","","1","Animal Companion","","Pathfinder","1"
"Ability|Modifier","","1","Animal Companion","","Pathfinder","1"
"Ability|Score","","1","Animal Companion","","Pathfinder","1"
"Level","","15","Bard","","Pathfinder","1"
"Cause an enemy to die of joy or sorrow","","1","Bard","","Pathfinder","1"
"DEADLY PERFORMANCE","","1","Bard","","Pathfinder","1"
"Suggest actions to already fascinated creatures","","1","Bard","","Pathfinder","1"
"MASS SUGGESTION","","1","Bard","","Pathfinder","1"
"Enemies are frightened and flee your performance","","1","Bard","","Pathfinder","1"
"FRIGHTENING TUNE","","1","Bard","","Pathfinder","1"
"Mass Cure Serious Wounds|Removes the fatigued, sickened and shaken conditions","","1","Bard","","Pathfinder","1"
"SOOTHING PERFORMANCE","","1","Bard","","Pathfinder","1"
"INSPIRE COMPETENCE","","1","Bard","","Pathfinder","1"
"INSPIRE COURAGE","","1","Bard","","Pathfinder","1"
"Bonus to attack and damage rolls","","1","Bard","","Pathfinder","1"
"Bonus against charm and compulsion effects","","1","Bard","","Pathfinder","1"
"CHA","","4","Bard","","Pathfinder","1"
"Caster|Level","","1","Bard","","Pathfinder","1"
"Concentration","","1","Bard","","Pathfinder","1"
"(Round up)","","1","Bard","","Pathfinder","1"
"Bard|Level","","4","Bard","","Pathfinder","1"
"FASCINATE","FASCINATE|MAX AUDIENCE","1","Bard","","Pathfinder","1"
"MAX AUDIENCE","FASCINATE|MAX AUDIENCE","1","Bard","","Pathfinder","1"
"Rounds|Today","","1","Bard","","Pathfinder","1"
"Bard Level","","1","Bard","","Pathfinder","1"
"WILL","WILL SAVE DC","1","Bard","","Pathfinder","1"
"SAVE DC","WILL SAVE DC","1","Bard","","Pathfinder","1"
"TAKE 10","","1","Bard","","Pathfinder","1"
"TAKE 20","TAKE 20 PER DAY","1","Bard","","Pathfinder","1"
"PER DAY","TAKE 20 PER DAY","1","Bard","","Pathfinder","1"
"Able to take 10 on any skill","","1","Bard","","Pathfinder","1"
"All skills are considered class skills","","1","Bard","","Pathfinder","1"
"Use any skill as if you were trained","","1","Bard","","Pathfinder","1"
"Unlimited uses|per day","","1","Bard","","Pathfinder","1"
"Take 20 Today","","1","Bard","","Pathfinder","1"
"JACK OF ALL TRADES","","1","Bard","","Pathfinder","1"
"LORE MASTER","","1","Bard","","Pathfinder","1"
"Misc","","2","Bard","","Pathfinder","1"
"Bonus applies to saving throws against Bardic Performance, sonic|and language-dependent effects.","","1","Bard","","Pathfinder","1"
"Apply this bonus to all knowledge skills","","1","Bard","","Pathfinder","1"
"Bards can use all knowledge skills untrained","","1","Bard","","Pathfinder","1"
"KNOWLEDGE","KNOWLEDGE |BONUS","1","Bard","","Pathfinder","1"
"BONUS","KNOWLEDGE |BONUS","1","Bard","","Pathfinder","1"
"PERFORMANCES","","1","Bard","","Pathfinder","1"
"BARDIC PERFORMANCE","","1","Bard","","Pathfinder","1"
"+ 4 to all saving throws|+ 4 dodge bonus to","+ 4 to all saving throws|+ 4 dodge bonus to AC","1","Bard","","Pathfinder","1"
"AC","+ 4 to all saving throws|+ 4 dodge bonus to AC","1","Bard","","Pathfinder","1"
"INSPIRE HEROICS","INSPIRE HEROICS  MAX AFFECTED","1","Bard","","Pathfinder","1"
"MAX AFFECTED","INSPIRE HEROICS  MAX AFFECTED","1","Bard","","Pathfinder","1"
"Use bonus in place of...","","2","Bard","","Pathfinder","1"
"Diplomacy, Handle Animal","","1","Bard","","Pathfinder","1"
"Wind Instruments","","1","Bard","","Pathfinder","1"
"Bluff, Diplomacy","","1","Bard","","Pathfinder","1"
"String","","1","Bard","","Pathfinder","1"
"Bluff, Sense Motive","","1","Bard","","Pathfinder","1"
"Sing","","1","Bard","","Pathfinder","1"
"Handle Animal, Intimidate","","1","Bard","","Pathfinder","1"
"Percussion","","1","Bard","","Pathfinder","1"
"Diplomacy, Sense Motive","","1","Bard","","Pathfinder","1"
"Oratory","","1","Bard","","Pathfinder","1"
"Other:","","1","Bard","","Pathfinder","1"
"Diplomacy, Intimidate","","1","Bard","","Pathfinder","1"
"Keyboard|Instruments","","1","Bard","","Pathfinder","1"
"Acrobatics, Fly","","1","Bard","","Pathfinder","1"
"Dance","","1","Bard","","Pathfinder","1"
"Bluff, Intimidate","","1","Bard","","Pathfinder","1"
"Comedy","","1","Bard","","Pathfinder","1"
"Bluff, Disguise","","1","Bard","","Pathfinder","1"
"Act","","1","Bard","","Pathfinder","1"
"VERSATILE PERFORMANCE","","1","Bard","","Pathfinder","1"
"WELL-VERSED","","1","Bard","","Pathfinder","1"
"BARDIC KNOWLEDGE","","1","Bard","","Pathfinder","1"
"Cause enemies within 30ft to become shaken","","1","Bard","","Pathfinder","1"
"DIRGE OF DOOM","","1","Bard","","Pathfinder","1"
"Suggest actions to one already fascinated creature","","1","Bard","","Pathfinder","1"
"SUGGESTION","","1","Bard","","Pathfinder","1"
"Counter magical effects that depend on sight.|Allies within 30ft use Performance roll in place of a saving throw","","1","Bard","","Pathfinder","1"
"DISTRACTION","","1","Bard","","Pathfinder","1"
"Counter magical effects that depend on sound.|Allies within 30ft use Performance roll in place of a saving throw","","1","Bard","","Pathfinder","1"
"COUNTERSONG","","1","Bard","","Pathfinder","1"
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","1","Bard","","Pathfinder","1"
"2 × (d10 +","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Bard","","Pathfinder","1"
"CON","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Bard","","Pathfinder","1"
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Bard","","Pathfinder","1"
"INSPIRE GREATNESS","INSPIRE GREATNESS  MAX AFFECTED","1","Bard","","Pathfinder","1"
"MAX AFFECTED","INSPIRE GREATNESS  MAX AFFECTED","1","Bard","","Pathfinder","1"
"DURATION","DURATION|PER DAY","1","Bard","","Pathfinder","1"
"PER DAY","DURATION|PER DAY","1","Bard","","Pathfinder","1"
"rds","","1","Bard","","Pathfinder","1"
"Bards can wear light armour without risking|spell failure.","","1","Bard","","Pathfinder","1"
"SPELLS","","1","Bard","","Pathfinder","1"
"KNOWN SPELLS","","1","Bard","","Pathfinder","1"
"Bonus Spells","","1","Bard","","Pathfinder","1"
"CHA - 12","","1","Bard","","Pathfinder","1"
"CHA - 8","","1","Bard","","Pathfinder","1"
"CHA - 4","","1","Bard","","Pathfinder","1"
"Base|Spells","","1","Bard","","Pathfinder","1"
"Spells|per day","","1","Bard","","Pathfinder","1"
"Spell|Save DC","","1","Bard","","Pathfinder","1"
"Spells|Known","","1","Bard","","Pathfinder","1"
"Spell Save DC = 10 + CHA + Spell Level","","1","Bard","","Pathfinder","1"
"PREPARED SPELLS","","1","Bard","","Pathfinder","1"
"ARCANE SPELL FAILURE","ARCANE SPELL FAILURE THRESHOLD","1","Bard","","Pathfinder","1"
"THRESHOLD","ARCANE SPELL FAILURE THRESHOLD","1","Bard","","Pathfinder","1"
"BARD","","1","Bard","","Pathfinder","1"
"FEATS & SPECIAL ABILITIES","","1","Character Info","","Pathfinder","1"
"LANGUAGES","","1","Character Info","","Pathfinder","1"
"SKILLS","","1","Character Info","","Pathfinder","1"
"CHARACTER","","1","Character Info","","Pathfinder","1"
"ABILITIES","","1","Character Info","","Pathfinder","1"
"MALE","","2","Character Info","","Pathfinder","1"
"FEMALE","","2","Character Info","","Pathfinder","1"
"Size|Modifier","","1","Character Info","","Pathfinder","1"
"Size","","1","Character Info","","Pathfinder","1"
"Race","","1","Character Info","","Pathfinder","1"
"Name","","1","Character Info","","Pathfinder","1"
"rks","","1","Character Info","","Pathfinder","1"
"hp","","1","Character Info","","Pathfinder","1"
"SURVIVAL","","1","Character Info","","Pathfinder","1"
"Class|Skills","Class|Skills|+3","1","Character Info","","Pathfinder","1"
"Track","","1","Character Info","","Pathfinder","1"
"INT","","11","Character Info","","Pathfinder","1"
"CHA","","9","Character Info","","Pathfinder","1"
"Use Magical Device","","1","Character Info","","Pathfinder","1"
"STR","","5","Character Info","","Pathfinder","1"
"Swim","","1","Character Info","","Pathfinder","1"
"WIS","","7","Character Info","","Pathfinder","1"
"Knowledge: The Planes","","1","Character Info","","Pathfinder","1"
"Knowledge: Nature","","1","Character Info","","Pathfinder","1"
"Knowledge: Religion","","1","Character Info","","Pathfinder","1"
"Knowledge: Dungeoneering","","1","Character Info","","Pathfinder","1"
"Knowledge: Arcana","","1","Character Info","","Pathfinder","1"
"Survival","","1","Character Info","","Pathfinder","1"
"DEX","","10","Character Info","","Pathfinder","1"
"Stealth","","1","Character Info","","Pathfinder","1"
"Spellcraft","","1","Character Info","","Pathfinder","1"
"Sleight of Hand","","1","Character Info","","Pathfinder","1"
"Sense Motive","","1","Character Info","","Pathfinder","1"
"if larger/|smaller","","1","Character Info","","Pathfinder","1"
"Ride","","1","Character Info","","Pathfinder","1"
"Perception","","1","Character Info","","Pathfinder","1"
"Linguistics","","1","Character Info","","Pathfinder","1"
"Intimidate","","1","Character Info","","Pathfinder","1"
"Heal","","1","Character Info","","Pathfinder","1"
"Handle Animal","","1","Character Info","","Pathfinder","1"
"Fly","","1","Character Info","","Pathfinder","1"
"Escape Artist","","1","Character Info","","Pathfinder","1"
"Disguise","","1","Character Info","","Pathfinder","1"
"Disable Device","","1","Character Info","","Pathfinder","1"
"Diplomacy","","1","Character Info","","Pathfinder","1"
"Climb","","1","Character Info","","Pathfinder","1"
"Bluff","","1","Character Info","","Pathfinder","1"
"Appraise","","1","Character Info","","Pathfinder","1"
"INT","+ INT| per level","1","Character Info","","Pathfinder","1"
"per level","+ INT| per level","1","Character Info","","Pathfinder","1"
"CON","+ CON| per level","1","Character Info","","Pathfinder","1"
"per level","+ CON| per level","1","Character Info","","Pathfinder","1"
"+1 hp or skill rank per level","","1","Character Info","","Pathfinder","1"
"Favoured class","","1","Character Info","","Pathfinder","1"
"Acrobatics","","1","Character Info","","Pathfinder","1"
"Untrained","","1","Character Info","","Pathfinder","1"
"Hit Die","","1","Character Info","","Pathfinder","1"
"Level|Adjustment","","1","Character Info","","Pathfinder","1"
"Skill Ranks","","1","Character Info","","Pathfinder","1"
"Armour|Check|Penalty","","1","Character Info","","Pathfinder","1"
"Misc","","1","Character Info","","Pathfinder","1"
"Skill|Bonus","","1","Character Info","","Pathfinder","1"
"Racial,|Feats","","1","Character Info","","Pathfinder","1"
"Ranks","","1","Character Info","","Pathfinder","1"
"Knowledge - INT|Profession - WIS","","1","Character Info","","Pathfinder","1"
"Other skills:|Craft - INT|Perform - CHA","","1","Character Info","","Pathfinder","1"
"Level","","1","Character Info","","Pathfinder","1"
"CLASSES","","1","Character Info","","Pathfinder","1"
"Effective|Character|Level","","1","Character Info","","Pathfinder","1"
"EVIL","","1","Character Info","","Pathfinder","1"
"GOOD","","1","Character Info","","Pathfinder","1"
"CHAOTIC","","1","Character Info","","Pathfinder","1"
"LAWFUL","","1","Character Info","","Pathfinder","1"
"CON","","3","Character Info","","Pathfinder","1"
"Temp|Modifier","","1","Character Info","","Pathfinder","1"
"Temp|Score","","1","Character Info","","Pathfinder","1"
"Item|Bonus","","1","Character Info","","Pathfinder","1"
"Ability|Modifier","","1","Character Info","","Pathfinder","1"
"Ability|Score","","1","Character Info","","Pathfinder","1"
"Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down)","","1","Character Info","","Pathfinder","1"
"XP","","1","Character Info","","Pathfinder","1"
"Player","","1","Character Info","","Pathfinder","1"
"Campaign","","1","Character Info","","Pathfinder","1"
"Caster|Level","","4","Cleric","","Pathfinder","1"
"EVIL","","2","Cleric","","Pathfinder","1"
"GOOD","","2","Cleric","","Pathfinder","1"
"CHAOTIC","","2","Cleric","","Pathfinder","1"
"LAWFUL","","2","Cleric","","Pathfinder","1"
"ft","30 ft","1","Cleric","","Pathfinder","1"
"CHANNEL","CHANNEL|RANGE","2","Cleric","","Pathfinder","1"
"RANGE","CHANNEL|RANGE","2","Cleric","","Pathfinder","1"
"Radius centred|on the Cleric","","2","Cleric","","Pathfinder","1"
"PREPARED SPELLS","","4","Cleric","","Pathfinder","1"
"Domain Spell","","36","Cleric","","Pathfinder","1"
"Spell Save DC = 10 + WIS + Spell Level","","2","Cleric","","Pathfinder","1"
"WIS","","4","Cleric","","Pathfinder","1"
"Concentration","","2","Cleric","","Pathfinder","1"
"Cleric|Level","","6","Cleric","","Pathfinder","1"
"CHA","","4","Cleric","","Pathfinder","1"
"WILL","WILL|SAVE DC","2","Cleric","","Pathfinder","1"
"SAVE DC","WILL|SAVE DC","2","Cleric","","Pathfinder","1"
"d6","","2","Cleric","","Pathfinder","1"
"Misc","","6","Cleric","","Pathfinder","1"
"(Round up)","","2","Cleric","","Pathfinder","1"
"(Round down)","","2","Cleric","","Pathfinder","1"
"ENERGY","ENERGY|ROLL","2","Cleric","","Pathfinder","1"
"ROLL","ENERGY|ROLL","2","Cleric","","Pathfinder","1"
"CHANNEL ENERGY","","2","Cleric","","Pathfinder","1"
"SPELLS","","2","Cleric","","Pathfinder","1"
"DOMAINS","","2","Cleric","","Pathfinder","1"
"Evil Cleric","","2","Cleric","","Pathfinder","1"
"Inflict Wounds","","2","Cleric","","Pathfinder","1"
"Cure Wounds","","2","Cleric","","Pathfinder","1"
"Channel Negative Energy","","2","Cleric","","Pathfinder","1"
"Good Cleric","","2","Cleric","","Pathfinder","1"
"Channel Positive Energy","","2","Cleric","","Pathfinder","1"
"OF","","2","Cleric","","Pathfinder","1"
"CLERIC","","2","Cleric","","Pathfinder","1"
"4d8","","2","Cleric","","Pathfinder","1"
"3d8","","2","Cleric","","Pathfinder","1"
"2d8","","2","Cleric","","Pathfinder","1"
"1d8","","2","Cleric","","Pathfinder","1"
"Mass Spell Level","","2","Cleric","","Pathfinder","1"
"Bonus Spells","","2","Cleric","","Pathfinder","1"
"WIS - 12","","2","Cleric","","Pathfinder","1"
"WIS - 8","","2","Cleric","","Pathfinder","1"
"WIS - 4","","2","Cleric","","Pathfinder","1"
"Base|Spells","","2","Cleric","","Pathfinder","1"
"Spells|per day","","2","Cleric","","Pathfinder","1"
"Spell|Save DC","","2","Cleric","","Pathfinder","1"
"Spell Level","","2","Cleric","","Pathfinder","1"
"Level","","6","Cleric","","Pathfinder","1"
"+ Level","","8","Cleric","","Pathfinder","1"
"Heal / Harm","","2","Cleric","","Pathfinder","1"
"Critical Wounds","","2","Cleric","","Pathfinder","1"
"Serious Wounds","","2","Cleric","","Pathfinder","1"
"Moderate Wounds","","2","Cleric","","Pathfinder","1"
"Light Wounds","","2","Cleric","","Pathfinder","1"
"Uses|per day","","4","Cleric","","Pathfinder","1"
"Granted Power","","4","Cleric","","Pathfinder","1"
"DC","","4","Cleric","","Pathfinder","1"
"Today","","2","Cleric","","Pathfinder","1"
"CHANNEL","CHANNEL|PER DAY","2","Cleric","","Pathfinder","1"
"PER DAY","CHANNEL|PER DAY","2","Cleric","","Pathfinder","1"
"CURE / INFLICT","","2","Cleric","","Pathfinder","1"
"Domain","","4","Cleric","","Pathfinder","1"
"Size|Modifier","","6","Combat","","Pathfinder","1"
"BAB","","5","Combat","","Pathfinder","1"
"Base|Attack Bonus","","5","Combat","","Pathfinder","1"
"RANGED ATTACK","RANGED ATTACK|BONUS","1","Combat","","Pathfinder","1"
"BONUS","RANGED ATTACK|BONUS","1","Combat","","Pathfinder","1"
"DEX","","6","Combat","","Pathfinder","1"
"Misc","","7","Combat","","Pathfinder","1"
"MELEE ATTACK","MELEE ATTACK|BONUS","1","Combat","","Pathfinder","1"
"BONUS","MELEE ATTACK|BONUS","1","Combat","","Pathfinder","1"
"STR","","4","Combat","","Pathfinder","1"
"EFFECTS","","1","Combat","","Pathfinder","1"
"ARMOUR CLASS","","2","Combat","","Pathfinder","1"
"HEALTH","","1","Combat","","Pathfinder","1"
"COMBAT ABILITIES","","1","Combat","","Pathfinder","1"
"METAMAGIC","","1","Combat","","Pathfinder","1"
"FLAT-FOOTED","FLAT-FOOTED|CMD","1","Combat","","Pathfinder","1"
"CMD","FLAT-FOOTED|CMD","1","Combat","","Pathfinder","1"
"CMD","","3","Combat","","Pathfinder","1"
"Deflection|Modifier","","3","Combat","","Pathfinder","1"
"Dodge|Modifier","","2","Combat","","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|DEFENCE","1","Combat","","Pathfinder","1"
"DEFENCE","COMBAT MANOEUVRE|DEFENCE","1","Combat","","Pathfinder","1"
"Temp CMD","","1","Combat","","Pathfinder","1"
"CMB","","2","Combat","","Pathfinder","1"
"Temp CMB","","1","Combat","","Pathfinder","1"
"AC","","4","Combat","","Pathfinder","1"
"Temp AC","","1","Combat","","Pathfinder","1"
"Conditional Modifiers","","4","Combat","","Pathfinder","1"
"Damage Reduction","","1","Combat","","Pathfinder","1"
"Notes","","1","Combat","","Pathfinder","1"
"Spell Resistance","","1","Combat","","Pathfinder","1"
"Natural|Armour","","1","Combat","","Pathfinder","1"
"Shield AC","","1","Combat","","Pathfinder","1"
"Armour AC","","1","Combat","","Pathfinder","1"
"FLAT-FOOTED","FLAT-FOOTED ARMOUR CLASS","1","Combat","","Pathfinder","1"
"ARMOUR CLASS","FLAT-FOOTED ARMOUR CLASS","1","Combat","","Pathfinder","1"
"TOUCH","TOUCH ARMOUR CLASS","1","Combat","","Pathfinder","1"
"ARMOUR CLASS","TOUCH ARMOUR CLASS","1","Combat","","Pathfinder","1"
"hp","","3","Combat","","Pathfinder","1"
"Non-lethal","","1","Combat","","Pathfinder","1"
"Wounds","","1","Combat","","Pathfinder","1"
"Dying","","1","Combat","","Pathfinder","1"
"Unconscious","","1","Combat","","Pathfinder","1"
"Stable","","1","Combat","","Pathfinder","1"
"HIT POINTS","","1","Combat","","Pathfinder","1"
"SAVES","","1","Combat","","Pathfinder","1"
"WILL","","1","Combat","","Pathfinder","1"
"REF","","1","Combat","","Pathfinder","1"
"FORT","","1","Combat","","Pathfinder","1"
"WIS","","1","Combat","","Pathfinder","1"
"WILL","WILL SAVE","1","Combat","","Pathfinder","1"
"SAVE","WILL SAVE","1","Combat","","Pathfinder","1"
"REFLEX","REFLEX SAVE","1","Combat","","Pathfinder","1"
"SAVE","REFLEX SAVE","1","Combat","","Pathfinder","1"
"Improved|Evasion","","1","Combat","","Pathfinder","1"
"Trap|Sense","","1","Combat","","Pathfinder","1"
"Endurance","","1","Combat","","Pathfinder","1"
"Evasion","","1","Combat","","Pathfinder","1"
"Base","","1","Combat","","Pathfinder","1"
"Racial","","1","Combat","","Pathfinder","1"
"Temp","","1","Combat","","Pathfinder","1"
"FORTITUDE","FORTITUDE SAVE","1","Combat","","Pathfinder","1"
"SAVE","FORTITUDE SAVE","1","Combat","","Pathfinder","1"
"CON","","1","Combat","","Pathfinder","1"
"Temp Damage|Bonus","","1","Combat","","Pathfinder","1"
"Temp Attack|Bonus","","1","Combat","","Pathfinder","1"
"Power|Attack","","2","Combat","","Pathfinder","1"
"Nerfs","","2","Combat","","Pathfinder","1"
"Morale|Bonus","","2","Combat","","Pathfinder","1"
"Buffs","","2","Combat","","Pathfinder","1"
"COMBAT MANOEUVRES","","1","Combat","","Pathfinder","1"
"BASE ATTACK","","1","Combat","","Pathfinder","1"
"SPEED","","2","Combat","","Pathfinder","1"
"INITIATIVE","","1","Combat","","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|BONUS","1","Combat","","Pathfinder","1"
"BONUS","COMBAT MANOEUVRE|BONUS","1","Combat","","Pathfinder","1"
"RANGED|ATTACK","","1","Combat","","Pathfinder","1"
"MELEE|ATTACK","","1","Combat","","Pathfinder","1"
"BASE|ATTACK","BASE|ATTACK BONUS","1","Combat","","Pathfinder","1"
