Original,Part of,Translation
TRAP SENSE,TRAP SENSE|REFLEX BONUS,FALLENGESPÜR
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,REFLEX BONUS
Treat unarmed attacks as magic weapons|Increase range of attack by 50ft -,Treat unarmed attacks as magic weapons|Increase range of attack by 50ft - 1 ki point,Behandle unbewaffnete Angriffe als magische Waffe|Erhöhe Reichweite eines Angriffs um 15m
AUDIENCE,AUDIENCE|MAX FASCINATED,PUBLIKUM
MAX FASCINATED,AUDIENCE|MAX FASCINATED,MAX. FASZINIERT
WEAPON,WEAPON BONUSES,WAFFEN
BONUSES,WEAPON BONUSES,BONI
TOUCH,TOUCH ARMOUR CLASS,BERÜHRUNG
ARMOUR CLASS,TOUCH ARMOUR CLASS,RÜSTUNGSKLASSE
Devastating Strike,Devastating Strike    +2 per extra die,Vernichtender Schlag
per extra die,Devastating Strike    +2 per extra die,pro zusätzlichem Waffenschadenswürfel
Strength Score|Penalty:,Strength Score|Penalty: -2,Stärkewert|Malus
Spirit form,Spirit form  2 /day,Geistform
2 /day,Spirit form  2 /day,2 /Tag
PER DAY,QUICK CAST|PER DAY,PRO TAG
HIT POINTS,CORRUPTION|HIT POINTS,TREFFERPUNKTE
Target’s,Target’s|CHA,Ziel-
CHA,Target’s|CHA,CH
ARCANE SIGHT,ARCANE SIGHT|PER DAY,ARKANER BLICK
PER DAY,ARCANE SIGHT|PER DAY,PRO TAG
USES PER DAY,TURNS / REBUKES / HEALING|USES PER DAY,NUTZUNGEN PRO TAG
RAGE!,RAGE!|Duration,KAMPFRAUSCH!
Duration,RAGE!|Duration,Dauer
Focused shot,Focused shot    Within 30ft,Konzentrierter Schuss
Within,Focused shot    Within 30ft,innerhalb von
30ft,Focused shot    Within 30ft,9m
Guides religious worship,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",Kümmert sich um die religiösen Bedürfnisse des Reiches
"– If vacant,","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","– Wenn unbesetzt,"
"loyalty and stability, and","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",auf Treue und Stabilität und
unrest at upkeep,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",auf Unruhe in der Unterhaltsphase
Broken Wing Gambit,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Schwäche vortäuschen
Grant,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Verleihe
", get attack of opportunity","Broken Wing Gambit    Grant +2/+2, get attack of opportunity",", provoziert Gelegenheitsangriff"
WILD EMPATHY,WILD EMPATHY |BONUS,TIEREMPATHIE
KNOWLEDGE,KNOWLEDGE |BONUS,WISSEN
BONUS,KNOWLEDGE |BONUS,BONUS
Escape Route,Escape Route    Don’t provoke AoO when adjacent to an ally,Fluchtroute
Don’t provoke AoO when adjacent to an ally,Escape Route    Don’t provoke AoO when adjacent to an ally,Du provozierst neben einem Verbündeten keine Gelegenheitsangriffe
ETHERIAL,ETHERIAL|ROUNDS,ÄTHERISCHE
ROUNDS,ETHERIAL|ROUNDS,RUNDEN
2d6,Drunken Strength 2d6,2W6
RAGE!,Morale bonus to your mount’s strength|modifier during RAGE!|(+2 to Strength score),KAMPFRAUSCH!
Broken Wing Gambit,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Schwäche vortäuschen
Grant,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Verleihe
", get attack of opportunity","Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",", für einen Gelegenheitsangriff"
Fast Movement,Fast Movement +30 ft,Schnelle Bewegung
+30 ft,Fast Movement +30 ft,+9m
SPELL DC,SPELL DC|BONUS,ZAUBER SG
PER DAY,VICTIMS|PER DAY,PRO TAG
Neutral:,Neutral: +2 Stability,Neutral:
Stability,Neutral: +2 Stability,auf Stabilität
POWER POINTS,POWER POINTS|PER DAY,MACHTPUNKTE
PER DAY,POWER POINTS|PER DAY,PRO TAG
CON,+ CON| per level,KO
per level,+ CON| per level,pro Stufe
PER DAY,NEGATIVE LEVELS|PER DAY,PRO TAG
Use unarmed strike damage dice for 1 rd -,Use unarmed strike damage dice for 1 rd - 1 ki point,Nutze Schadenswürfel des Waffenlosen Schlags für eine Runde -
Coordinated Defence,Coordinated Defence    +2 to CMD,Koordinierte Verteidigung
to,Coordinated Defence    +2 to CMD,auf deine
CMD,Coordinated Defence    +2 to CMD,KMV
Cost:,Cost: 1 pt,Kosten:
1 pt,Cost: 1 pt,1 Pkt
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Tierempathie
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Einstellung eines Tieres verbessern
ASSIGN LEADERSHIP,ASSIGN LEADERSHIP    Adjust kingdom rolls,Regierung zusammenstellen
Adjust kingdom rolls,ASSIGN LEADERSHIP    Adjust kingdom rolls,Passe Regierungsämter an
ATTACK,ATTACK|BONUS,ANGRIFF
BONUS,ATTACK|BONUS,BONUS
TOTAL HIT DICE,CREATURES REBUKED|TOTAL HIT DICE,TW GESAMT
EXORCISM,EXORCISM|DC,EXORZISMUS
DC,EXORCISM|DC,SG
(which grants,(which grants +8 to Acrobatics),gibt
to Acrobatics),(which grants +8 to Acrobatics),Akrobatik
HIT POINTS,HEALING HIT POINTS,TREFFERPUNKTE
Improved Shield Bash,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,Verbesserter Schildstoß
Use Shield Bash and keep your shield bonus to,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,Nutze Schildstoß und behalte Schildbonus auf
AC,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,RK
RAGE!,EXTRA|RAGE!,KAMPFRAUSCH!
PER DAY,TOUCH OF|SERENITY|PER DAY,PRO TAG
"stability,","+4 stability, +8bp consumption","auf Stabilität,"
+8bp,"+4 stability, +8bp consumption",+8 BP
consumption,"+4 stability, +8bp consumption",Verbrauch
DURATION,FEAT SHARING|DURATION,DAUER
KI POOL,KI POOL|CAPACITY,KI-VORRAT
CAPACITY,KI POOL|CAPACITY,KAPAZITÄT
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,LIED DER GRÖSSE
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX. BEINFLUSSTE
Improved Two-weapon Fighting,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Verbesserter Kampf mit zwei Waffen
Second attack with your off-hand weapon,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Zusätzlicher Angriff mit Zweithand
(which grants,(which grants +20 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),Akrobatik für Sprünge)
RAGE!,RAGE! 1/day,KAMPFRAUSCH!
1/day,RAGE! 1/day,1/Tag
FEATS,BONUS|FEATS,TALENTE
QUIVER,QUIVER DAYS,Vibration
DAYS,QUIVER DAYS,Tage
Slow Fall,Slow Fall 30 ft,Sturz abbremsen
30 ft,Slow Fall 30 ft,9m
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,Gemeinsam Ducken
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Nutze das Ergebnis des Reflexwurfs deines Verbündeten
Fast Movement,Fast Movement +10 ft,Schnelle Bewegung
+10 ft,Fast Movement +10 ft,+3 m
1/day,Unnerve non-sentient beings; Charm Person 1/day,1/Tag
CHANNEL,CHANNEL|PER DAY,FOKUSSIEREN
PER DAY,CHANNEL|PER DAY,PRO TAG
PER DAY,PERFECT STRIKE|PER DAY,PRO TAG
"loyalty,","+4 loyalty, +8bp consumption","auf Treue,"
+8bp,"+4 loyalty, +8bp consumption",+8 BP
consumption,"+4 loyalty, +8bp consumption",Verbrauch
Heal your own wounds -,Heal your own wounds - 2 ki points,Heilt eigene Wunden -
2 ki points,Heal your own wounds - 2 ki points,2 Ki-Punkte
"loyalty,","+2 loyalty, +2bp consumption","auf Treue,"
+2bp,"+2 loyalty, +2bp consumption",+2 BP
consumption,"+2 loyalty, +2bp consumption",Verbrauch
EXORCISM,EXORCISM |BONUS,EXORZISMUS
BONUS,EXORCISM |BONUS,BONUS
UNARMED ATTACK,UNARMED ATTACK BONUS,WAFFENLOSER SCHLAG
BONUS,UNARMED ATTACK BONUS,BONUS
30ft,"Attack range 30ft, half damage to targets of the wrong type",9m
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Naturgespür
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 auf Wissen (Natur) und Überlebenskunst
PER DAY,SPIRIT SPELLS|PER DAY,PRO TAG
Weapon Mastery,Weapon Mastery    Increased critical range and always confirm critical hits,Waffenmeisterschaft
Increased critical range and always confirm critical hits,Weapon Mastery    Increased critical range and always confirm critical hits,Kritischer Treffer automatisch bestätigt
= 1d8 +,= 1d8 + (,= 1W8 +
Slow Fall,Slow Fall 50 ft,Sturz abbremsen
50 ft,Slow Fall 50 ft,15m
AURAS,AURAS|PER DAY,AURAS
PER DAY,AURAS|PER DAY,PRO TAG
Good:,Good: +2 Loyalty,Gut:
Loyalty,Good: +2 Loyalty,Treue
1d6,Drunken Strength 1d6,1W6
DURATION,SICKENED|DURATION,DAUER
PER DAY,SNEAK POINTS|PER DAY,PRO TAG
UNARMED STRIKE,UNARMED STRIKE DAMAGE ROLL,WAFFENLOSER SCHLAG
PER DAY,SOULMELD SHAPES|PER DAY,PRO TAG
(which grants,(which grants +12 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),Akrobatik für Sprünge)
PER DAY,PERFORMANCE|PER DAY,PRO TAG
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Kritische Hinterhältigkeit
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Wende einen Effekt eines Kritischer-Treffer-Talentes
STOLEN SPELL,STOLEN SPELL|CAPACITY,GESTOHLENE ZAUBER
CAPACITY,STOLEN SPELL|CAPACITY,KAPAZITÄT
PER DAY,TAKE 20|PER DAY,PRO TAG
RAGE,RAGE  DURATION|PER DAY,KAMPFRAUSCH
FAMILIAR,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,VERTRAUTER
ANIMAL COMPANION,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,TIERGEFÄHRTE
MOUNT,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,REITTIER
SUMMONED CREATURE,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,BESCHWORENE KREATUR
RAGE!,RAGE!|PER DAY,KAMPFRAUSCH!
PER DAY,RAGE!|PER DAY,PRO TAG
WILL,WILL SAVE DC,WILLEN
SAVE DC,WILL SAVE DC,RETTUNGSWURF (SG)
Evil:,Evil: +2 Economy,Böse:
Economy,Evil: +2 Economy,auf Wirtschaft
PER DAY,ATTUNEMENTS |PER DAY,PRO TAG
Slow Fall,Slow Fall Any distance,Sturz abbremsen
Any distance,Slow Fall Any distance,jede Distanz
A Thousand Faces,A Thousand Faces|Change appearance at will,Tausend Gesichter
Change appearance at will,A Thousand Faces|Change appearance at will,Das Aussehen jederzeit ändern
(which grants,(which grants +24 to Acrobatics),gibt
to Acrobatics),(which grants +24 to Acrobatics),Akrobatik
CREATURES AFFECTED,CREATURES AFFECTED TOTAL HIT DICE,MONSTER BETROFFEN
TOTAL HIT DICE,CREATURES AFFECTED TOTAL HIT DICE,TW GESAMT
"composite longbow, composite shortbow, longbow and shortbow","Bows: composite longbow, composite shortbow, longbow and shortbow","(Kombositer) Langbogen, (Kombositer) Kurzbogen"
Two-weapon Rend,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",Zerreißen mit zwei Waffen
"If you hit with both weapons, do an extra 1d10 + (","Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage","Triffst du mit beiden Waffen, verursachst du 1W10 + ("
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",ST
× 1½) damage,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",× 1½) zusätzlichen Schaden
PER DAY,SOULMELD|SHAPES|PER DAY,PRO TAG
CHANNEL,CHANNEL|RANGE,FOKUSSIEREN
RANGE,CHANNEL|RANGE,REICHWEITE
Level,100’+ 10’ × Level,Grad
3/day,Charm Person 3/day,3/Tag
RANGED ATTACK,RANGED ATTACK|BONUS,FERNKAMPFANGRIFF
BONUS,RANGED ATTACK|BONUS,BONUS
loyalty,-1 loyalty,auf Treue
Slow Fall,Slow Fall 70 ft,Sturz abbremsen
70 ft,Slow Fall 70 ft,21m
RESISTANCE,RESISTANCE|DURATION,RESISTENZ
DURATION,RESISTANCE|DURATION,DAUER
REFLEX|SAVE,REFLEX|SAVE DC,REFLEX|WURF
DC,REFLEX|SAVE DC,SG
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Mächtiger Kampf mit zwei Waffen
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Ein dritter Angriff mit deiner Zweithandwaffe
SAVE,SAVE DC,RETTUNGSWURF
DC,SAVE DC,SG
CONCENTRATION,CONCENTRATION|BONUS,KONZENTRATION
FATIGUED,FATIGUED|DURATION,ERSCHÖPFUNG
DURATION,FATIGUED|DURATION,DAUER
Combat Expertise,Combat Expertise  AC bonus,Defensive Kampfweise
AC,Combat Expertise  AC bonus,RK
bonus,Combat Expertise  AC bonus,Bonus
Critical Focus,Critical Focus),Kritischer-Treffer-Fokus
INITIATIVE,INITIATIVE|BONUS,INITIATIVE 
BONUS,INITIATIVE|BONUS,BONUS
WIS,Spell-Like Abilities (If INT or WIS is 8 or higher),WE
MAX POWER,MAX POWER|LEVEL,MAX. MACHT
LEVEL,MAX POWER|LEVEL,STUFE
PROHIBITED,PROHIBITED SCHOOLS,VERBOTENE
SCHOOLS,PROHIBITED SCHOOLS,SCHULEN
Charge,Charge    -2 to AC for the rest of the round,Sturmangriff
to,Charge    -2 to AC for the rest of the round,zur
AC,Charge    -2 to AC for the rest of the round,RK
for the rest of the round,Charge    -2 to AC for the rest of the round,für die restliche Runde
RAGE!,Titanic RAGE!,KAMPFRAUSCH!
WILL SAVE,WILL SAVE|BONUS,WILLEN
BONUS,WILL SAVE|BONUS,BONUS
HEXBLADE’S|CURSE,HEXBLADE’S|CURSE|PENALTY,FLUCH DER|HEXENKLINGE
PENALTY,HEXBLADE’S|CURSE|PENALTY,MALUS
RAGE!,Rounds of confusion do not count|against your rounds of RAGE! per day,KAMPFRAUSCH!
per day,Rounds of confusion do not count|against your rounds of RAGE! per day,pro Tag
"stability,","+3 stability, +4bp consumption","auf Stabilität,"
+4bp,"+3 stability, +4bp consumption",+4 BP
consumption,"+3 stability, +4bp consumption",Verbrauch
PER DAY,CHALLENGES|PER DAY,PRO TAG
1 /day,See the Named  1 /day,1 /Tag
SMITING ATTACK,SMITING ATTACK|BONUS,NIEDERSTRECKEN ANGRIFFS-
BONUS,SMITING ATTACK|BONUS,BONUS
Two-weapon Defence,Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Verteidigung mit zwei Waffen
+1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),"Bonus von +1 auf RK beim Kampf mit zwei Waffen (+2, falls du defensiv kämpfst)"
Spirit form,Spirit form  3 /day; Spirit who walks,Geistform
3 /day,Spirit form  3 /day; Spirit who walks,3/Tag
; Spirit who walks,Spirit form  3 /day; Spirit who walks,Wandelnder Geist
Bonus Spells,Bonus Spells|WIS,Bonuszauber
WIS,Bonus Spells|WIS,WE
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,KAMPF-|MANÖVER
BONUS,COMBAT|MANOEUVRE|BONUS,BONUS
RAGE,RAGE|TODAY,KAMPFRAUSCH
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Zähle als ein Externar
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Immun gegen Person bezaubern und andere magische|Effekte die Externare nicht betreffen|Schadensreduktion 10/Magie
Shake It Off,Shake It Off     +1 to all saving throws per adjacent ally,Abschütteln
to all saving throws per adjacent ally,Shake It Off     +1 to all saving throws per adjacent ally,auf alle Rettungswürfe pro benachbartem Verbündeten
PER DAY,FOCUS|SUBJECTS|PER DAY,PRO TAG
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 × (W10 +
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",KO
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") temporäreTrefferpunkte,|+2 auf Angriffe, +1 auf ZÄH"
Great Cleave,Great Cleave    Any number of extra attacks per round,Rundumschlag
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Zusatzangriff nach jedem erfolgreichen Angriff
Tandem Trip,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",Gemeinsames Zu-Fall-bringen
"When ally is adjacent, roll twice for trip","Tandem Trip    When ally is adjacent, roll twice for trip CMB",Würfle zweimal und nutze das bessere Ergebnis als
CMB,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",KMB
AC,AC BONUS,RK
BONUS,AC BONUS,BONUS
SAVING THROW,SAVING THROW|PENALTY,RETTUNGSWURF
PENALTY,SAVING THROW|PENALTY,MALUS
(which grants,(which grants +4 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +4 to Acrobatics checks for jumping),Akrobatik für Sprünge)
SKILL,SKILL|PENALTY,FERTIGKEITS-
PENALTY,SKILL|PENALTY,MALUS
ROUNDS,ROUNDS|PER DAY,RUNDEN
PER DAY,ROUNDS|PER DAY,PRO TAG
CRITICAL,CRITICAL EFFECTS,KRIT. TREFFER
EFFECTS,CRITICAL EFFECTS,EFFEKTE
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Koordinierte Kampfmanöver
to,Coordinated Manoeuvres    +2 to CMB,auf deinen
CMB,Coordinated Manoeuvres    +2 to CMB,KMB
Death or Glory,"Death or Glory   +4 (+1 at levels 11, 16, 20)",Ruhm oder Tod
"at levels 11, 16, 20)","Death or Glory   +4 (+1 at levels 11, 16, 20)"," bei Stufe 11, 16, 20)"
Swap Places,Swap Places    Switch places with an ally,Plätze tauschen
Switch places with an ally,Swap Places    Switch places with an ally,Tausche mit einem Verbündeten den Platz
SPELL LEVEL,SPELL LEVEL|EQUIVALENT,ENTSRPECHENDER
EQUIVALENT,SPELL LEVEL|EQUIVALENT,ZAUBERGRAD
RESISTANCE,RESISTANCE|BONUS,RESISTENZ
Far Shot,Far Shot    Attack penalty per range increment decreases from -2 to -1,Fernschuss
Attack penalty per range increment decreases from -2 to -1,Far Shot    Attack penalty per range increment decreases from -2 to -1,Entfernungsmali werden halbiert
BASE|ATTACK,BASE|ATTACK BONUS,GRUND-|ANGRIFF
BONUS,BASE|ATTACK BONUS,BONUS
UNREST,UNREST LEVEL,UNRUHE
LEVEL,UNREST LEVEL,GRAD
STRENGTH EFFECTS,IMMUNE TO|STRENGTH EFFECTS,STÄRKEEFFEKTE
Rapid Shot,"Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty",Schnelles Schießen
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty","Als vollen Angriff darfst du deine Waffe zwei Mal abfeuern, erhälst aber einen Malus von -2 auf Angriffswürfe"
Haste,Haste    One extra attack at full bonus,Hast
One extra attack at full bonus,Haste    One extra attack at full bonus,Ein zusätzlicher Angriff mit vollem Bonus
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,Nutze den Augenblick
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,Gelegenheitsangriff wenn Verbündeter kritisch trifft
EXOTIC WEAPON ATTACK,EXOTIC WEAPON ATTACK BONUS,ANGRIFF MIT EXOTISCHER WAFFE 
BONUS,EXOTIC WEAPON ATTACK BONUS,BONUS
FLAT-FOOTED,FLAT-FOOTED AC,AUF FALSCHEM FUß
AC,FLAT-FOOTED AC,RK
USES PER DAY,RESOLVE|USES PER DAY,NUTZUNGEN PRO TAG
DURATION,FRIGHTENED|DURATION,DAUER
ATTACK,ATTACK BONUS,ANGRIFF | BONUS
DC,DC 25,SG
DC,DC 15,SG
Knowledge -,Knowledge - INT|Profession - WIS,Wissen -
WIS,Knowledge - INT|Profession - WIS,WE
