Original,Part of,Translation
INTIMIDATE,INTIMIDATE|BONUS,INTIMIDAR
BONUS,INTIMIDATE|BONUS,BONUS
CMB,"Bonus applies to CMB to attempt, |and CMD to resist, any of your |chosen manoeuvres.",BMC
CMD,"Bonus applies to CMB to attempt, |and CMD to resist, any of your |chosen manoeuvres.",BMC
Extend Spell,Extend Spell  +1,Prolongar conjuro
DURATION,SICKENED|DURATION,DURACIÓN
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Lanzador de Conjuros Aliado
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,para superar la resistencia a conjuros
DC,DC 10,CD
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MAX AUDIENCIA
Slow Fall,Slow Fall 70 ft,Caída lentificada
70 ft,Slow Fall 70 ft,70 ft
DURATION,DURATION|PER DAY,DURACIÓN
PER DAY,DURATION|PER DAY,AL DÍA
1 ki point,"As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point",1 punto ki
BONUS,VERMIN EMPATHY|BONUS,BONUS
(which grants,(which grants +16 to Acrobatics),(concede
to Acrobatics),(which grants +16 to Acrobatics),a Acrobacias)
WIS,(WIS minimum 1),SAB
minimum 1),(WIS minimum 1),mínimo 1)
PER DAY,TOUCH OF|SERENITY|PER DAY,AL DÍA
PER DAY,PERFORMANCE|PER DAY,AL DÍA
"loyalty,","+3 loyalty, +4bp consumption","lealtad,"
+4bp,"+3 loyalty, +4bp consumption",+4bp
consumption,"+3 loyalty, +4bp consumption",consumo
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Hendedura final
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Ataque extra si el enemigo queda fuera de combate
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,BONUS MANIOBRA
BONUS,COMBAT MANOEUVRE|BONUS,DE COMBATE
or,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,o
"economy,","+4 economy, -8 loyalty","economía,"
loyalty,"+4 economy, -8 loyalty",lealtad
Chaotic:,Chaotic: +2 Loyalty,Caótico:
Loyalty,Chaotic: +2 Loyalty,Lealtad
Tongue of the Sun and Moon,Tongue of the Sun and Moon|Speak with any living creature,Lengua del Sol y la Luna
Speak with any living creature,Tongue of the Sun and Moon|Speak with any living creature,Habla con cualquier criatura viva
Forbidden|During,Forbidden|During|RAGE!,Prohibido|Durante
RAGE!,Forbidden|During|RAGE!,FURIA!
HEXES,HEXES    Claim and abandon hexes,HEXÁGONOS
Claim and abandon hexes,HEXES    Claim and abandon hexes,Reclamar y abandonar hexágonos
Dodge bonus to,Dodge bonus to AC,Bonus de esquiva a
AC,Dodge bonus to AC,CA
ATTACK,ATTACK|BONUS,BONUS
BONUS,ATTACK|BONUS,ATAQUE
BONUS,SAILOR’S BONUS,BONUS
SPECIALITY,SPECIALITY SCHOOL,ESCUELAS
SCHOOL,SPECIALITY SCHOOL,ESPECIALIDAD
TALENTS,TALENTS|KNOWN,TALENTOS
KNOWN,TALENTS|KNOWN,CONOCIDOS
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,CLASE DE ARMADURA
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,DESPREVENIDO
Critical Focus,Critical Focus),Soltura con críticos
WIS,You may gain up to WIS|grit points each day,SAB
AC,Insight bonus to AC and CMD,CA
and,Insight bonus to AC and CMD,y
CMD,Insight bonus to AC and CMD,BMC
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arma mano torpe
less for a light weapon),Off-hand weapon    (2 less for a light weapon),menos para un arma ligera)
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Se desplaza mágicamente entre espacios -
2 ki points,Slip magically between spaces - 2 ki points,2 puntos ki
Natural Swimmer,Natural Swimmer|Swim at half land speed,Nadador Natural
Swim at half land speed,Natural Swimmer|Swim at half land speed,Nada la mitad de la velocidad terrestre
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Penaliz. Punt.|Destreza:
RAGE,RAGE|TODAY,FURIA
TODAY,RAGE|TODAY,HOY
At levels,"At levels 4, 8, 12 and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.",A niveles
"and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.","At levels 4, 8, 12 and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.","y 16 puedes añadir 1 a una única puntuación de característica.|Si esa punt. era un numero impar, eso significa un incremento en el modif. habilidad."
2d6,Drunken Strength 2d6,2d6
BONUS,NO TRACE|BONUS,BONUS
PER DAY,GRIT POINTS|PER DAY,AL DÍA
Fast Movement,Fast Movement +20 ft,Movimiento Rápido
+20 ft,Fast Movement +20 ft,+20 ft
stability,-1 stability,Estabilidad
BONUS,FOCUS|BONUS,BONUS
Far Shot,Far Shot    Attack penalty per range increment decreases from -2 to -1,Disparo a larga distancia
Attack penalty per range increment decreases from -2 to -1,Far Shot    Attack penalty per range increment decreases from -2 to -1,Penal. al ataque por incremento de rango descience de -2 a -1
TRAP SENSE,TRAP SENSE|BONUS,BONUS
BONUS,TRAP SENSE|BONUS,SENTIDO DE TRAMPAS
Slow Fall,Slow Fall 90 ft,Caída lentificada
90 ft,Slow Fall 90 ft,90 ft
Sneak Attack,Sneak Attack +2d6,Ataque Furtivo
INT,+ INT| per level,INT
per level,+ INT| per level,por nivel
or,"Declare an elemental damage type before making an attack:|Acid, Cold, Electricity or Fire",o
Acid,"Declare an elemental damage type before making an attack:|Acid, Cold, Electricity or Fire",Ácido
SUBTOTAL,SUBTOTAL BUFFS & TEAMWORK,SUBTOTAL
BUFFS & TEAMWORK,SUBTOTAL BUFFS & TEAMWORK,VENTAJAS & TRABAJO EN EQUIPO
Cost:,Cost: all remaining pts,Coste:
UNREST,UNREST LEVEL,NIVEL
LEVEL,UNREST LEVEL,MALESTAR
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Golpea sin armas con cualquier miembro libre|Ráfaga de golpes usa todo
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",FUE
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand","bonus, incluso con mano torpe"
TO TURN CREATURE,TO TURN CREATURE  MAX HIT DICE,PARA CONVERTIR CRIATURA
A Thousand Faces,A Thousand Faces|Change appearance at will,Las Mil Caras
Change appearance at will,A Thousand Faces|Change appearance at will,Cambia la apariencia a voluntad
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,COMPARTIR ENEMIGO PREDILECTO
DURATION,SHARE FAVOURED ENEMY|DURATION,DURACIÓN
Lawful:,Lawful: +2 Economy,Legal:
Economy,Lawful: +2 Economy,Economía
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,UMBRAL DE FALLO DE
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,CONJURO ARCANO
USES,USES|PER DAY,USOS
PER DAY,USES|PER DAY,AL DÍA
QUIVER,QUIVER DAYS,DÍAS
DAYS,QUIVER DAYS,TEMBLOR
DODGE,DODGE|BONUS,ESQUIVA
BONUS,DODGE|BONUS,BONUS
MAX HIT DICE,TO REBUKE CREATURE |MAX HIT DICE,DADOS DE GOLPE MAX.
Low-light Vision,Low-light Vision| • Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,Visión en la penumbra
• Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,Low-light Vision| • Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,• Puede ver el doble de lejos que en luz ténue|• Puede ver en el exterior con luna como si fuera de día|• Visión en la penumbra permite ver colores
Slow Fall,Slow Fall Any distance,Caída lentificada
Any distance,Slow Fall Any distance,Cualquier distancia
Commands the army,"Commands the army – If vacant, -4 loyalty",Manda sobre el ejército
"– If vacant,","Commands the army – If vacant, -4 loyalty","- Si vacante,"
loyalty,"Commands the army – If vacant, -4 loyalty",lealtad
BANE,BANE|PER DAY,PERDICIÓN
PER DAY,BANE|PER DAY,AL DÍA
"economy,","+1 economy, -1 loyalty","economía,"
loyalty,"+1 economy, -1 loyalty",lealtad
DURATION,NAUSEATED|DURATION,DURACIÓN
POISON RESISTANCE,POISON RESISTANCE FORTITUDE SAVE BONUS,RESISTENCIA A VENENOS
FORTITUDE SAVE BONUS,POISON RESISTANCE FORTITUDE SAVE BONUS,BONIFICADOR A SALV DE FORTALEZA POR
Oversees international relations,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",Gestiona relaciones internacionales
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",- Si vacante
stability and cannot issue Diplomatic or Exploration Edicts,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",estabilidad y no puede expedir Edictos Diplomáticos o de Exploración
BONUS,BONUS|DURATION,BONUS
DURATION,BONUS|DURATION,DURACIÓN
BONUS,BONUS|SPELLS,BONUS
ATTACK,ATTACK BONUS,ATAQUE
BONUS,ATTACK BONUS,BONUS
BONUS,EXPERTISE|BONUS,BONUS
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Objetivo de oportunidad
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Ataque extra cuando un aliado golpea a distancia
to jump checks -,+20 to jump checks - 1 ki point,a pruebas de Saltar -
1 ki point,+20 to jump checks - 1 ki point,1 punto ki
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Golpe Devastador Mejorado
per die,Improved Devastating Strike  +2 per die,por dado
DISCOVERIES,DISCOVERIES|KNOWN,DESCUBRIMIENTOS
KNOWN,DISCOVERIES|KNOWN,CONOCIDOS
BONUS,WISDOM|CHECK BONUS,BONUS
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Combate con dos armas mayor
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Tercer ataque con arma en mano torpe
Level,100’+ 10’ × Level,Nivel
PER DAY,DEVOTED STRIKES|PER DAY,AL DÍA
Guides religious worship,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",Guía la devoción religiosa
"– If vacant,","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","- Si vacante,"
"loyalty and stability, and","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","lealtad y estabilidad, y"
unrest at upkeep,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",malestar durante mantenimiento
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Disparo a bocajarro
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 al taque y daño dentro del primer incremento rango
WILL,WILL|SAVE DC,CD SALV
SAVE DC,WILL|SAVE DC,VOLUNTAD
DC,WILL|SAVE DC,CD
DC,Trick Riding  Ignore Ride checks of DC 15; no penalty for riding bareback; use Mounted Combat twice,CD
Cost:,Cost: (1 pt to fix as a move action),Coste:
2 ki points,Receive enlightenment while you rest - 2 ki points,2 puntos ki
Morale bonus to your mount’s strength|modifier during,Morale bonus to your mount’s strength|modifier during RAGE!|(+2 to Strength score),Bonus Moral al modif. fuerza de tu|montura durante la
RAGE!,Morale bonus to your mount’s strength|modifier during RAGE!|(+2 to Strength score),FURIA!
(+2 to Strength score),Morale bonus to your mount’s strength|modifier during RAGE!|(+2 to Strength score),(+2 a punt. de Fuerza)
Bonus Spells,Bonus Spells|WIS,Conjuros Adicionales
WIS,Bonus Spells|WIS,SAB
Charge,Charge  -2 to AC for the rest of the round,Carga
to,Charge  -2 to AC for the rest of the round,a
AC,Charge  -2 to AC for the rest of the round,CA
for the rest of the round,Charge  -2 to AC for the rest of the round,para el resto del turno
BOMBS,BOMBS|PER DAY,BOMBAS
PER DAY,BOMBS|PER DAY,AL DÍA
Paired Opportunists,Paired Opportunists    When adjacent,Oportunistas en pareja
When adjacent,Paired Opportunists    When adjacent,Cuando está adyacente
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Considerado un Ajeno
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Inmune a Hechizar Persona y otros efectos que|afecten a no ajenos.|Reducción de daño
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/Caótico
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,DEFENSA MANIOBRA
DEFENCE,COMBAT MANOEUVRE|DEFENCE,DE COMBATE
Sneak Attack,Sneak Attack +1d6,Ataque Furtivo
Damage Reduction 4/,Damage Reduction 4/―,Reducción Daño 4/
SNEAK ATTACK,SNEAK ATTACK|BONUS,ATAQUE FURTIVO
BONUS,SNEAK ATTACK|BONUS,BONUS
PER DAY,ENHANCE HEALING|PER DAY,AL DÍA
REFLEX,REFLEX SAVE,SALVACIÓN
SAVE,REFLEX SAVE,REFLEJOS
WILL SAVE,WILL SAVE|DC,SALV. VOL.
DC,WILL SAVE|DC,CD
Physical Resistance,Physical Resistance -4,Resistencia Física
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to 5/—,Golpe perforante
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignora reducción de daño hasta
Collect taxes and manage finances,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",Recauda impuestos y gestiona finanzas
"– If vacant,","Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes","- Si está vacante,"
economy and kingdom can’t levy taxes,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",la economía y el Reino no puede recaudar impuestos
BONUS,PERFORMANCE|BONUS,BONUS
Heal your own wounds -,Heal your own wounds - 2 ki points,Cura tus propias heridas -
2 ki points,Heal your own wounds - 2 ki points,2 puntos ki
ATTACK,ATTACK ACTIONS,ACCIONES
ACTIONS,ATTACK ACTIONS,ATAQUE
CHANNEL,CHANNEL|RANGE,RANGO
RANGE,CHANNEL|RANGE,CANALIZAR
1 ki point,Double damage reduction - 1 ki point,1 punto ki
"If target used Power Attack, +2 on","If target used Power Attack, +2 on CMB and +2 to the save DC","Si el objetivo ha usado Ataque Poderoso, +2 a"
CMB,"If target used Power Attack, +2 on CMB and +2 to the save DC",BMC
and +2 to the save DC,"If target used Power Attack, +2 on CMB and +2 to the save DC",y +2 a la CD de Salv.
KI POOL,KI POOL|CAPACITY,CAPACIDAD
CAPACITY,KI POOL|CAPACITY,RESERVA KI
Wild Shape,Wild Shape|Become any small or medium animal,Forma Salvaje
Become any small or medium animal,Wild Shape|Become any small or medium animal,Se transforma en cualquier animal pequeño o mediano
Level 16:,Level 16: Twice per day,Nivel 16:
Twice per day,Level 16: Twice per day,Dos veces al día
Masterwork,Masterwork     Doesn’t stack with magic bonus,Gran Calidad
Doesn’t stack with magic bonus,Masterwork     Doesn’t stack with magic bonus,No acumula con bonus mágicos
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD Acrobacias = Del oponente
CMD,Acrobatics DC = Opponent’s CMD,BMC
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+4 a todas las pruebas salvación|+4 bonus esquiva a
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,CA
ft,20 ft  4 sq,ft
sq,20 ft  4 sq,c
CMB,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,BMC
and,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,y
CMD,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,BMC
Trackless Step,"Trackless Step|Leave no trail, unless deliberately",Pisada sin Rastro
"Leave no trail, unless deliberately","Trackless Step|Leave no trail, unless deliberately","No deja rastro, si no quiere."
Intelligence,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",Inteligencia
"– If vacant,","Intelligence – If vacant, -4 economy and +1 unrest at upkeep","- Si vacante,"
economy and,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",economía y
unrest at upkeep,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",malestar durante el mantenimiento
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DES
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",bonus a
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",CA
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",FUE
Damage Reduction 2/,Damage Reduction 2/―,Reducción Daño 2/
RAGE!,RAGE!  DURATION|PER DAY,FURIA!
DURATION,RAGE!  DURATION|PER DAY,DURACIÓN
PER DAY,RAGE!  DURATION|PER DAY,AL DÍA
loyalty,+1 loyalty,lealtad
1 ki point,Increase bonus to +4 - 1 ki point,1 punto ki
FEAT SHARING,FEAT SHARING|DURATION,COMPARTIR DOTES
DURATION,FEAT SHARING|DURATION,DURACIÓN
Level,400’+ 40’ × Level,Nivel
Broken Wing Gambit,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Fingir Debilidad
Grant,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Concede
", get attack of opportunity","Broken Wing Gambit    Grant +2/+2, get attack of opportunity",", consigue ataque de oportunidad"
Grants,Grants +8 to Acrobatics,Concede
to Acrobatics,Grants +8 to Acrobatics,a Acrobacias
HEALING,HEALING|PER DAY,CURACIÓN
PER DAY,HEALING|PER DAY,AL DÍA
1 ki point,Enter up to 4 stances immediately - 1 ki point,1 punto ki
FLAT-FOOTED,FLAT-FOOTED|CMD,DMC
CMD,FLAT-FOOTED|CMD,DESPREVENIDO
Great Cleave,Great Cleave    Any number of extra attacks per round,Gran Hendedura
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Cualquier número de ataques extra por asalto
