Original,Part of,Translation
Charge,Charge  -2 to AC for the rest of the round,Szarża
to,Charge  -2 to AC for the rest of the round,do
AC,Charge  -2 to AC for the rest of the round,KP
for the rest of the round,Charge  -2 to AC for the rest of the round,przez resztę rundy
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Traktowany jako Przybysz
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Odporny na Zauroczenie Osoby i inne efekty|które działają na nie-przybyszów.|Redukcja obrażeń
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/chaos
"stability,","+4 stability, +8bp consumption","stabilności,"
+8bp,"+4 stability, +8bp consumption",+8pb
consumption,"+4 stability, +8bp consumption",konsumpcji
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,PODSTĘPNE OBRAŻENIA
BONUS,SNEAK DAMAGE|BONUS,PREMIA
1 ki point,Grant bonus to an ally - 1 ki point,1 punkt ki
FLAT-FOOTED,FLAT-FOOTED|CMD,NIEPRZYGOTOWANY
CMD,FLAT-FOOTED|CMD,OMB
STRENTH|SCORE,STRENTH|SCORE|BONUS,WARTOŚĆ|SIŁY
BONUS,STRENTH|SCORE|BONUS,PREMIA
Haste,Haste    One extra attack at full bonus,Pośpiech
One extra attack at full bonus,Haste    One extra attack at full bonus,Jeden dodatkowy atak z pełną premią
WILD EMPATHY,WILD EMPATHY BONUS,WIĘŹ Z DZICZOM
BONUS,WILD EMPATHY BONUS,PREMIA
DURATION,MAX EFFECT|DURATION,CZAS TRWANIA
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Ogarnij się!
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,do wszystkich rz. obr. na sąsiedniego sprzymierzeńca
WILL,WILL SAVE,WOLA
SAVE,WILL SAVE,Rz. Obr.
BASE|ATTACK,BASE|ATTACK BONUS,BAZOWA|PREMIA
BONUS,BASE|ATTACK BONUS,DO ATAKU
Critical Focus,Critical Focus),Krytyczne Skupienie
(which grants,(which grants +12 to Acrobatics),zapewnia
to Acrobatics),(which grants +12 to Acrobatics),do Zwinności
Fast Movement,Fast Movement +60 ft,Szybkie Poruszanie się
+60 ft,Fast Movement +60 ft,+18m
HEALING POINTS,HEALING POINTS|PER DAY,PUNKTY LECZENIA
PER DAY,HEALING POINTS|PER DAY,NA DZIEŃ
SMITING ATTACK,SMITING ATTACK|BONUS,UGODZENIE
BONUS,SMITING ATTACK|BONUS,PREMIA
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Podstępna Precyzja
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Stosuje efekt krytyczny do
MAX HIT DICE,TO DESTROY CREATURE  MAX HIT DICE,MAX KW
Tireless,Tireless RAGE!,Niestrudzony
RAGE!,Tireless RAGE!,SZAŁ!
WIS,(WIS minimum 1),RZT
minimum 1),(WIS minimum 1),minimum 1)
Duration,Duration +1 round,Czas Trwania
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Bezpośredni strzał
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 do ataku i obrażeń w standardowym zasięgu
DURATION,FRIGHTENED|DURATION,CZAS TRWANIA
WILL|SAVE,WILL|SAVE|BONUS,Rz. Obr.|na WOLĘ
BONUS,WILL|SAVE|BONUS,PREMIA
Morale Bonus,Morale Bonus    Inspire Courage and similar,Premia z Morali
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Inspiruje odwagę i podobne
FOES,FOES|PER DAY,WROGOWIE
PER DAY,FOES|PER DAY,NA DZIEŃ
Slow Fall,Slow Fall 80 ft,Powolny Upadek
80 ft,Slow Fall 80 ft,24m
DODGE,DODGE|BONUS,UNIKOWA
BONUS,DODGE|BONUS,PREMIA
Tandem Trip,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",Przejażdżka Tandemem
"When ally is adjacent, roll twice for trip","Tandem Trip    When ally is adjacent, roll twice for trip CMB","Kiedy sprzymierzeniec jest w sąsiedztwie, rzuć dwa razy na "
CMB,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",PMB
POWERS,POWERS|KNOWN,MOCE
KNOWN,POWERS|KNOWN,ZNANE
Quick Draw,Quick Draw    Draw your weapon as a free action,Szybkie Dobywanie
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Dobieranie broni jako akcja darmowa
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Precyzyjny Strzał
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Bez kary -4 za strzelanie do walczących wręcz
DURATION,SICKENED|DURATION,CZAS TRWANIA
RAGE,"Each alcoholic drink consumed results in|1 round of nausea after the end of your RAGE,|in addition to the normal fatigue.",SZAŁ
Liases with the people,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",Porozumiewa się z ludźmi
"– If vacant,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",- Jeśli nieobecny
"loyalty,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","lojalności,"
unrest at upkeep and no bonus from festivals,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",zamieszek na utrzymanie i brak premii z festiwali
EVIL DAMAGE,EVIL DAMAGE|BONUS,ZŁE OBRAŻENIA
BONUS,EVIL DAMAGE|BONUS,PREMIA
At levels,"At levels 4, 8, 12 and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.",Na poziomach
"and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.","At levels 4, 8, 12 and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.","i 16 dodajesz 1 punkt do wartości atrybutu.|Jeśli wartość była liczbą nieparzystą, oznacza to, że modyfikator atrybutu również wzrasta."
DURATION,ALTER SELF|DURATION,CZAS TRWANIA
SPELL,SPELL RESISTANCE,CZARY
RESISTANCE,SPELL RESISTANCE,NA CZARY
WILD EMPATHY,WILD EMPATHY|BONUS,WIĘŹ Z DZICZĄ
BONUS,WILD EMPATHY|BONUS,PREMIA
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,GRAD CIOSÓW
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,BAZOWA PREMIA DO ATAKU
1 ki point,Grant bonus to allies in 30ft - 1 ki point,1 punkt ki
DEFLECTION,DEFLECTION|BONUS,ODBICIE
BONUS,DEFLECTION|BONUS,PREMIA
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Oparcie się Pokusie Natury
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 do rz. obr. przeciwko wróżkom i roślinom
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,ST Zwinności = Przeciwnika
CMD,Acrobatics DC = Opponent’s CMD,OMB
FLURRY ATTACK,FLURRY ATTACK BONUS,GRAD CIOSÓW
BONUS,FLURRY ATTACK BONUS,PREMIA
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Wielostrzał
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows",Wystrzelasz dwie strzały podczas pierwszego ataku
"stability,","+2 stability, +2bp consumption","stabilności,"
+2bp,"+2 stability, +2bp consumption",+2pb
consumption,"+2 stability, +2bp consumption",konsumpcji
"stability,","+1 stability, +1bp consumption","stabilności,"
+1bp,"+1 stability, +1bp consumption",+1pb
consumption,"+1 stability, +1bp consumption",konsumpcji
Distract,"Distract  DC 20|The bird flutters distractingly around an enemy. On a successful attack, the enemy is shaken.",Rozproszenie
"DC 20|The bird flutters distractingly around an enemy. On a successful attack, the enemy is shaken.","Distract  DC 20|The bird flutters distractingly around an enemy. On a successful attack, the enemy is shaken.",ST 20|Ptaki rozpraszająco trzepoczą wokół wroga. Przy udanym ataku wróg jest wstrząśnięty.
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Rozszczepiający Finisz
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Dodatkowy atak jeśli przeciwnik jest ogłuszony.
DC,DC 15,ST
DAMAGE,DAMAGE|REDUCTION,Redukcja
REDUCTION,DAMAGE|REDUCTION,Obrażeń
Precise Strike,Precise Strike    When flanking,Precyzyjne Uderzenie
When flanking,Precise Strike    When flanking,Kiedy flankuje
Vital Strike,Vital Strike    Extra damage dice,Witalne Uderzenie
Extra damage dice,Vital Strike    Extra damage dice,Dodatkowa kość obrażeń
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,MANEWRY|BOJOWE
BONUS,COMBAT|MANOEUVRE|BONUS,PREMIA
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Broń improwizowana
less for a light weapon),Off-hand weapon    (2 less for a light weapon),2 mniej dla broni lekkiej
FATIGUED,FATIGUED|DURATION,ZMĘCZONY
DURATION,FATIGUED|DURATION,CZAS
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Doskonalsza Jednoczesna Finta
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Kiedy sprzymierzeniec wykonuje fintę, zyskuje AO"
"Baron, Duke, King or Queen","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Książę, Król lub Królowa"
"– If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Jeśli wolne, królestwu automatycznie nie powodzi się rzut na rozkazy oraz nie może zdobywać i rozwijać hexów."
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Użyj poziomu mnicha zamiast
BAB,Use monk level in place of BAB for calculating CMB,BPA
for calculating,Use monk level in place of BAB for calculating CMB,aby obliczyć
CMB,Use monk level in place of BAB for calculating CMB,OMB
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 × (k10 + 
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",B
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") tymczasowych punktów wytrzymałości,|+2 do ataku, +1 do rz. obr. na Wytrw"
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TEREN
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Budowa farm, dróg, kopalń itp."
SPECIALITY,SPECIALITY SCHOOL,SPECJALIZACJA
SCHOOL,SPECIALITY SCHOOL,SZKOŁA
Queen Consort or Prince Consort,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,Małżonek Królowej lub Małżonka Księcia
– May rule if the Ruler is absent. but must pass loyalty check or,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,- Może rządzić jeśli Władca jest nieobecny. Musi zdać test lojalności inaczej
unrest,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,niepokoje
Damage Reduction 2/,Damage Reduction 2/―,Redukcja obrażeń 2/
AC,AC BONUS,KP
BONUS,AC BONUS,PREMIA
FASCINATE,FASCINATE|MAX AUDIENCE,FASCYNACJA
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,PEŁNA UWAGA
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Wartość Zręczności|Kara:
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Lepsza Walka Dwoma Broniami
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Trzeci atak twoją improwizowaną bronią
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Przemieszczaj się magicznie w przestrzeni -
2 ki points,Slip magically between spaces - 2 ki points,2 punkty ki
DURATION,AURAS|DURATION,CZAS TRWANIA
SETTLE,SETTLE    Create new towns,OSADA
Create new towns,SETTLE    Create new towns,Stwórz nowe miasta
DEPOSIT,DEPOSIT    4000gp in trade goods and treasure nets 1bp,DEPOZYT
4000gp in trade goods and treasure nets 1bp,DEPOSIT    4000gp in trade goods and treasure nets 1bp,4000sz w dobrach handlowych i skarbach przynosi 1pb
TAKE 20,TAKE 20 PER DAY,PRZYJMIJ 20
PER DAY,TAKE 20 PER DAY,NA DZIEŃ
"stability,","+3 stability, +4bp consumption","stabilności,"
+4bp,"+3 stability, +4bp consumption",+4pb
consumption,"+3 stability, +4bp consumption",konsumpcji
stability,-1 stability,"stabilności,"
BASE|ATTACK,BASE|ATTACK|BONUS,BAZOWA|PREMIA
BONUS,BASE|ATTACK|BONUS,DO ATAKU
RAGE!,RAGE!|Modifier,SZAŁ!
Modifier,RAGE!|Modifier,MODYFIKATOR
Slow Fall,Slow Fall Any distance,Powolny Upadek
Any distance,Slow Fall Any distance,Dowolna Wysokość
WEAPON,WEAPON BONUSES,BROŃ
BONUSES,WEAPON BONUSES,PREMIE
DURATION,DURATION|PER DAY,CZAS TRWANIA
PER DAY,DURATION|PER DAY,NA DZIEŃ
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Uderzenia bez broni dowolna wolną kończyną|Do gradu ciosów stosuje się pełną premię z
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",S
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",nawet w przypadku broni improwizowanej
Cleave,Cleave    Extra attack if you hit,Rozszczepienie
Extra attack if you hit,Cleave    Extra attack if you hit,Dodatkowy atak jeśli trafisz
UNARMED ATTACK,UNARMED ATTACK BONUS,ATAK BEZ BRONI
BONUS,UNARMED ATTACK BONUS,PREMIA
Fast Movement,Fast Movement +50 ft,Szybkie Poruszanie się
+50 ft,Fast Movement +50 ft,+15m
RAGE!,RAGE! 1/day,SZAŁ!
1/day,RAGE! 1/day,1/dzień
LEVEL,MAX MANOEUVRE LEVEL,POZIOM
Shot on the Run,Shot on the Run    Attack at any point during your move,Strzał w Biegu
Attack at any point during your move,Shot on the Run    Attack at any point during your move,Atakuj w dowolnym momencie ruchu
Extend Spell,Extend Spell  +1,Poszerzenie Czaru
RAGE!,EXTRA|RAGE!,SZAŁ!
per die,Improved Devastating Strike  +2 per die,na kość
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Sprzymierzeńcy Czarujący
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,+2 do przebicia odporności na czary
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,WIEDZA BARDÓW
BONUS,BARDIC KNOWLEDGE |BONUS,PREMIA
Slow Fall,Slow Fall 30 ft,Powolny Upadek
30 ft,Slow Fall 30 ft,9m
Damage Reduction 5/,Damage Reduction 5/―,Redukcja obrażeń 5/
DURATION,SURGING|EUPHORIA|DURATION,CZAS TRWANIA
BASE ATTACK,BASE ATTACK BONUS,BAZOWA PREMIA
BONUS,BASE ATTACK BONUS,DO ATAKU
Bonus Spells,Bonus Spells|CHA,Premiowe Czary
CHA,Bonus Spells|CHA,CHA
RAGE!,RAGE!  DURATION|PER DAY,SZAŁ!
DURATION,RAGE!  DURATION|PER DAY,CZAS
PER DAY,RAGE!  DURATION|PER DAY,NA DZIEŃ
Chaotic:,Chaotic: +2 Loyalty,Chaos:
Loyalty,Chaotic: +2 Loyalty,Lojalność
ENHANCEMENT,MAX WEAPON|ENHANCEMENT,WZMOCNIENIE
Pinpoint Targeting,"Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Precyzyjne celowanie
"Make a single attack that bypasses shields, armour and natural armour","Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour","Wykonaj pojedynczy atak ignorujący tarczę, zbroję i naturalną zbroję."
AUDIENCE,AUDIENCE|MAX FASCINATED,PUBLICZNOŚĆ
MAX FASCINATED,AUDIENCE|MAX FASCINATED,ZAFASCYNOWANA
"Prince, Princess or favoured subject","Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest","Książę, Księżniczka lub wybrana osoba"
– May rule if the Ruler is absent. but must pass loyalty check or,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest","Może rządzić jeśli Władca jest nieobecny, jednak musi zdać test na lojalność, inaczej"
unrest,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest",zamieszek
(which grants,(which grants +4 to Acrobatics),zapewnia
to Acrobatics),(which grants +4 to Acrobatics),do Zwinności
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,NIEPRZYGOTOWANY
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,KLASA PANCERZA
1 ki point,Enter up to 4 stances immediately - 1 ki point,1 punkt ki
INITIATIVE,INITIATIVE BONUS,INICJATYWA
BONUS,INITIATIVE BONUS,PREMIA
KI POOL,KI POOL|CAPACITY,UDERZENIE KI
CAPACITY,KI POOL|CAPACITY,ILOŚĆ
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Ponadczasowe ciało
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Nie starzeje się, nie może być postarzany za pomocą magii"
MELEE DAMAGE,MELEE DAMAGE|BONUS,OBRAŻENIA W ZWARCIU
BONUS,MELEE DAMAGE|BONUS,PREMIA
FEAR EFFECT,FEAR EFFECTWILL BONUS,RZ. OBR. NA STRACH
WILL BONUS,FEAR EFFECTWILL BONUS,PREMIA DO WOLI
CASTER,CASTER LEVEL,POZIOM CZARUJĄCEGO
LEVEL,CASTER LEVEL,""
ATTACK,ATTACK ACTIONS,ATAK
ACTIONS,ATTACK ACTIONS,PREMIA
Level,400’+ 40’ × Level,Poziom
MAX HIT DICE,TO REBUKE CREATURE |MAX HIT DICE,MAX KW
Good:,Good: +2 Loyalty,Dobry
Loyalty,Good: +2 Loyalty,Lojalność
RAGE!,RAGE!|TODAY,SZAŁ!
TODAY,RAGE!|TODAY,DZIŚ
FORTITUDE,FORTITUDE SAVE,WYTRWAŁOŚĆ
SAVE,FORTITUDE SAVE,RZUT OBRONNY
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Pula Wiedzy
DURATION,FEAT SHARING|DURATION,CZAS TRWANIA
"loyalty,","+3 loyalty, +4bp consumption","lojalności,"
+4bp,"+3 loyalty, +4bp consumption",+4pb
consumption,"+3 loyalty, +4bp consumption",konsumpcji
DURATION,SHADOW TWIN|DURATION,CZAS TRWANIA
KNOWLEDGE,ENCOUNTER|KNOWLEDGE,WIEDZA
Icewalking,Icewalking|No movement penalty in icy terrain,Chodzenie po Lodzie
DURATION,RESISTANCE|DURATION,CZAS TRWANIA
TALENTS,TALENTS|KNOWN,TALENTY
KNOWN,TALENTS|KNOWN,ZNANE
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,ST Zwinności = 5 + Wrogie
CMD,Acrobatics DC = 5 + Opponent’s CMD,OMB
TOUCH,TOUCH AC,DOTYK
AC,TOUCH AC,KP
Woodland Stride,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Leśny Krok
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Poruszasz się po poszyciu leśnym z normalną prędkością|i nie otrzymujesz obrażeń.
Shielded Caster,Shielded Caster    +4 to concentration checks,Obrona Czarującego
to concentration checks,Shielded Caster    +4 to concentration checks,do testów koncentracji
USES PER DAY,RESOLVE|USES PER DAY,UŻYĆ NA DZIEŃ
MAX HIT DICE,TO DESTROY CREATURE |MAX HIT DICE,MAX KW
REFLEX,REFLEX SAVE,REFLEKS
SAVE,REFLEX SAVE,Rz. Obr.
INITIATIVE,INITIATIVE|BONUS,INICJATYWA
BONUS,INITIATIVE|BONUS,PREMIA
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Przechodzi w stan eteryczny na minutę - 
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 punkty ki
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,MISTRZOWSKIE UDERZENIE
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,ST WYTRWAŁOŚĆ
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,Wyczucie Momentu
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,AO kiedy sprzymierzeniec potwierdzi krytyka
Great Cleave,Great Cleave    Any number of extra attacks per round,Większe Rozszczepienie
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Dowolna liczba dodatkowych ataków na rundę
Strength Score|Penalty:,Strength Score|Penalty: -2,Wartość Siły|Kara:
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to 5/—,Penetrujący Cios
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignoruje redukcję obrażeń do
PROHIBITED,PROHIBITED SCHOOLS,ZAKAZANE
SCHOOLS,PROHIBITED SCHOOLS,SZKOŁY
"economy,","+3 economy, -4 loyalty","ekonomii,"
loyalty,"+3 economy, -4 loyalty","lojalności,"
Leads kingdom’s defences,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",Przewodzi obroną królestwa
"– If vacant,","Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",- Jeśli nieobecny
loyalty and,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",lojalności i
stability,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",stabilności
Craft -,Craft - INT|Perform - CHA,Rzemiosło -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Występy - 
CHA,Craft - INT|Perform - CHA,CHA
CREATURES AFFECTED,CREATURES AFFECTED TOTAL HIT DICE,ISTOTY POD WPŁYWEM
TOTAL HIT DICE,CREATURES AFFECTED TOTAL HIT DICE,SUMA KW
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Formacja Kawalerska
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Dzieli przestrzeń, szarżuje przez pole zajmowane przez wierzchowca sprzymierzeńca"
Slow Fall,Slow Fall 90 ft,Powolny Upadek
90 ft,Slow Fall 90 ft,27m
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+4 do wszystkich rzutów obronnych|+4 premii unikowej do
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,KP
DURATION,AURA|DURATION,CZAS TRWANIA
Menacing Shot,Menacing Shot    Shoot into the air to inspire fear within 30ft,Strzał Grozy
RAGE!,RAGE!|Duration,SZAŁ!
Duration,RAGE!|Duration,CZAS
CHANNEL ENERGY,CHANNEL ENERGY PER DAY,KIERUNKOWANIE ENERGII
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Finezja w Broni
Use,Weapon Finesse  Use DEX for melee attack,Użyj
DEX,Weapon Finesse  Use DEX for melee attack,ZR
for melee attack,Weapon Finesse  Use DEX for melee attack,do ataku w zwarciu
POWER POINTS,POWER POINTS|MAX COST,PUNKTY MOCY
MAX COST,POWER POINTS|MAX COST,MAKSYMALNY KOSZT
MILITARY,MILITARY    Create armed units (comes from allocation for settling towns),ARMIA
Create armed units (comes from allocation for settling towns),MILITARY    Create armed units (comes from allocation for settling towns),Tworzy oddziały zbrojnych (pochodzące z przydziału konkretnych miast)
"economy,","+1 economy, -1 loyalty",ekonomii
loyalty,"+1 economy, -1 loyalty",lojalności
(which grants,(which grants +8 to Acrobatics),zapewnia
to Acrobatics),(which grants +8 to Acrobatics),do Zwinności
loyalty,+1 loyalty,lojalności
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,Skoordynowana Szarża
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Szaruże na tego same wroga co sprzymierzeniec
Lightfoot,Lightfoot|Cannot be detected by tremorsense,Lekki krok
d6,d6 +,K6
Far Shot,Far Shot    Attack penalty per range increment decreases from -2 to -1,Daleki Strzał
Attack penalty per range increment decreases from -2 to -1,Far Shot    Attack penalty per range increment decreases from -2 to -1,Kara do Ataku na przyrost zasięgu maleje z -2 do -1
Venom Immunity,Venom Immunity|Immune to all poisons,Odporność na jad
Immune to all poisons,Venom Immunity|Immune to all poisons,Odporny na wszystkie trucizny
RANGED ATTACK,RANGED ATTACK|BONUS,DYSTANS
BONUS,RANGED ATTACK|BONUS,PREMIA
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,MAKSYMALNA|PREMIA ZE ZR
BONUS,MAX ARMOUR|DEX BONUS,PREMIA
HEXES,HEXES    Claim and abandon hexes,HEXY
Claim and abandon hexes,HEXES    Claim and abandon hexes,Zdobywanie i porzucanie hexów
KNOWLEDGE,KNOWLEDGE |BONUS,WIEDZA
BONUS,KNOWLEDGE |BONUS,PREMIA
RAGE!,RAGE! DURATION,SZAŁ!
DURATION,RAGE! DURATION,CZAS TRWANIA
