Original,Part of,Translation
ABILITIES,"",Habilidades
A successful sneak attack can also deliver one of:| • Sleep for 1d4 hours| • Paralysed for 2d6 rounds| • Slain,"",Um ataque furtivo bem sucedido pode causar um efeito:| •  Dormir por 1d4 horas| •  Paralizado por 2d6 rodadas| • Assassinado
MONK,"",MONGE
REFLEX,REFLEX SAVE,REFLEXO
SAVE,REFLEX SAVE,RESISTÊNCIA
(ROGUE),"",(LADINO)
Perception,"",Percepção
MALE,"",MASCULINO
FEMALE,"",FEMININO
Climb,"",Escalar
"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.","","O dano do ataque furtivo pode ser aplicado quando um inimigos esta flanqueado ou|não possui seu bônus de DES na CA.|Em ataques a distância, só é aplicado com 10m.|Não é multiplicado em hits críticos.|Não pode ser não-letal, a não ser que utilize uma arma não-letal."
Bards can wear light armour without risking|spell failure.,"",Bardos podem vestir armaduras leves sem risco de|Falha Arcana.
Ability|Modifier,"",Modificador de|Habilidade
FAVOURED ENEMIES,"",INIMIGO FAVORITO
FAVOURED TERRAINS,"",TERRENO FAVORITO
Cost:,Cost: 1 pt,Custo:
1 pt,Cost: 1 pt,1pt
MIGHTY,MIGHTY RAGE!,FÚRIA
RAGE!,MIGHTY RAGE!,PODEROSA!
Swim,"",Nadar
Ability|Score,"",Pontos de|Habilidade
Fatigued,"",Fadiga
Treat unarmed attacks as adamantine weapons,"",Trata o ataque desarmado como arma de adamante
Dodge,"",Esquiva
FAVOURED ENEMY BONUS,"",BÔNUS DE INIMIGO FAVORITO
WILL,WILL SAVE,VONTADE
SAVE,WILL SAVE,RESISTENCIA
FORT,"",FORT
DISTRACTION,"",DISTRAÇÃO
Use bonus in place of...,"",Use bônus no lugar de...
"Ranger bonus feats can be taken without the normal pre-requisites,|but only apply when not wearing heavy armour.","","O talento bônus de ranger pode ser adquirido sem os pre-requisitos,|mas são aplicados apenas quando não estiver vestindo armadura pesada."
GREATER,GREATER RAGE!,FÚRIA
RAGE!,GREATER RAGE!,MAIOR!
Temp,"",Temporário
TRAP SENSE,"",SENTIR ARMADILHAS
Bonus|Points,"",Pontos|Bônus
DURATION,DURATION|PER DAY,DURAÇÃO
PER DAY,DURATION|PER DAY,POR DIA
Improved Evasion,"",Evasão Aprimorada
Sense Motive,"",Sentir Motivação
Channel Positive Energy,"",Canal de Energia Positiva
Bonus|Feats,"",Talento|Bônus
Treat unarmed attacks as lawful weapons,"",Considera ataque desarmado como Arma Leal
PERFORMANCES,"",PERFORMANCES
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,CONSTITUIÇÃO
BONUS,CONSTITUTION|SCORE|BONUS,MODIFICADOR
RAGE!,RAGE!|TODAY,FÚRIA!
TODAY,RAGE!|TODAY,HOJE
EMPTY BODY,"",CORPO VAZIO
Item|Bonus,"",Item|Bônus
FATIGUED,FATIGUED|DURATION,FATIGADO
DURATION,FATIGUED|DURATION,DURAÇÃO
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","Começar ou trocar uma performance de bardo como uma ação de movimento,|ao invés de ação padrão."
"Cannot rage, run or charge|while fatigued.","","Não pode entrar em Fúria, Correr ou dar Investida|enquanto estiver fatigado."
Wild|Shape|Level,"",Nível da|Forma|Selvagem
Ability Modifier =|    (Total Ability Score - 10) ÷ 2,"",Modificador =|(Total de pontos - 10) ÷ 2
KI POOL,KI POOL|CAPACITY,PISCINA DE KI
CAPACITY,KI POOL|CAPACITY,CAPACIDADE
REF,"",REF
Temp AC,"",CA Temporária
CMB,"",BMC
WILL,WILL|SAVE DC,VONTADE
WILL|SAVE,WILL|SAVE DC,VONTADE|RESISTÊNCIA
SAVE DC,WILL|SAVE DC,CD DE RESISTÊNCIA
DC,WILL|SAVE DC,CD
FRIENDLY,"",AMIGAVEL
SURVIVAL,"",SOBREVIVÊNVIA
Ki Pool (lawful),"",Piscina de KI (leal)
TRAP SENSE,TRAP SENSE|BONUS,SENTIR ARMADILHA
BONUS,TRAP SENSE|BONUS,BÔNUS
STRENTH|SCORE,STRENTH|SCORE|BONUS,FORÇA
BONUS,STRENTH|SCORE|BONUS,MODIFICADOR
Strength Score|Penalty:,Strength Score|Penalty: -2,Pontos de Força|Penalidade:
Mobility,"",Mobilidade
ENERGY,ENERGY|ROLL,ENERGIA
ROLL,ENERGY|ROLL,ROLAGEM
TOUCH,TOUCH ARMOUR CLASS,TOQUE
ARMOUR CLASS,TOUCH ARMOUR CLASS,CLASSE DE ARMADURA
BARBARIAN,"",BÁRBARO
Ki Pool (adamantine),"",Piscina de KI (adamante)
Rounds|Today,"",Rodadas|Hoje
Size,"",Tamanho
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,SURPRESA
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,CLASSE DE ARMADURA
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Pontos de Destreza|Penalidade:
BONUS FEAT,"",TALENTO BÔNUS
DAMAGE,DAMAGE|REDUCTION,Redução de
REDUCTION,DAMAGE|REDUCTION,Dano
ATTACKS,"",ATAQUES
1d8,"",1d8
Buffs,"",Buffs
Deflect Arrows,"",Desviar Objetos
CATCH LEDGE,"",SEGURAR NA BORDA
RAGE!,RAGE!|Duration,FÚRIA!
Duration,RAGE!|Duration,Duração
1ft,"",30cm
ARMOUR CLASS BONUS,"",BÔNUS DE CLASSE DE ARMADURA
HEALING|POINTS,"",PONTOS DE|VIDA
COMBAT STYLE,"",ESTILO DE COMBATE
USES,USES|PER DAY,USOS
PER DAY,USES|PER DAY,POR DIA
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD de Acrobacia = do Oponente
CMD,Acrobatics DC = Opponent’s CMD,MCD
Ki Pool (magic),"",Piscina de KI (Magia)
if you fail a jump by 4 or less,"",se falhar o pulo em 4 ou menos
to ignore 10ft of falling damage,"",ignora 3m de dano por queda
MOVE THROUGH THREATENED SQUARE,"",MOVER-SE POR QUADRADOS AMEAÇADOS
Nerfs,"",Nerfs
20ft,"",6m
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD de Acrobacia = 5 + do Oponente
CMD,Acrobatics DC = 5 + Opponent’s CMD,MCD
Combat Reflexes,"",Reflexos em Combate
6ft,"",1.8m
2ft,"",0.6m
MOVE THROUGH ENEMY’S OWN SQUARE,"",MOVER-SE PELO QUADRADO DO INIMIGO
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,CLASSE DE|ARMADURA
PENALTY,ARMOUR|CLASS|PENALTY,PENALIDADE
Morale|Bonus,"",Bônus de|Moral
Value,"",Valor
"Treat hands, feet, knees and elbows as weapons","","Trata mãos, pés, joelhos e cotovelos como armas"
7ft,"",2.1m
d4 / d8,"",d4 / d8
INIT,"",INIC
2d10,"",2d10
INITIATIVE,INITIATIVE BONUS,INICIATIVA
BONUS,INITIATIVE BONUS,BÔNUS
30ft,"",10m
AC,AC BONUS,CA
BONUS,AC BONUS,BÔNUS
25ft,"",7.5m
WHOLENESS OF BODY,"",INTEGRIDADE CORPORAL
Spring Attack,"",Ataque em Movimento
15ft,"",4.5m
WILL,"",VONTADE
Campaign,"",Campanha
FALL,"",QUEDA
WILL|SAVE,WILL|SAVE|BONUS,Teste de|Vontade
BONUS,WILL|SAVE|BONUS,Bônus
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MÁXIMA AUDIÊNCIA
4ft,"",1.2m
55ft,"",16.5m
RAGE!,RAGE!  DURATION|PER DAY,FÚRIA!
DURATION,RAGE!  DURATION|PER DAY,DURAÇÃO
PER DAY,RAGE!  DURATION|PER DAY,POR DIA
BARDIC PERFORMANCE,"",PERFORMANCE DE BARDO
35ft,"",10.5m
8ft,"",2.4m
Indomitable Will,"",Vontade Inabaláve
Tireless,Tireless RAGE!,FÚRIA!
RAGE!,Tireless RAGE!,Incansável
SOOTHING PERFORMANCE,"",PERFORMANCE SUÁVE
50ft,"",15m
15 Acrobatics,"",15 de Acrobacia
POWER LEVELS,"",NÍVEIS DE PODER
3ft,"",1.2m
45ft,"",13.5
40ft,"",12m
9ft,"",2.7m
Sml / Lrg,"",peq / gde
LONG JUMP,"",PULO LONGO
11ft,"",3.3m
CMD,CMD BONUS,MDC
BONUS,CMD BONUS,Bônus
2d6 / 3d8,"",2d6 / 3d8
2d8 / 4d8,"",2d8 / 4d8
Temp Speed,"",Deslocamento Temporário
Timeless Body,"",Corpo Atemporal
Natural|Armour,"",Armadura|Natural
Flurry of Blows,"",Rajada de Golpes
Heal,"",Curar
+60 ft,Fast Movement +60 ft,+18m
+50 ft,Fast Movement +50 ft,+15m
+40 ft,Fast Movement +40 ft,+12m
+30 ft,Fast Movement +30 ft,+9m
+20 ft,Fast Movement +20 ft,+6m
+10 ft,Fast Movement +10 ft,+3m
30 ft,Slow Fall 30 ft,9m
40 ft,Slow Fall 40 ft,12m
50 ft,Slow Fall 50 ft,15m
60 ft,Slow Fall 60 ft,18m
70 ft,Slow Fall 70 ft,21m
80 ft,Slow Fall 80 ft,24m
90 ft,Slow Fall 90 ft,27m
20 ft,Slow Fall 20 ft,6m
ft,30 ft,m
60 ft,"",18m
30 ft,"",9m
120 ft,"",36m
ft,= 5 ft + ( 5 ft ×,m
ft.,"",m.
30ft,"Attack range 30ft, half damage to targets of the wrong type",9m
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,1.5m
Scent 30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",Farejar 9m
30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",9m
60ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",18m
15ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",4.5m
Slow Fall 20 ft,"",Queda Leve 6m
Slow Fall 30 ft,"",Queda Leve 9m
Slow Fall 40 ft,"",Queda Leve 12m
Slow Fall 50 ft,"",Queda Leve 15m
Slow Fall 60 ft,"",Queda Leve 18m
Slow Fall 70 ft,"",Queda Leve 21m
Slow Fall 80 ft,"",Queda Leve 24m
Slow Fall 90 ft,"",Queda Leve 27m
+10 ft,Speed +10 ft,+10m
30 ft / 6 sq,The default range increment of a |thrown mind blade is 30 ft / 6 sq.,9m / 6quad
20ft,Treat unarmed attacks as magic weapons|Increase range of a thrown object 20ft - 1 ki point,6m
UNCONTROLLED RAGE!,"",FÚRIA DESCONTROLADA!
5ft,÷ 5 ) × 5ft,1.5m
+ 100 ft.,"",+30m
+10ft,"",+3m
+20ft,"",+20m
ft,10 ft  2 sq,m
100 ft,"",30m
15 ft,"",4.5m
ft,15 ft  3 sq,m
15ft.  Cone or|30ft. Line,"",Cone de 4.5m ou|Linha de 9m
ft,20 ft  4 sq,m
20ft aura of luck -,20ft aura of luck - 2 or more ki points,6m de Aura da Sorte - 
"30ft cone of fire, deals 2d6 damage -","30ft cone of fire, deals 2d6 damage - 4 ki points","cone de fogo de 9m, dá 2d6 de dano -"
30ft. Cone or|60ft. Line,"",Cone de 9m ou|Linha de 18m
40 ft,"",12m
50 ft,"",15m
80 ft,"",24m
Darkvision 60ft,"",Visão no Escuro 18m
Darkvision 60ft,Darkvision 60ft| • Can see without any light at all| • Invisible objects are still invisible| • Darkvision is black and white,Visão no Escuro 18m
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9m / 6 quad
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9m
30ft,"Harm spirits, 1d6 /level, within 30ft",9m
