Original,Part of,Translation
BONUS,CMD BONUS,BMC
"One background trait, connected to your character’s origin","","Un rasgo de trasfondo, conectado al origen de tu personaje"
Stability,Neutral: +2 Stability,Estabilidad
Temp Attack,"",Ataque Temp.
Creature type,"",Tipo de criatura
FAVOURED TERRAIN,"",TERRENO FAVORITO
Grant more abilities to allies -,Grant more abilities to allies - 2 ki points,Conceder más aptitudes a aliados -
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Precisión furtiva
Weapon Mastery,"",Maestría con Armas
BUILDINGS,BUILDINGS    Add buildings to towns,EDIFICIOS
Damage bonus,"",Bonus Daño
Non-Monk|Levels,"",Niveles|No-Monje
PARTY,"",GRUPO
Basic attributes,"",Atributos básicos
BONUS,BASE|ATTACK|BONUS,BASE
Draw selected weapon as an immediate action:,"",Desenfunda arma seleccionada como acción inmediata:
DURATION,SHARE FAVOURED ENEMY|DURATION,DURACIÓN
Enhancements,"",Mejoras
Improved Evasion,"",Evasión Mejorada
Natural|Armour,"",Armadura|Natural
1d10,"",1d10
Longbow,"",Arco Largo
"– If vacant,","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","- Si vacante,"
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,DESPREVENIDO
Book,"",Libro
STR,"",FUE
1 ki point / min,Impose a truce between fighting parties - 1 ki point / min,1 punto ki/minuto
ANIMAL COMPANION,"",COMPAÑERO ANIMAL
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Asume estado etereo durante 1 minuto -
Automatic success on casting defensively,"",Éxito automático cuando se lanza defensivamente
Flurry of Blows,"",Ráfaga de Golpes
PER DAY,INVENTION USES |PER DAY,AL DÍA
SETTLEMENTS,"",ASENTAMIENTOS
"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get","You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.","Obtienes un número de rangos de habilidad de tu clase, a los que añades|tu modif. INT. Coloca estos rangos en habilidades.|Recuerda que las habilidades de clase obtienen"
(ROGUE),"",(PÍCARO)
and,+2 shield bonus to AC and CMD while stationary,y
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",bonus a
DEPOSIT,DEPOSIT    4000gp in trade goods and treasure nets 1bp,DEPÓSITO
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Desenvaina arma como acción gratuíta
Grants,Grants +20 to Acrobatics,Concede
Sneak Attack,Sneak Attack +2d6,Ataque Furtivo
unrest at upkeep and no bonus from festivals,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",malestar durante el mantenimiento y sin bonus por festivales.
2d8,"",2d8
AC,Back to Back    +2 to AC against flanking,CA
COMBAT,"",COMBATE
hp on a confirmed critical attack,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,pg en crítico confirmado
OATH,"",JURAMENTO
INFLICT,"",INFLIGE
Use bonus in place of...,"",Usar bonificador en lugar de...
Conceal Knife,"",Esconder Cuchillo
d6,"",d6
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
TAXATION,"",IMPUESTOS
BONUS,BONUS|SPELLS,BONUS
Bonus to ability scores,"",Bonus a puntuaciones Características
CMB,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",BMC
economy and,"Intelligence - If vacant, -4 economy and +1 unrest at upkeep",economía y
Economy|Roll,"",Prueba|Economía
FRIENDS AND FOES,"",AMIGOS Y ENEMIGOS
FORTITUDE,FORTITUDE|SAVE DC,FORTALEZA
Slow Fall,Slow Fall 80 ft,Caída lentificada
TOTAL FUNDS,"",FONDOS TOTALES
A dose of wolfsbane grants another fortitude save.,"",Una dosis de acónito concede otra Salv. Fortaleza.
DC,DC 25,CD
Detect Curse,"",Detectar Maldición
"economy,","+3 economy, -4 loyalty","economía,"
Improved Trip,"",Derribo mejorado
BONUS,ATTACK|BONUS,ATAQUE
DC,DC 15,CD
Level,25’+ 5’ × (Level ÷ 2),Nivel
Liases with the people,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",Coopera con la gente
MASTER STRIKE,"",GOLPE MAESTRO
Origin,"",Origen
SHAMAN,"",SHAMAN
2d10,"",2d10
Apply this bonus to all knowledge skills,"",Aplica este bon a todas las habilidades de saberes
at half speed,"",a mitad velocidad
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand","bonus, incluso con mano torpe"
Cause an enemy to die of joy or sorrow,"",Causa que un enemigo muera de alegría o pena
ENERGY,ENERGY|ROLL,TIRADA
Forbidden Domain,"",Dominio Prohibido
SPELLS,"",CONJUROS
1 ki point,"As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point",1 punto ki
Damage Reduction,"",Reducción Daño
PER DAY,REROLL|PER DAY,AL DÍA
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Considerado un Ajeno
AC,Insight bonus to AC and CMD,CA
"At odd-numbered levels, you get to pick a feat.|Make sure your character qualifies for the feat’s preconditions.","","A niveles impares, obtiene una dote.|Asegúrate de que tu personaje cumple con los prerrequisitos."
Maximum|Penalty,"",Penal.|Máxima
SPELL SCHOOLS,"",ESCUELAS DE CONJUROS
Bonus|Spells,"",Conjuros|Adicionales
CMD,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,BMC
CMD,Bonus to CMB and CMD for your|chosen combat manoeuvres,BMC
Dodge|Bonus,"",Bonus|Esquiva
Familiar’s Name,"",Nombre del Familiar
Masterwork,Masterwork     Doesn’t stack with magic bonus,Gran Calidad
Physical Resistance,Physical Resistance -3,Resistencia Física
Strength|Bonus,"",Bon de|Fuerza
Use ki attacks with arrows as if they were melee,"",Usa ataques ki con flechas como si fueran de melee
VALUABLE ITEMS,"",Objetos Valiosos
(which grants,(which grants +12 to Acrobatics),(concede
15 Acrobatics,"",15 Acrobacias
HUNTER’S BOND,"",VÍNCULO DEL CAZADOR
PER DAY,SPELLBANE OR CURSEBREAKER|PER DAY,AL DÍA
Damage Reduction:,"",Reducción Daño:
N/A,"",N/A
SPECIALITY,SPECIALITY SCHOOL,ESCUELAS
Summon Nature’s Ally V,"",Conovocar Aliado Natural V
• Sickened,"",• Nauseado
CMD,CMD BONUS,BONUS
Commands the army,"Commands the army - If vacant, -4 stability",Lidera el ejército
per,"",por
Caster|Level,"",Nivel de|Lanzador
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","Si golpeado, Fort (CD 10 + ½ Nivel +"
Ruler of a colony or vassal state,"Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit",Regidor de una colonia o estado vasallo
SURVIVAL,"",Supervivencia
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Combate con dos armas
"When ally is adjacent, roll twice for trip","Tandem Trip    When ally is adjacent, roll twice for trip CMB","Cuando un aliado está adyacente, tira dos veces para derribar"
"Equipment does not meld between Humanoid and|Hubrid forms, but does with Animal form.","","El equipo no se funde entre la forma Humanoide|y la Híbrida, pero sí con la forma Animal."
Fast Movement,Fast Movement +60 ft,Movimiento Rápido
"If unrest reaches 20, the kingdom falls into anarchy","","Si el malestar llega a 20, el Reino cae en la anarquía"
Knowledge: Nature,"",Saber: Naturaleza
BONUS,FLURRY ATTACK BONUS,BONUS
Rank / Position,"",Rango / Posición
Special properties,"",Propiedades Especiales
Temp CMB,"",BMC Temp.
Tiring Critical,"",Crítico fatigante
7ft,"",7ft
CHARACTER|BACKGROUND,"",TRASFONDO|PERSONAJE
FEAT SHARING,FEAT SHARING|PER DAY,COMPARTIR DOTES
SAVE DC,TRAP|SAVE DC,CD SALV
Domain Spell,"",Conjuro de Dominio
Level,Level 8,Nivel
"stability,","+3 stability, +4bp consumption","Estabilidad,"
The head of Alfredo Garcia,"",La cabeza de Alfredo García
1d8,1d2 ? 1d3 ? 1d4 ? 1d6 ? 1d8 ? 2d6 ? 3d6 ? 4d6 ? 6d6 ? 8d6 ? 12d6,1d8
PER MONTH,CONSUMPTION|PER MONTH,AL MES
Power Attack,"",Ataque Poderoso
WILL SAVE,WILL SAVE|BONUS,SALV VOL
+2bp,"+2 loyalty, +2bp consumption",+2bp
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
Bonus to,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,Bonus a
Burrow Speed,"",Vel. de Cavar
"Cannot rage, run or charge|while fatigued.","","No se puede entrar en furia, correr o cargar|mientras estés fatigado."
CATCH LEDGE,"",COGER SALIENTE
"economy,","+1 economy, -1 loyalty","economía,"
Immune to death effects,"",Inmune a efectos de muerte
Light Load,"",Carga Ligera
Rounds|Today,"",Turnos|Hoy
SNEAK ATTACK,"",Ataque Furtivo
• Cowering,"",• Aterrado
30 ft,"",30 ft
DURATION,RAGE!  DURATION|PER DAY,DURACIÓN
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Mueves a través de maleza a vel. normal|y no recibes daño
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Sin acciones este asalto|Pierde
consumption,"+1 loyalty, +1bp consumption",consumo
economy,"Guides higher learning and magic - If vacant, -4 economy",economía
LEADERSHIP ROLES,"",ROLES LIDERAZGO
Claws: 1d4 damage (1d3 if small),"",Garras: 1d4 daño (1d3 si Pequeño)
Endurance,"",Aguante
FAVOURED|CLASS BONUS,"",BONUS CLASE|FAVORITA
PAYMENTS,"",PAGOS
Sixth Sense +2,"",Sexto Sentido +2
Summon Nature’s Ally III,"",Conovocar Aliado Natural III
2 ki points,"As a swift action once a day, create a 20ft-radius aura of|luck allowing yourself and all allies to take the better of two|rolls for attacks and saving throws.|Aura lasts 1 round for every 2 ki points spent",2 puntos ki
BONUS FEATS,"",DOTES ADICIONALES
Critical Range,"",Rango Crítico
HIT POINTS & SKILL RANKS,"",PUNTOS GOLPE & RANGOS HABILIDADES
TODAY,RAGE!|TODAY,HOY
A Thousand Faces,A Thousand Faces|Change appearance at will,Las Mil Caras
ARCANE BOND,"",VÍNCULO ARCANO
BAB,Use monk level in place of BAB for calculating CMB,BAB
d6,d6 +,d6
DC,REFLEX|SAVE DC,CD
ft,15 ft  3 sq,ft
Inflict Wounds,"",Infligir Heridas
Priest|Level,"",Nivel|Clérigo
RAGE!,Tireless RAGE!,Incansable
+ 2 + 4d6,"",+ 2 + 4d6
DURATION,MIND BLADE|DURATION,DURACIÓN
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Ataque extra si el enemigo queda fuera de combate
Damage Reduction 3/,Damage Reduction 3/―,Reducción Daño 3/
Ignore total concealment or cover -,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",Ignora ocultamiento total o cobertura -
MOUNT,"",MONTURA
6d8,1d10 ? 2d8 ? 3d8 ? 4d8 ? 6d8 ? 8d8 ? 12d8,6d8
Alchemist|Level,"",Nivel de|Alquimista
KNOWN,ARCANA|KNOWN,CONOCIDOS
ARMOUR CLASS,TOUCH ARMOUR CLASS,TOQUE
"When below 0hp, always stabilise without needing to make a constitution check (though bleed damage still counts).","","Por debajo de 0pg, siempre se estabiliza sin necesitar prueba de Constitución (aunque el sangrado aún cuenta)."
30 ft,Slow Fall 30 ft,30 ft
DEX,Use WIS in place of STR/DEX for monk weapons,DES
Katana,"",Katana
STUNNING FIST,"",PUÑETAZO ATURDIDOR
3d6,1d2 ? 1d3 ? 1d4 ? 1d6 ? 1d8 ? 2d6 ? 3d6 ? 4d6 ? 6d6 ? 8d6 ? 12d6,3d6
Attack|Bonus,"",Bonus|Ataque
) or die,"On a critical, Fort (DC 10 + ½ level + DEX) or die",) o muere
BARBARIAN,"",BÁRBARO
Hair,"",Pelo
Wind Instruments,"",Instrumentos de Viento
"-2 to attack rolls, damage rolls,| saving throws, skill and ability checks","","-2 a tiradas ataque, de dañor,| Salv, habilidades y aptitudes"
Immune to fatigue,"",Inmune a la fatiga
Roll hit points and allocate skill ranks,"",Tira los puntos golpe y coloca rangos habilidad
for attacks with a bow,Use WIS instead of DEX for attacks with a bow,para ataques con un arco
loyalty,+1 loyalty,lealtad
Spell Level,"",Nivel Conjuro
Summon Nature’s Ally II,"",Conovocar Aliado Natural II
10ft,"",10ft
A natural lycanthrope’s bite afflicts the victim with|afflicted lycanthropy.,"",Un mordisco de un licántropo natural aflige a la víctima con|licantropía afligida
BONUS,DODGE|BONUS,BONUS
Cavalier|Level,"",Nivel de|Caballero
Special Ammo,"",Munición Especial
Viceroy,"",Virrey
WIS,"",SAB
BONUS,INSIGHT|BONUS,BONUS
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Maniobras Coordinadas
KNOWN,POWERS|KNOWN,CONOCIDOS
ROGUE,"",PÍCARO
"Use the starting wealth for your class, or a value supplied by your GM.","","Empieza usando la riqueza inicial de tu clase, o el valor proporcionado por tu GM"
Vorpal,"",Vorpal
+50 ft,Fast Movement +50 ft,+50 ft
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Construye granjas, caminos, minas, etc"
Exhausted,"",Exhausto
Shot on the Run,"",Disparo a la carrera
"- If vacant,","Enforce rural justice - If vacant, -4 economy","- Si está vacío, "
8d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,8d8
Cost:,Cost: 2 pt,Coste:
Race (including subtypes or customisations),"",Raza (incluyendo subtipos o personalizaciones)
today,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",hoy
Area / Target,"",Area / Objetivo
Bodyguard,"",Guardaespaldas
Chest,"",Pecho
2d8,1d10 ? 2d8 ? 3d8 ? 4d8 ? 6d8 ? 8d8 ? 12d8,2d8
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Golpe perforante Mejorado
INT - 4,"",INT - 4
RAGE,RAGE|Duration,FURIA
Damage Reduction 4/,Damage Reduction 4/?,Reducción Daño 4/
FORTITUDE|SAVE,FORTITUDE|SAVE DC,CD SALV
Haste,"",Acelerar
MONK OF THE|FOUR WINDS,"",MONJE DE LOS|CUATRO VIENTOS
SAVE DC,FORTITUDE|SAVE DC,CD SALV
TRAPS,"",TRAMPAS
and,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,y
Cash,"",Metálico
consumption,"+4 stability, +8bp consumption",consumo
"For 4 points, extend the effect to an extra target.","","Por 4 puntos, extiende el efecto a un objetivo extra."
to,Back to Back    +2 to AC against flanking,a
"– If vacant,","Intelligence – If vacant, -4 economy and +1 unrest at upkeep","- Si vacante,"
Blue,"",Azul
COMBAT MANEUVRE,COMBAT MANEUVRE|DEFENCE,DEFENSA MANIOBRA
Item|Bonus,"",Bon|Objeto
"loyalty,","+3 loyalty, +4bp consumption","lealtad,"
Treated as outsider,"",Considerado un Ajeno
(does not stack with natural armour),Natural armour bonus to AC|(does not stack with natural armour),(no acumulable con armadura natural)
2 ki points,Grant more abilities to allies - 2 ki points,2 puntos ki
Bonus in a given terrain,Favoured Terrain|Bonus in a given terrain,Bonus en un terreno determinado
Copper,"",Cobre
step,Pack Attack    Ally’s attack allows you to take 5ft step,paso
1 ki point,Increase bonus to +4 - 1 ki point,1 punto ki
"From level 10, a Rogue|can take Advanced Talents","","Desde Nivel 10, un Pícaro|puede aprender Talentos Avanzados"
Natural armour bonus to,Natural armour bonus to AC|(does not stack with natural armour),Bonus armadura natural a
Survival,"",Supervivencia
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TERRENO
The number of 12-mile hexes|that the kingdom controls,"",El número de hexag. de 12 millas|que controla el reino
to Humanoid form:,"",a forma Humanoide:
TODAY,ELEMENTAL FIST|TODAY,HOY
Unarmed|Strike|Damage,"",Daño|Golpe|sin Armas
BONUS,WILD SURGE|BONUS,BONUS
LOYALTY,"",LEALTAD
Pinpoint Targeting,"Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Puntería Precisa
to,Shield Wall    +1 / +2 to AC when both using shields,a
Assets,"",Posesiones
ATTACK FEATS,"",DOTES DE ATAQUE
BONUS,IMTIMIDATE|BONUS,BONUS
Duchy,"",Ducado
Extra attacks of opportunity,"",Ataques de oportunidad extra
Improved Two-weapon Fighting,"",Combate con dos armas mejorado
LEVEL,MAX POWER|LEVEL,NIVEL
SAVING|THROWS,"",PRUEBAS|SALVACIÓN
4d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,4d8
"Handle Animal, Intimidate","","Intimidar, Trato con Animales"
stability,"Commands the army - If vacant, -4 stability",Estabilidad
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",FUE
Become any small or medium animal,Wild Shape|Become any small or medium animal,Se transforma en cualquier animal pequeño o mediano
Dying,"",Moribundo
HIT POINTS,CORRUPTION|HIT POINTS,PUNTOS GOLPE
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignora las penalizaciones por cobertura u ocultamiento parcial
PER DAY,ELEMENTAL FIST|PER DAY,AL DÍA
RAGE!,RAGE!  DURATION|PER DAY,FURIA!
REGULAR PAYMENTS,"",PAGOS FIJOS
WIS,Linguistics and Knowledge are class skills using WIS,SAB
Is this a favoured class?,"",¿Es esta una clase favorita?
KINGDOM|POPULATION,"",POBLACIÓN|REINO
Other skills:|Craft - INT|Perform - CHA,"",Otras habilidades:|Oficio -INT|Interpretación – CAR
Trap Sense +6,"",Sentido de las Trampas +6
PALADIN,"",PALADÍN
Likes,"",Gustos
Training,"",Entrenamiento
economy and kingdom can’t levy taxes,"Oversees finances - If vacant, -4 economy and kingdom can’t levy taxes",economía y el reino no puede recaudar impuestos
Fatigued,"",Fatigado
Grants,Grants +4 to Acrobatics,Concede
MYTHIC FEATS,"",DOTES MÍTICAS
Purchase starting equipment,"",Compra de equipo inicial
(which grants,(which grants +20 to Acrobatics),(concede
ARCHERY,"",ARQUERÍA
Character traits,"",Rasgos de personaje
Consult the book to find out:,"",Consulta el libro para buscar:
RAGE!,EXTRA|RAGE!,FURIA!
Unlimited range,"",Rango ilimitado
Untrained,"",No entrenada
"Use your base or animal score, whichever is higher","","Usa tu puntuación base o la animal, la que sea mayor"
Feat Sharing|Today,"",Dotes compartidas|Hoy
One extra attack at full bonus,Haste    One extra attack at full bonus,Un ataque extra con bonus completo
BONUS,MAGICAL TALENT|BONUS,BONUS
Metamagic|Adjustment,"",Ajuste|Metamágico
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,USO ARMADURA
SPELL BOOK,"",LIBRO DE CONJUROS
Swap Places,Swap Places    Switch places with an ally,Cambiar sitios
CLERIC,"",CLÉRIGO
Level,"",Nivel
Staggering Critical,"",Crítico asombroso
+10 ft,Fast Movement +10 ft,+10 ft
A successful strike with smite goodbypasses damage reduction.,"",Un golpe con éxito con castigar el bien sobrepasa la reducción de daño
Additional Domain,"",Dominio Adicional
Number of|Cities,"",Número de|Ciudades
Threat range,"",Rango de amenaza
WILD SHAPE,"",FORMA SALVAJE
Outflank,Outflank    When flanking,Rebasar
Barony,"",Baronía
Stable,"",Estable
CMD,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,BMC
Light Wounds,"",Heridas Leves
"On critical hit, target is stunned (or staggered if they pass a Will save) for 1d4 rds.","","Tras un crítico, el objetivo queda aturdido (o grogui si supera Salv Vol.) durante 1d4 asaltos."
TRICKS / FEATS / SPECIAL ABILITIES,"",TRUCOS / DOTES / APTITUDES ESPECIALES
+60 ft,Fast Movement +60 ft,+60 ft
ANTIPALADIN,"",ANTIPALADÍN
Districts,"",Distritos
Properties,"",Propiedades
Resilience,"",Adaptación
Spell Save|DC Bonus,"",Bonus CD|Salv. Conjuro
to Acrobatics),(which grants +24 to Acrobatics),a Acrobacias)
Base|Attack Bonus /|Monk Level,"",Bonus|Ataque Base /|Nivel Monje
BONUS,SACRED|BONUS,BONUS
Creature Name,"",Nombre Criatura
ft,"",'
Morale Bonus,Morale Bonus    Inspire Courage and similar,Bonus Moral
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",- Si vacante
FEAR EFFECT,FEAR EFFECTWILL BONUS,BONUS VOLUNTAD
for melee attack,Weapon Finesse  Use DEX for melee attack,para ataques melee
if larger/|smaller,"",si más grande/|más pequeño
Concentration|Bonus,"",Bonus|Concentración
DATE,"",FECHA
FAVOURED ENEMIES,"",ENEMIGOS PREDILECTOS
SCROLLS,"",PERGAMINOS
second sneak attack in a round,"",segundo ataque furtivo en un asalto
AC,FLAT-FOOTED AC,DESPREVENIDO
AC,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,CA
Ignore difficult terrain while underground,"",Ignora el terreno difícil si estás bajo tierra.
Base|Points,"",Puntos|Base
BONUS,DEXTERITY|SCORE|BONUS,BONUS
Fatigue|Modifier,"",Modif.|Fatiga
MONEY,"",DINERO
Trapfinding,"",Encontrar trampas
50ft,"",50ft
