"Original","Part of","Count","File","Volume","Game","Level"
"Endurance","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"WILL","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"REF","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"FORT","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"WIS","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"WILL","WILL SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SAVE","WILL SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"REFLEX","REFLEX SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SAVE","REFLEX SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Base Save","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"FORTITUDE","FORTITUDE SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SAVE","FORTITUDE SAVE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"CON","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"PORTRAIT","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SKILLS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Ranks","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"EQUIPMENT","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ABILITIES","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"MALE","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"FEMALE","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"EVIL","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"GOOD","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"CHAOTIC","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"LAWFUL","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Ability Modifier = (Total Ability Score - 10) ÷ 2","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Height","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"lb","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Creature|Level","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Age","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Weight","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Subtype","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Creature Type","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"XP","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Creature Name","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"HIT|DICE","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"TRAINING","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"FAMILIAR","FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ANIMAL COMPANION","FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"MOUNT","FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SUMMONED CREATURE","FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"CHA","","2","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"INT","","2","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp|Bonus","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Item|Bonus","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Ability|Modifier","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Ability|Score","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Level","","15","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Cause an enemy to die of joy or sorrow","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"DEADLY PERFORMANCE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Suggest actions to already fascinated creatures","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"MASS SUGGESTION","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Enemies are frightened and flee your performance","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"FRIGHTENING TUNE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Mass Cure Serious Wounds|Removes the fatigued, sickened and shaken conditions","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"SOOTHING PERFORMANCE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"INSPIRE COMPETENCE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"INSPIRE COURAGE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bonus to attack and damage rolls","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bonus against charm and compulsion effects","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"CHA","","4","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Caster|Level","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Concentration","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"(Round up)","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bard|Level","","4","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"FASCINATE","FASCINATE|MAX AUDIENCE","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"MAX AUDIENCE","FASCINATE|MAX AUDIENCE","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Rounds|Today","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bard Level","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"WILL","WILL SAVE DC","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"SAVE DC","WILL SAVE DC","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"TAKE 10","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"TAKE 20","TAKE 20 PER DAY","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"PER DAY","TAKE 20 PER DAY","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Able to take 10 on any skill","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"All skills are considered class skills","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Use any skill as if you were trained","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Unlimited uses|per day","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Take 20 Today","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"JACK OF ALL TRADES","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"LORE MASTER","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Misc","","2","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bonus applies to saving throws against Bardic Performance, sonic|and language-dependent effects.","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Apply this bonus to all knowledge skills","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bards can use all knowledge skills untrained","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"KNOWLEDGE","KNOWLEDGE |BONUS","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"BONUS","KNOWLEDGE |BONUS","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"PERFORMANCES","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"BARDIC PERFORMANCE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"+ 4 to all saving throws|+ 4 dodge bonus to","+ 4 to all saving throws|+ 4 dodge bonus to AC","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"AC","+ 4 to all saving throws|+ 4 dodge bonus to AC","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"INSPIRE HEROICS","INSPIRE HEROICS  MAX AFFECTED","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"MAX AFFECTED","INSPIRE HEROICS  MAX AFFECTED","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Use bonus in place of...","","2","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Diplomacy, Handle Animal","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Wind Instruments","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bluff, Diplomacy","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"String","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bluff, Sense Motive","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Sing","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Handle Animal, Intimidate","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Percussion","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Diplomacy, Sense Motive","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Oratory","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Other:","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Diplomacy, Intimidate","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Keyboard|Instruments","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Acrobatics, Fly","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Dance","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bluff, Intimidate","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Comedy","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bluff, Disguise","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Act","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"VERSATILE PERFORMANCE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"WELL-VERSED","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"BARDIC KNOWLEDGE","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Cause enemies within 30ft to become shaken","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"DIRGE OF DOOM","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Suggest actions to one already fascinated creature","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"SUGGESTION","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Counter magical effects that depend on sight.|Allies within 30ft use Performance roll in place of a saving throw","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"DISTRACTION","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Counter magical effects that depend on sound.|Allies within 30ft use Performance roll in place of a saving throw","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"COUNTERSONG","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"2 × (d10 +","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"CON","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"INSPIRE GREATNESS","INSPIRE GREATNESS  MAX AFFECTED","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"MAX AFFECTED","INSPIRE GREATNESS  MAX AFFECTED","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"DURATION","DURATION|PER DAY","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"PER DAY","DURATION|PER DAY","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"rds","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bards can wear light armour without risking|spell failure.","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"SPELLS","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"KNOWN SPELLS","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"d00","","2","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Bonus Spells","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"CHA - 12","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"CHA - 8","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"CHA - 4","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Base|Spells","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Spells|per day","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Spell|Save DC","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Spells|Known","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"Spell Save DC = 10 + CHA + Spell Level","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"PREPARED SPELLS","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"ARCANE SPELL FAILURE","ARCANE SPELL FAILURE THRESHOLD","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"THRESHOLD","ARCANE SPELL FAILURE THRESHOLD","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"BARD","","1","Pathfinder/Core/Bard","Core Rulebook","Pathfinder","1"
"FEATS & SPECIAL ABILITIES","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"LANGUAGES","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"SKILLS","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CHARACTER","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"ABILITIES","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"MALE","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"FEMALE","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Size|Modifier","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Size","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Race","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Name","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"rks","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"hp","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Class|Skills","Class|Skills|+3","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"INT","+ INT| per level","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"per level","+ INT| per level","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CON","+ CON| per level","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"per level","+ CON| per level","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"+1 per level","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Favoured class","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Untrained","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Hit Die","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Level|Adjustment","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Skill Ranks","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Armour|Check|Penalty","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Misc","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Skill|Bonus","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Racial,|Feats","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Ranks","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Knowledge -","Knowledge - INT|Profession - WIS","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"INT","Knowledge - INT|Profession - WIS","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Profession -","Knowledge - INT|Profession - WIS","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"WIS","Knowledge - INT|Profession - WIS","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Craft -","Craft - INT|Perform - CHA","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"INT","Craft - INT|Perform - CHA","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Perform -","Craft - INT|Perform - CHA","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CHA","Craft - INT|Perform - CHA","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Level","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CLASSES","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Effective|Character|Level","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"EVIL","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"GOOD","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CHAOTIC","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"LAWFUL","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CHA","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"WIS","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"INT","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"CON","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"DEX","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"STR","","3","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Temp|Modifier","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Temp|Score","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Item|Bonus","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Ability|Modifier","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Ability|Score","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down)","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"XP","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Player","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Campaign","","1","Pathfinder/Core/Character Info","Core Rulebook","Pathfinder","1"
"Caster|Level","","2","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"EVIL","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"GOOD","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"CHAOTIC","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"LAWFUL","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"ft","30 ft","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"CHANNEL","CHANNEL|RANGE","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"RANGE","CHANNEL|RANGE","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"Radius centred|on the Cleric","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"PREPARED SPELLS","","2","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"Domain Spell","","18","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"d00","","3","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
"Spell Save DC = 10 + WIS + Spell Level","","1","Pathfinder/Core/Cleric","Core Rulebook","Pathfinder","1"
