Original,Part of,Translation
SKILLS,"",ABILITÀ
SNEAK ATTACK,"",ATTACCO FURTIVO
TALENTS,TALENTS|KNOWN,TALENTI
KNOWN,TALENTS|KNOWN,CONOSCIUTI
ROGUE TALENTS,"",DOTI DA LADRO
Ammo,"",Munizioni
Bonus Spells,Bonus Spells|WIS,Incantesimi Bonus
WIS,Bonus Spells|WIS,SAG
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,DANNO FURTIVO
BONUS,SNEAK DAMAGE|BONUS,BONUS
MASTER STRIKE,"",COLPO DA MAESTRO
Uses Today,"",Usi oggi
Base|Attack Bonus,"",Bonus|attacco base
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,COLPO DA MAESTRO
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,CD TEMPRA
Racial,"",Razziale
Special Ammo,"",Munizioni speciali
WILL,WILL SAVE DC,CD SALVEZZA
SAVE DC,WILL SAVE DC,DI VOLONTÀ
FORTITUDE,FORTITUDE SAVE,TS
SAVE,FORTITUDE SAVE,TEMPRA
A successful sneak attack can also deliver one of:| • Sleep for 1d4 hours| • Paralysed for 2d6 rounds| • Slain,"",Un attacco furtivo riuscito può causare uno fra:|• Sonno per 1d4 h|• Paralisi per 2d6 rounds|• Morte
DEITY,"",DIVINITÀ
Survival|Bonus,"",Bonus|Sopravvivenza
"Master strike cannot be used again on the same target within|24 hours, whether they pass the Fortitude save or not.","","Il Colpo da maestro non può essere usato nuovamente sullo stesso|bersaglio entro 24 ore, che superi il TS su Tempra oppure no"
Advanced Talents,"",Doti avanzate
Unarmed Strike,"",Colpo senz'armi
"From level 10, a Rogue|can take Advanced Talents","","Dal decimo livello, un Ladro|può scegliere Doti avanzate"
ABILITIES,"",CARATTERISTICHE
(ROGUE),"",(LADRO)
Perception,"",Percezione
MALE,"",MASCHIO
REFLEX,REFLEX SAVE,TS
SAVE,REFLEX SAVE,RIFLESSI
Climb,"",Scalare
MONK,"",MONACO
FEMALE,"",FEMMINA
Bards can wear light armour without risking|spell failure.,"",I Bardi possono indossare armature leggere senza|rischiare il fallimento incantesimi.
FAVOURED TERRAINS,"",AMBIENTI PRESCELTI
"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.","","Il danno da attacco furtivo si può applicare quando un bersaglio è|ﬁancheggiato o se viene privato del proprio bonus di DES alla CA.|Per gli Attacchi a distanza, si applica solo entro 9 m.|Non viene moltiplicato dai Colpi critici.|Può essere Danno non letale solo con una arma non letale."
FAVOURED ENEMIES,"",NEMICI PRESCELTI
Ability|Modifier,"",Modificatore|Caratteristica
Sense Motive,"",Intuizione
Temp,"",Temp
Treat unarmed attacks as adamantine weapons,"",Tratta gli Attacchi senz'armi come armi di adamantio
Fatigued,"",Affaticato
Swim,"",Nuotare
TRAP SENSE,"",PERCEPIRE TRAPPOLE
FORT,"",TEM
Dodge,"",Schivare
WILL,WILL SAVE,SALVEZZA DI
SAVE,WILL SAVE,VOLONTÀ
Bonus|Points,"",Punti|Bonus
Use bonus in place of...,"",Usare il bonus al posto di.....
DURATION,DURATION|PER DAY,DURATA
PER DAY,DURATION|PER DAY,AL GIORNO
MIGHTY,MIGHTY RAGE!,IRA
RAGE!,MIGHTY RAGE!,POSSENTE
FAVOURED ENEMY BONUS,"",BONUS NEMICO PRESCELTO
Ability|Score,"",Punteggio|Caratteristica
"Ranger bonus feats can be taken without the normal pre-requisites,|but only apply when not wearing heavy armour.","","I Talenti bonus del Ranger possono essere acquisiti anche senza soddisfare i normali pre-requisiti,|ma si applicano solo quando non indossa Armature pesanti"
DISTRACTION,"",DISTRAZIONE
Channel Positive Energy,"",Incanalare energia positiva
Cost:,Cost: 1 pt,Costo:
1 pt,Cost: 1 pt,1 p.
GREATER,GREATER RAGE!,IRA
RAGE!,GREATER RAGE!,SUPERIORE!
Improved Evasion,"",Eludere migliorato
Rounds|Today,"",Rounds|Oggi
RAGE!,RAGE!|TODAY,IRA!
TODAY,RAGE!|TODAY,OGGI
BONUS FEAT,"",TALENTI BONUS
Ki Pool (lawful),"",Riserva Ki (Legale)
1d8,"",1d8
ENERGY,ENERGY|ROLL,TIRO
ROLL,ENERGY|ROLL,ENERGIA
Ki Pool (adamantine),"",Riserva Ki (di Adamantio)
CMB,"",BMC
BARBARIAN,"",BARBARO
DAMAGE,DAMAGE|REDUCTION,RIDUZIONE
REDUCTION,DAMAGE|REDUCTION,DEL DANNO
WILL,WILL|SAVE DC,VOLONTÀ
WILL|SAVE,WILL|SAVE DC,SALVEZZA|VOLONTÀ
SAVE DC,WILL|SAVE DC,CD SALVEZZA
DC,WILL|SAVE DC,CD
EMPTY BODY,"",CORPO VUOTO
Bonus|Feats,"",Talenti|bonus
Mobility,"",Mobilità
Treat unarmed attacks as lawful weapons,"",Tratta gli Attacchi senz'armi come Armi legali
Wild|Shape|Level,"",Livello|Forma|Selvatica
Item|Bonus,"",Bonus|oggetto
Strength Score|Penalty:,Strength Score|Penalty: -2,Punteggio di Forza|Penalità:
FATIGUED,FATIGUED|DURATION,AFFATICATO
DURATION,FATIGUED|DURATION,DURATA
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","Inizia o cambia un esibizione bardica come azione di movim.,|invece che come azione standard"
TRAP SENSE,TRAP SENSE|BONUS,PERCEPIRE TRAPPOLE
BONUS,TRAP SENSE|BONUS,BONUS
PERFORMANCES,"",ESIBIZIONI
ATTACKS,"",ATTACCHI
Deflect Arrows,"",Deviare Frecce
TOUCH,TOUCH ARMOUR CLASS,CLASSE ARMATURA
ARMOUR CLASS,TOUCH ARMOUR CLASS,A CONTATTO
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,CLASSE ARMATURA
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,DA IMPREPARATO
Buffs,"",Bonus
FRIENDLY,"",AMICHEVOLE
Temp AC,"",CA Temporanea
Size,"",Taglia
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Punteggio di Destrezza|Penalità:
SURVIVAL,"",Sopravvivenza
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,PUNTEGGIO DI|COSTITUZIONE
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
STRENTH|SCORE,STRENTH|SCORE|BONUS,PUNTEGGIO|FORZA
BONUS,STRENTH|SCORE|BONUS,BONUS
Ability Modifier =|    (Total Ability Score - 10) ÷ 2,"",Modificatore di Abilità =|(Punteggio di Abilità Totale - 10) / 2
"Cannot rage, run or charge|while fatigued.","","Non può entrare in Ira, correre o caricare|mentre è Affaticato"
REF,"",RIF
KI POOL,KI POOL|CAPACITY,RISERVA KI
CAPACITY,KI POOL|CAPACITY,CAPACITÀ
50ft,"",15 m
9ft,"","2,7 m"
11ft,"",3.3 m
55ft,"","16,5 m"
FASCINATE,FASCINATE|MAX AUDIENCE,AFFASCINARE
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,PUBBLICO MAX
FALL,"",CADUTA
Spring Attack,"",Attacco Rapido
25ft,"","7,5 m"
Counter magical effects that depend on sight.|Allies within 30ft use Performance roll in place of a saving throw,"",Contrasta effetti magici che dipendono dalla vista. Alleati entro|9 m usano la prova di Intrattenere al posto di un Tiro Salvezza.
2d10,"",2d10
"Treat hands, feet, knees and elbows as weapons","","Tratta mani, piedi, ginocchia e gomiti come armi"
Morale|Bonus,"",Bonus|morale
2ft,"","0,6 m"
Combat Reflexes,"",Riflessi di combattimento
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD Acrobazia = 
CMD,Acrobatics DC = 5 + Opponent’s CMD,5 + DMC Avversario
20 Reflex save,"",TS Riflessi 20
20ft,"",6 m
to ignore 10ft of falling damage,"",ignorare il danno da caduta di 3 m
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD Acrobazia = 
CMD,Acrobatics DC = Opponent’s CMD,DMC Avversario
USES,USES|PER DAY,USI
PER DAY,USES|PER DAY,AL GIORNO
Mythic|Tier,"",Rango|Mitico
1ft,"","0,3 m"
Sml / Lrg,"",Pcl / Grn
LONG JUMP,"",SALTO IN LUNGO
RAGE!,RAGE!  DURATION|PER DAY,IRA!
DURATION,RAGE!  DURATION|PER DAY,DURATA
PER DAY,RAGE!  DURATION|PER DAY,AL GIORNO
HIGH JUMP,"",SALTO IN ALTO
RAGE!,RAGE!|Duration,IRA!
Duration,RAGE!|Duration,Durata
ARMOUR CLASS BONUS,"",BONUS CA
COMBAT STYLE,"",STILE DI COMBATTIMENTO
CATCH LEDGE,"",AGGRAPPARSI
Ki Pool (magic),"",Riserva Ki (Magica)
if you fail a jump by 4 or less,"",se fallisci un salto di 4 o meno
MOVE THROUGH THREATENED SQUARE,"",Movimento attraverso spazi minacciati
Nerfs,"",Penalità 
6ft,"","1,8 m"
MOVE THROUGH ENEMY’S OWN SQUARE,"",Movimento attraverso lo spazio del nemico
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,PENALITA'
PENALTY,ARMOUR|CLASS|PENALTY,CA
Value,"",Valore
7ft,"","2,1 m"
d4 / d8,"",d4 / d8
INIT,"",INIZ
AC,AC BONUS,CA
BONUS,AC BONUS,BONUS
INITIATIVE,INITIATIVE BONUS,BONUS
BONUS,INITIATIVE BONUS,INIZIATIVA:
30ft,"",9 m
WHOLENESS OF BODY,"",INTEGRITA' DEL CORPO
15ft,"","4,5 m"
WILL,"",VOL
WILL|SAVE,WILL|SAVE|BONUS,BONUS
BONUS,WILL|SAVE|BONUS,TS|VOLONTA'
4ft,"",1.2 m
HEALING|POINTS,"",PF|CURATI
Power,"",POTERE
BARDIC PERFORMANCE,"",ESIBIZIONE BARDICA
8ft,"","2,4 m"
35ft,"","10,5 m"
Tireless,Tireless RAGE!,IRA
RAGE!,Tireless RAGE!,Infaticabile
Indomitable Will,"",Volontà Indomabile
SOOTHING PERFORMANCE,"",MUSICA LENITIVA
15 Acrobatics,"",15 Acrobazia
POWER LEVELS,"",LIVELLI DI POTERE
45ft,"","13,5 m"
40ft,"",12 m
3ft,"",1 m
Campaign,"",Campagna
Heal,"",Guarire
Flurry of Blows,"",Raffica di colpi
Temp Speed,"",Velocità temporanea
2d8 / 4d8,"",2d8 / 4d8
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Usa il livello da monaco al posto del
BAB,Use monk level in place of BAB for calculating CMB,BAB
for calculating,Use monk level in place of BAB for calculating CMB,per calcolare il
CMB,Use monk level in place of BAB for calculating CMB,BMC
RAGE!,RAGE! POWERS |KNOWN,IRA!
POWERS,RAGE! POWERS |KNOWN,POTERI
KNOWN,RAGE! POWERS |KNOWN,CONOSCIUTI
Rounds Today,"",Round oggi
RAGE!,RAGE! POWERS,IRA!
POWERS,RAGE! POWERS,POTERI
CMD,CMD BONUS,DMC
BONUS,CMD BONUS,BONUS
Snatch Arrows,"",Afferrare Frecce
2d6 / 3d8,"",2d6 / 3d8
Unarmed|Strike|Damage,"",Danno|Colpo|Senz'armi
Acrobatics skill +4,"",+4 Acrobazia
Point|Cost,"",Costo|Punto
Animal Companion’s Name,"",Nome del Compagno animale
"Mass Cure Serious Wounds|Removes the fatigued, sickened and shaken conditions","","Cura ferite gravi di massa|Rimuove le condizioni affaticato,scosso e infermo"
COUNTERSONG,"",CONTROCANTO
Escape Artist,"",Artista della fuga
Feats,"",Talenti
Treat unarmed attacks as magic weapons,"",Tratta gli attacchi senz'armi come armi magiche
d10 / 3d6,"",d10 / 3d6
Timeless Body,"",Corpo senza tempo
PERFECT SELF,"",PERFEZIONE INTERIORE
JACK OF ALL TRADES,"",ECLETTICO
Scorpion Style,"",Stile dello scorpione
d6 / 2d6,"",d6 / 2d6
d8 / 2d8,"",d8 / 2d8
Disguise,"",Camuffare
Ride,"",Cavalcare
for every 10ft of your standard move above 30ft,"",per ogni 3 m del tuo movimento standard sopra i 9 m
Natural|Armour,"",Armatura|Naturale
Base|Points,"",Punti|Base
KNOWN POWERS,"",POTERI NOTI
Damage Reduction 1/,Damage Reduction 1/―,Riduzione del Danno 1/
Counter magical effects that depend on sound.|Allies within 30ft use Performance roll in place of a saving throw,"",Contrasta effetti magici che dipendono dal suono. Alleati entro|9 m usano la prova di Intrattenere al posto di un tiro salvezza.
Manoeuvre Training,"",Addestramento alle manovre
Appraise,"",Valutare
Fast Movement,Fast Movement +60 ft,Movimento veloce
+60 ft,Fast Movement +60 ft,18 m
Fast Movement,Fast Movement +50 ft,Movimento veloce
+50 ft,Fast Movement +50 ft,15 m
Fast Movement,Fast Movement +40 ft,Movimento veloce
+40 ft,Fast Movement +40 ft,12 m
+30 ft,Fast Movement +30 ft,9 m
Fast Movement,Fast Movement +20 ft,Movimento veloce
+20 ft,Fast Movement +20 ft,6 m
Fast Movement,Fast Movement +10 ft,Movimento veloce
+10 ft,Fast Movement +10 ft,3 m
Abundant step,"",Passo abbondante
Damage Reduction 5/,Damage Reduction 5/―,Riduzione del Danno 5/
Avoid all damage on successful reflex save,"",Evita tutti i Danni con un TS su Riflessi riuscito
Damage Reduction 4/,Damage Reduction 4/―,Riduzione del Danno 4/
Race,"",Razza
Ranks,"",Gradi
Damage Reduction 3/,Damage Reduction 3/―,Riduzione del Danno 3/
INSPIRE COMPETENCE,"",ISPIRARE COMPETENZA
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,ISPIRARE GRANDEZZA
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX INFLUENZATI
PSIONICS,"",PSIONICI
INSPIRE HEROICS,INSPIRE HEROICS  MAX AFFECTED,ISPIRARE EROISMO
MAX AFFECTED,INSPIRE HEROICS  MAX AFFECTED,MAX INFLUENZATI
POWERS,POWERS|KNOWN,POTERI
KNOWN,POWERS|KNOWN,NOTI
Diplomacy,"",Diplomazia
BASE ATTACK,"",Attacco Base
PER DAY,POWER POINTS|PER DAY,al GIORNO
Add monk level to Acrobatics checks for jumping,"",Aggiungi il liv. da Monaco ad Acrobazia per i salti
Able to take 10 on any skill,"",Capace di prendere 10 su ogni abilità
SAVES,"",TIRI SALVEZZA
Dodge|Modifier,"",Modificatore|Schivare
Improved Critical,"",Colpo Critico migl.
Improved Disarm,"",Disarmare migliorato
Improved Feint,"",Finta migliorata
Improved Grapple,"",Lottare migliorato
Improved Trip,"",Sbilanciare migl.
DIAMOND SOUL,"",Anima adamantina
HUNTER’S BOND,"",Legame del cacciatore
SPELL,SPELL RESISTANCE,RES.
to jump checks -,+20 to jump checks - 1 ki point,Prove per i salti -
1 ki point,+20 to jump checks - 1 ki point,1 punto Ki
EFFECTS,"",EFFETTI
Catch off-guard,"",Cogliere fuori guardia
All skills are considered class skills,"",Tutte le Abilità sono considerate Abilità di classe
Cause an enemy to die of joy or sorrow,"",Provoca la morte di un nemico per gioia o tristezza
ETHERIAL,ETHERIAL|ROUNDS,ETEREO
ROUNDS,ETHERIAL|ROUNDS,ROUND
DEADLY PERFORMANCE,"",MUSICA MORTALE
OF,"",DEL
Non-Monk|Levels,"",Livelli|non da Monaco
Power|Level,"",Livello|Potere
Power|Save DC,"",CD TS|Potere
Use in place of Diplomacy to improve the attitude of an animal,"",Uso al posto di Diplomazia per migliorare l'atteggiamento di un animale
Use any skill as if you were trained,"",Usa ogni abilità come se fossi addestrato
Use a full attack action for more attacks,"",Usa un'Azione di attacco completo per più attacchi
Handle Animal,"",Addestrare Animali
Check Penalty,"",Penalità alla prova
30 ft,Slow Fall 30 ft,9 m
Slow Fall,Slow Fall 40 ft,Caduta lenta
40 ft,Slow Fall 40 ft,12 m
Slow Fall,Slow Fall 50 ft,Caduta lenta
50 ft,Slow Fall 50 ft,15 m
Slow Fall,Slow Fall 60 ft,Caduta lenta
60 ft,Slow Fall 60 ft,18 m
Slow Fall,Slow Fall 70 ft,Caduta lenta
70 ft,Slow Fall 70 ft,21 m
Slow Fall,Slow Fall 80 ft,Caduta lenta
80 ft,Slow Fall 80 ft,24 m
Slow Fall,Slow Fall 90 ft,Caduta lenta
90 ft,Slow Fall 90 ft,27 m
Slow Fall,Slow Fall Any distance,Caduta lenta
Any distance,Slow Fall Any distance,qualunque distanza
Spell Failure,"",Fallimento Incantesimi
Spellcraft,"",Sapienza Magica
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Trattato come un Esterno
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Immune a Charmare Persone e altri effetti|che bersagliano i non Esterni|Riduzione del danno
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/caotico
Total,"",Totale
Today,"",Oggi
MAX POWER,MAX POWER|LEVEL,LIVELLO MAX
LEVEL,MAX POWER|LEVEL,POTERE
FAVOURED TERRAIN BONUS,"",BONUS AMBIENTE PRESCELTO
Bonus Points,"",Punti Bonus
Damage Reduction 2/,Damage Reduction 2/―,Riduzione del Danno 2/
Heal your own wounds -,Heal your own wounds - 2 ki points,Curare le proprie ferite -
2 ki points,Heal your own wounds - 2 ki points,1 punto Ki
Throw Anything,"",Lancia tutto
Wounds,"",Ferite
Shield AC,"",CA Scudo
QUIVERING PALM,"",Palmo tremante
FRIGHTENING TUNE,"",ACCORDO SPAVENTOSO
(BARD),"",(BARDO)
DIRGE OF DOOM,"",ISPIRARE TERRORE
Venom Immunity,Venom Immunity|Immune to all poisons,Immunità al veleno
Immune to all poisons,Venom Immunity|Immune to all poisons,Immune a tutti i tipi di veleno
bp,"",pb
No age penalties or artificial ageing,"",Nessuna penalità relativa all'invecchiamento
Delayed death,"",Morte ritardata
School,"",Scuola
Base,"",Base
KNOWLEDGE,KNOWLEDGE |BONUS,CONOSCENZA
BONUS,KNOWLEDGE |BONUS,BONUS
+ 4 to all saving throws|+ 4 to AC,"",+4 a tutti i tiri salvezza |+4 AC
HEALTH,"",SALUTE
Cause enemies within 30ft to become shaken,"",Infligge status scosso a nemici entro 9mt
Avoid half damage on failed reflex save,"",evitare metà danno quando si fallisce TS su Riflessi
Intimidate,"",Intimidire
Endurance,"",Resistenza 
Tongue of the Sun and Moon,"",Lingua del Sole e della Luna
Gorgon’s Fist,"",Pugno della gorgone
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,CONDIVIDERE NEMICO PRESCELTO
DURATION,SHARE FAVOURED ENEMY|DURATION,DURATA
Armour AC,"",CA Armatura
Enemies are frightened and flee your performance,"",I nemici sono spaventati e fuggono dalla tua esibizione
Medusa’s Wrath,"",Ira della Medusa
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 +
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",COS
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") pf temporanei,|+2 attacco, +1 TS Tempra"
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Infilarsi magicamente fra gli spazi -
2 ki points,Slip magically between spaces - 2 ki points,2 punti Ki
LANGUAGES,"",LINGUAGGI
pts,"",pti
"Bonus only applied when unarmoured,|unencumbered and not helpless","",il Bonus si applica solo se si è senza|armatura e non si è ingombrati o indifesi
Improved Bull Rush,"",Spingere migliorato
Speak with any living creature,"",Parlare con ogni creatura vivente
MASS SUGGESTION,"",SUGGESTIONE DI MASSA
Current Shape,"",Forma attuale
Bluff,"",Raggirare
HIT POINTS,"",PUNTI FERITA
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,assumere Forma eterea per 1 minuto -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 punti Ki
Sleight of Hand,"",Rapidità di Mano
Non-lethal,"",Non-letali
INITIATIVE,"",INIZIATIVA
(which grants,(which grants +20 to Acrobatics),(che fornisce
to Acrobatics),(which grants +20 to Acrobatics),ad Acrobazia)
SHARE FAVOURED ENEMY,"",CONDIVIDERE NEMICO PRESCELTO
Still Mind,"",Mente Lucida
Stable,"",Stabile
XP,"",PE
Trapfinding,"",Individuare Trappole
Deafened,"",Assordato
Disable Device,"",Disattivare Congegni
Blinded,"",Accecato
Treated as outsider,"",Trattato come Esterno
(which grants,(which grants +8 to Acrobatics),(che garantisce
to Acrobatics),(which grants +8 to Acrobatics),ad Acrobazia)
Base|Attack,"",Attacco|Base
A Thousand Faces,A Thousand Faces|Change appearance at will,Mille Volti
Change appearance at will,A Thousand Faces|Change appearance at will,Cambia aspetto a volontà
Dying,"",Morente
DAMAGE,DAMAGE|BONUS,DANNI
BONUS,DAMAGE|BONUS,BONUS
QUIVER,QUIVER DAYS,DURATA
DAYS,QUIVER DAYS,PALMO
BARDIC KNOWLEDGE,"",CONOSCENZE BARDICHE
(which grants,(which grants +4 to Acrobatics),(che garantisce
to Acrobatics),(which grants +4 to Acrobatics),ad Acrobazia)
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Muoversi attraverso il sottobosco alla velocità|normale senza subire danni
(which grants,(which grants +12 to Acrobatics),(che fornisce
to Acrobatics),(which grants +12 to Acrobatics),ad Acrobazia)
(which grants,(which grants +24 to Acrobatics),(che garantisce
to Acrobatics),(which grants +24 to Acrobatics),ad Acrobazia)
Reduce effective falling height using wall,"",Riduzione altezza di caduta effettiva vicino ai muri
(which grants,(which grants +16 to Acrobatics),(che garantisce
to Acrobatics),(which grants +16 to Acrobatics),ad Acrobazia)
INSPIRE COURAGE,"",ISPIRARE CORAGGIO
SUGGESTION,"",SUGGESTIONE
Stun (or other effects) target for one round,"",Stordire (o altro effetto) il bersaglio per un round
Bonus Spells,Bonus Spells|CHA,Inc. bonus
CHA,Bonus Spells|CHA,CAR
STUNNING FIST,"",PUGNO STORDENTE
Ring,"",Anello
Staggered,"",Barcollante
Stunned,"",Stordito
Silver,"",Argento
Sickened,"",Infermo
Bonus to attack and damage rolls,"",Bonus a tiri di attacco e danni
Cavalier|Level,"",Cavaliere|Livello
WELL-VERSED,"",AVVEZZO
Total Weight,"",Peso Totale
Slow Fall,Slow Fall 20 ft,Caduta lenta
20 ft,Slow Fall 20 ft,3 m
Unconscious,"",Privo di sensi
Cannot run or charge|-2 Strength and Dexterity,"",Non può correre o caricare|-2 Forza e Destrezza
Purity of Body,"",Purezza del Corpo
EQUIPMENT,"",EQUIPAGGIAMENTO
"-2 to attack rolls, damage rolls,| saving throws, skill and ability checks","","-2 a tiri per colpire, danni,tiri|salvezza, abilità e prove caratteristica"
SPECIAL MOUNT,"",CAVALCATURA SPECIALE
