Original,Part of,Translation
RAGE!,Tireless RAGE!,Infaticabile
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Usa il liv. da Monaco invece del
Shaper,Shaper (metacreativity),Modellatore
(metacreativity),Shaper (metacreativity),(metacreatività)
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Tiro Preciso Migliorato
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment," Ignora le penalità per copertura o occultamento parziale"
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Senso della natura
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 a Conoscenza (Natura) e Sopravvivenza
Slow Fall,Slow Fall 70 ft,Caduta lenta
70 ft,Slow Fall 70 ft,21 m
WILL,WILL|SAVE DC,VOLONTÀ
WILL|SAVE,WILL|SAVE DC,SALVEZZA|VOLONTÀ
SAVE DC,WILL|SAVE DC,CD SALVEZZA
DC,WILL|SAVE DC,CD
4 ki points,"30ft cone of fire, deals 2d6 damage - 4 ki points",4 punti ki
RAGE!,RAGE!|PER DAY,IRA!
PER DAY,RAGE!|PER DAY,AL GIORNO
BOMBS,BOMBS|PER DAY,BOMBE
PER DAY,BOMBS|PER DAY,al GIORNO
(which grants,(which grants +20 to Acrobatics),(che fornisce
to Acrobatics),(which grants +20 to Acrobatics),ad Acrobazia)
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Bersaglio di Opportunità
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Attacco extra quando un alleato colpisce a distanza
saving throws against enchantment,+2 saving throws against enchantment," TS contro ammaliamento"
MELEE ATTACK,MELEE ATTACK|BONUS,ATTACCO in MISCHIA
BONUS,MELEE ATTACK|BONUS,BONUS  
Cost:,Cost: all remaining pts,Costo:
all remaining pts,Cost: all remaining pts,tutti i punti rimasti
WILL|SAVE,WILL|SAVE|BONUS,BONUS
BONUS,WILL|SAVE|BONUS,TS|VOLONTA'
10 mins / level,"Protect party against spirits, lasts 10 mins / level",10min / livello
WIS,(WIS minimum 1),SAG
minimum 1),(WIS minimum 1),minimo 1)
BONUS,EXORCISM |BONUS,BONUS
AURAS,AURAS|DURATION,AURE
BASE|ATTACK,BASE|ATTACK BONUS,ATTACCO|BASE
BONUS,BASE|ATTACK BONUS,BONUS
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,CONOSCENZA BARDICA
BONUS,BARDIC KNOWLEDGE |BONUS,BONUS
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+ 4 a tutti i TS|+ 4 di schivare alla 
Slow Fall,Slow Fall 50 ft,Caduta lenta
50 ft,Slow Fall 50 ft,15 m
1 /day,See the Named  1 /day,1/gg
(which grants,(which grants +8 to Acrobatics),(che garantisce
to Acrobatics),(which grants +8 to Acrobatics),ad Acrobazia)
DEFLECTION,DEFLECTION|BONUS,DEVIAZIONE
BONUS,DEFLECTION|BONUS,BONUS
Quick Clear,Quick Clear    Fix a broken firearm as standard action,Riparazione Rapida
Fix a broken firearm as standard action,Quick Clear    Fix a broken firearm as standard action,Ripara un'arma rotta come azione standard
Level,100’+ 10’ × Level,Livello
Cheat Death,Cheat Death    Restore hp equal to all remaining grit,Truffare la Morte
Restore hp equal to all remaining grit,Cheat Death    Restore hp equal to all remaining grit,Rimane a 1 pf invece che andare a 0 o meno
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Infilarsi magicamente fra gli spazi -
2 ki points,Slip magically between spaces - 2 ki points,2 punti Ki
REFLEX|SAVE,REFLEX|SAVE DC,RIFLESSI|TS
Fast Movement,Fast Movement +50 ft,Movimento veloce
+50 ft,Fast Movement +50 ft,15 m
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,RIDUZIONE PENALITÀ|
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,a PROVA dell' ARMATURA
3/day,Vestige Metamagic 3/day,3/gg
INT,+ INT| per level,INT
per level,+ INT| per level,per livello
WILD EMPATHY,WILD EMPATHY|BONUS,BONUS
BONUS,WILD EMPATHY|BONUS,EMPATIA SELVAGGIA
INITIATIVE,INITIATIVE|BONUS,BONUS
BONUS,INITIATIVE|BONUS,INIZIATIVA
Level,25’+ 5’ × (Level ÷ 2),Livello
DURATION,DURATION|PER DAY,DURATA
PER DAY,DURATION|PER DAY,AL GIORNO
+2 WIS,+2 WIS and -2 CHA in all three forms.,+2 SAG
and,+2 WIS and -2 CHA in all three forms.,e
-2 CHA,+2 WIS and -2 CHA in all three forms.,-2 CAR
in all three forms.,+2 WIS and -2 CHA in all three forms.,in tutte e tre le forme
WILL,WILL SAVE,VOLONTÀ
SAVE,WILL SAVE,SALVEZZA
Utility Shot,"Utility Shot    Blast lock, Shoot unattended object or Stop bleeding",Colpo di Utilità
"Blast lock, Shoot unattended object or Stop bleeding","Utility Shot    Blast lock, Shoot unattended object or Stop bleeding",Distrugge una serratura o|Sposta oggetti incustoditi o|termina sanguinamento
stability,-1 stability,Stabilità
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Tiro Multiplo
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows"," Durante un attacco completo, il primo attacco usa 2 frecce"
SPELL LEVEL,SPELL LEVEL|EQUIVALENT,LIVELLO INC.
EQUIVALENT,SPELL LEVEL|EQUIVALENT,EQUIVALENTE
CURRENT,CURRENT|FEATS,TALENTI
FEATS,CURRENT|FEATS,ATTUALI
Targeting,"Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall",Bersagliare
"As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Come azione di attacco completo, scegli una parte del corpo:| Braccia: il bersaglio fa cadere un oggetto (nessun danno)| Testa: confuso per 1 round| Gambe: cade a terra prono| Torso: minaccia di critico 19-20| Ali: inizia a cadere"
TEAMWORK,TEAMWORK|FEATS,TALENTI
FEATS,TEAMWORK|FEATS,di SQUADRA
Critical Mastery,Critical Mastery    Apply two critical effects at once,Critico Prodigioso
Apply two critical effects at once,Critical Mastery    Apply two critical effects at once,Si applicano due effetti di critico insieme
ATTACK,ATTACK ACTIONS,AZIONI 
ACTIONS,ATTACK ACTIONS,d'ATTACCO
WILL SAVE,WILL SAVE|BONUS,BONUS SALVEZZA
BONUS,WILL SAVE|BONUS,|su VOLONTÀ
Morale Bonus,Morale Bonus    Inspire Courage and similar,Bonus di Morale
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Ispirare Coraggio e simili
Bonus Spells,Bonus Spells|WIS,Inc. Bonus
WIS,Bonus Spells|WIS,SAG
BONUS,SAVING THROW|BONUS,BONUS
30 ft,Slow Fall 30 ft,9 m
ft,15 ft  3 sq,m
sq,15 ft  3 sq,q
Lawful:,Lawful: +2 Economy,Legale:
Economy,Lawful: +2 Economy,Economia
FATIGUED,FATIGUED|DURATION,AFFATICATO
DURATION,FATIGUED|DURATION,DURATA
Cost:,Cost: 1 pt,Costo:
1 pt,Cost: 1 pt,1 p.
Vital Strike,Vital Strike    Extra damage dice,Colpo Vitale
Extra damage dice,Vital Strike    Extra damage dice,Dadi danno extra
to jump checks -,+20 to jump checks - 1 ki point,Prove per i salti -
1 ki point,+20 to jump checks - 1 ki point,1 punto Ki
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Formazione di Cavalleria
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Condvdre spazio, caricare atrvrso cavlctre alleate"
FORTITUDE,FORTITUDE|SAVE DC,TEMPRA
FORTITUDE|SAVE,FORTITUDE|SAVE DC,SALVEZZA|TEMPRA
SAVE DC,FORTITUDE|SAVE DC,CD SALVEZZA
DC,FORTITUDE|SAVE DC,CD
ALLIES,ALLIES|MAX ASSISTED,ALLEATI
CRITICAL,CRITICAL EFFECTS,EFFETTI
EFFECTS,CRITICAL EFFECTS,sul CRITC.
SINGLE,SINGLE ATTACK,ATTACCO
ATTACK,SINGLE ATTACK,SINGOLO
BONUS,UNARMED ATTACK BONUS,BONUS
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","Se colpisce, TS Tempra (CD 10 + ½ Livello + "
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",SAG
) or stunned for 1 round,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",) oppure è stordito per 1 round
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,COLPO DA MAESTRO
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,CD TEMPRA
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,DANNO FURTIVO
BONUS,SNEAK DAMAGE|BONUS,BONUS
Level,Level 8,Livello
TRICKS,TRICKS|KNOWN,TRUCCHI
KNOWN,TRICKS|KNOWN,CONOSCIUTI
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed"," e prove opposte di|Percezione; 50% di mancare quando attacca|CD 10 su Acrobazia per muoversi a più di ½ velocità"
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Combattere con Due Armi Superiore
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Terzo attacco con l'arma secondaria
Damage Reduction 3/,Damage Reduction 3/―,Riduzione del Danno 3/
1/day,Vestige Metamagic 1/day,1/gg
SPELL,SPELL RESISTANCE,RES.
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,assumere Forma eterea per 1 minuto -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 punti Ki
DISCOVERIES,DISCOVERIES|KNOWN,SCOPERTE
KNOWN,DISCOVERIES|KNOWN,CONOSCIUTE
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,DIFESA DA MANOVRA
DEFENCE,COMBAT MANOEUVRE|DEFENCE,IN COMBATTIMENTO
Applies to owner when within 5 ft,* Applies to owner when within 5 ft,"Si applica al possessore se entro 4,5m"
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Nessuna azione questo round|Perde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,il bonus
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,DES
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,alla CA; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,alla CA
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,ISPIRARE GRANDEZZA
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX INFLUENZATI
Seer,Seer (clairsentience),Veggente
(clairsentience),Seer (clairsentience),(chiaroveggenza)
STUNNING FIST,STUNNING FIST|TODAY,PUGNO STORDENTE
TODAY,STUNNING FIST|TODAY,OGGI
loyalty,-1 loyalty,Lealtà
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,BONUS ATTACCO
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,RAFFICA di COLPI
Quick Draw,Quick Draw    Draw your weapon as a free action,Estrazione Rapida
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Estai l'arma come azione gratuita
Improved Cleaving Finish,Improved Cleaving Finish    Any number per round,Incalzare Terminale Migliorato
Any number per round,Improved Cleaving Finish    Any number per round,Qualsiasi numero di volte a round
BONUS,SMITING DAMAGE|BONUS,BONUS
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DES
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",bonus a
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",Gloria o Morte
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","+4 (+1 al lvlo 11, 16, 20)"
BONUS:,RADIANCE BONUS:,BONUS:
2 ki points,Grant more abilities to allies - 2 ki points,2 punti ki
Slow Fall,Slow Fall 80 ft,Caduta lenta
80 ft,Slow Fall 80 ft,24 m
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Riserva di Conoscenza
Prepare any Magus spell as if known,Knowledge Pool|Prepare any Magus spell as if known,Prepara un inc. da Magus come fosse conosciuto
ARCANA,ARCANA|KNOWN,SEGRETI
KNOWN,ARCANA|KNOWN,CONOSCIUTI
Damage Reduction 1/,Damage Reduction 1/―,Riduzione del Danno 1/
3d6,"Swap 3d6 of chastise damage, weaken for 1 round",3d6
1 round,"Swap 3d6 of chastise damage, weaken for 1 round",1 round
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,PUNTEGGIO DI|COSTITUZIONE
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
NIMBLE,NIMBLE|DODGE BONUS,LEGGIADRIA
DODGE BONUS,NIMBLE|DODGE BONUS,BONUS SCHIVARE
REFLEX,REFLEX SAVE,RIFLESSI
SAVE,REFLEX SAVE,SALVEZZA
Two-weapon fighting,Two-weapon fighting    Reduces penalty to:,Combattere con due armi
Reduces penalty to:,Two-weapon fighting    Reduces penalty to:,Riduce la penalità a:
Deadeye,Deadeye    Use touch AC beyond first range increment,Occhio Letale
Use touch AC beyond first range increment,Deadeye    Use touch AC beyond first range increment,Usa CA a contatto oltre il primo incremento di gittata
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,Carica Coordinata
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Carica lo stesso nemico caricato da un alleato
BUILDINGS,BUILDINGS    Add buildings to towns,EDIFICI
Add buildings to towns,BUILDINGS    Add buildings to towns,Aggiungi edifici alle Città
to concentration checks,Shielded Caster    +4 to concentration checks,ai tiri di concentrazione
DAMAGE,DAMAGE|REDUCTION,RIDUZIONE
REDUCTION,DAMAGE|REDUCTION,DEL DANNO
KNOWLEDGE,KNOWLEDGE |BONUS,CONOSCENZA
BONUS,KNOWLEDGE |BONUS,BONUS
STRENTH|SCORE,STRENTH|SCORE|BONUS,PUNTEGGIO|FORZA
BONUS,STRENTH|SCORE|BONUS,BONUS
ft,10 ft  2 sq,m
sq,10 ft  2 sq,q
Damage Reduction 4/,Damage Reduction 4/―,Riduzione del Danno 4/
ARCANE SIGHT,ARCANE SIGHT|PER DAY,VISTA ARCANA
FLAT-FOOTED,FLAT-FOOTED|CMD,DMC
CMD,FLAT-FOOTED|CMD,IMPREPARATO
Bleeding Wound,"Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage",Ferita Sanguinante
"Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Danno da sanguinamento pari a DES Oppure 1 danno a Forza, Destrezza o Costituzione"
PER DAY,POWER POINTS|PER DAY,al GIORNO
POWERS,POWERS|KNOWN,POTERI
KNOWN,POWERS|KNOWN,NOTI
Good:,Good: +2 Loyalty,Buono:
Loyalty,Good: +2 Loyalty,Lealtà
ARCANE,ARCANE|POOL,RISERVA
POOL,ARCANE|POOL,ARCANA
Neutral:,Neutral: +2 Stability,Neutrale:
Stability,Neutral: +2 Stability,Stabilità
RAGE!,RAGE! DURATION,IRA!
DURATION,RAGE! DURATION,DURATA
Greater,Greater RAGE!,Superiore
RAGE!,Greater RAGE!,IRA!
"Recover from being fatigued, shaken or sickened","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Rimuove condizione affaticato, infermo o scosso"
Level 8:,"Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered",Livello 8: 
