Original,Part of,Translation
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,RISQUE D'ÉCHEC DES
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,SORTS PROFANES
A Thousand Faces,A Thousand Faces|Change appearance at will,Mille Visages
Change appearance at will,A Thousand Faces|Change appearance at will,Changer d'apparence à volonté
loyalty,-1 loyalty,loyauté
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,INSPIRER LA GRANDEUR
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX AFFECTES
KI POOL,KI POOL|CAPACITY,RESERVE DE KI
CAPACITY,KI POOL|CAPACITY,CAPACITE
OPPOSED,OPPOSED SCHOOLS,OPPOSÉES 
SCHOOLS,OPPOSED SCHOOLS,ÉCOLES
RAGE!,RAGE!|TODAY,RAGE !
TODAY,RAGE!|TODAY,AUJOURD'HUI
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,CLASSE|D'ARMURE
PENALTY,ARMOUR|CLASS|PENALTY,PENALITE
WILL|SAVE,WILL|SAVE|BONUS,VOLONTE|SAUVEGARDE
BONUS,WILL|SAVE|BONUS,BONUS
to jump checks -,+20 to jump checks - 1 ki point,aux jets de saut -
1 ki point,+20 to jump checks - 1 ki point,1 point de Ki
INITIATIVE,INITIATIVE BONUS,BONUS D'
BONUS,INITIATIVE BONUS,INITIATIVE
Slow Fall,Slow Fall 40 ft,Chute ralentie
40 ft,Slow Fall 40 ft,12 m
ENERGY,ENERGY|ROLL,ENERGIE
ROLL,ENERGY|ROLL,JET
POWERS,POWERS|KNOWN,POUVOIRS
KNOWN,POWERS|KNOWN,CONNUS
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Prend une forme éthérée pendant 1 minute -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 points de ki
Fast Movement,Fast Movement +20 ft,Déplacement accéléré
+20 ft,Fast Movement +20 ft,+6 m
Woodland Stride,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Déplacement Facilité
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Progresse à vitesse normale dans les taillis|ne prenant aucun dégâts
INSPIRE HEROICS,INSPIRE HEROICS  MAX AFFECTED,INSPIRATION HEROIQUE
MAX AFFECTED,INSPIRE HEROICS  MAX AFFECTED,MAX AFFECTES
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empathie sauvage
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Améliore l'attitude d'un animal
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,DD Acrobaties = Adversaire
CMD,Acrobatics DC = Opponent’s CMD,CMD
Slow Fall,Slow Fall 60 ft,Chute ralentie
60 ft,Slow Fall 60 ft,18 m
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Résister à l'Appel de la Nature
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 aux jets de sauvegarde contre les Fées et les Plantes
ft,30 ft,pds
Bonus Spells,Bonus Spells|CHA,Sorts supplémentaires
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Éternelle jeunesse
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged",Cesse de vieillir ; immunisé contre le vieillissement magique
FORTITUDE|SAVE,FORTITUDE|SAVE DC,DD DU JET|DE
DC,FORTITUDE|SAVE DC,VIGUEUR
USES,USES|PER DAY,UTILISATIONS
PER DAY,USES|PER DAY,PAR JOUR
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,PARTAGER ENNEMI JURE
DURATION,SHARE FAVOURED ENEMY|DURATION,DUREE
POWER POINTS,POWER POINTS|PER DAY,POINTS DE POUVOIR
PER DAY,POWER POINTS|PER DAY,PAR JOUR
Damage Reduction 4/,Damage Reduction 4/―,Réduction de dégâts 4/
TOUCH,TOUCH AC,TOUCHER
AC,TOUCH AC,CA
AC,AC BONUS,CA
BONUS,AC BONUS,BONUS
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 + 
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",CON
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") points de vie temporaires,|+2 à l'attaque, +1 aux jets de sauvegarde vigueur"
(which grants,(which grants +4 to Acrobatics),(qui donne 
to Acrobatics),(which grants +4 to Acrobatics),à Acrobaties)
CHANNEL,CHANNEL|PER DAY,CANALISATION
PER DAY,CHANNEL|PER DAY,PAR JOUR
Wild Shape,Wild Shape|Become any small or medium animal,Forme animale
Become any small or medium animal,Wild Shape|Become any small or medium animal,Se transformer en un animal de taille P ou M
Trap Sense +3,"",Sens des pièges +3
INSPIRE COMPETENCE,"",INSPIRATION TALENTUEUSE
Cleric|Level,"",Prêtre|Niveau
BONDED WEAPON,"",ARME LIÉE
Druid Level,"",Niveau de druide
CHAOTIC,"",CHAOTIQUE
Ki Pool (lawful),"",Résèrve de Ki (Loyal)
Base Value,"",Valeur de base
"Diplomacy, Handle Animal","","Diplomatie, Dressage"
"Select a bonus feat for your style at 2nd, 6th, 10th, 14th and 18th levels:","","Choisissez un don supplémentaire pour votre style aux niveaux 2, 6, 10, 14 et 18:"
Trapfinding,"",Détection de pièges
+10 to move at full speed,"",+10 pour se déplacer à pleine vitesse
Buffs,"",Amélioration
ROGUE TALENTS,"",TALENTS DE ROUBLARD
Belts,"",Ceintures
BARD,"",BARDE
Greater ),"",Supérieure )
WHOLENESS OF BODY,"",PERFECTION DE L'ÊTRE
Components,"",Composants
Bonus Spell,"",Sorts en Bonus
PATH ABILITIES,"",COMPETENCES DE VOIE
Improved Grapple,"",Science de la lutte
Subtype,"",Sous-type
FAVOURED TERRAIN BONUS,"",BONUS SUR LES ENVIRONNEMENTS DE PRÉDILECTION
Unarmed Strike,"",Combat à mains nues
RECUPERATION,"",RECUPERATION
Chest,"",Coffre
"Bonus only applied when unarmoured,|unencumbered and not helpless","","Ce bonus ne s'applique que sans armure,|pas encombré et pas sans défense"
/  Town,"",/ Ville
LOY,"",LOY
FAVOURED TERRAINS,"",ENVIRONNEMENTS DE PRÉDILECTION
Base,"",Base
BARBARIAN,"",BARBARE
40ft,"","12,00 m"
Distance,"",Distance
30ft,"","9,00 m"
Bards can use all knowledge skills untrained,"",Les Bardes peuvent utiliser toutes les compétences de Connaissance non entrainés
Ki Pool (magic),"",Résèrve de Ki (Magie)
Racial,"",Racial
Knowledge: Nature,"",Connaissances: Nature
Speak with any living creature,"",Parler à n'importe quelle créature vivante
(BARBARIAN),"",(BARBARE)
CURE / INFLICT,"",SOIGNER / INFLIGER
• Nauseated,"",* Nauséeux
Towns,"",Villes
Non-Monk|Levels,"",Niveaux|Non-Moines
Treated as outsider,"",Considéré comme un extérieur
Feet,"",Pieds
Manoeuvre,"",Manoeuvre
All skills are considered class skills,"",Toutes les compétences sont des compétences de classe
Nerfs,"",Diminution
HOSTILE,"",HOSTILE
SURVIVAL,"",SURVIE
FAMILIAR,"",FAMILIER
MOVE THROUGH ENEMY’S OWN SQUARE,"",TRAVERSER LA CASE D'UN ENNEMI
1d6,"",1d6
Medusa’s Wrath,"",Fureur de la Méduse
Casting time,"",Temps d'incantation
Damage Reduction,"",Réduction de dommage
Other skills:|Craft - INT|Perform - CHA,"",Autres compétences:|Artisanat - INT|Représentation - CHA
Population,"",Population
mins,"",mins
LAWFUL,"",LOYAL
Power Points used today,"",Points de Pouvoirs utilisés aujourd'hui
BONDED OBJECT,"",OBJET LIÉ
Avoid all damage on successful reflex save,"",Annule tout dégât en cas de jet de Réflexes réussi
Hat / Mask,"","Chapeau, masque"
OTHER INCOME,"",AUTRES REVENUS
Animal,"",Animal
Current Country,"",Pays actuel
Use Magical Device,"",Utlisation d'objets magiques
Code of Conduct,"",Code de Conduite
HIGH JUMP,"",SAUT EN HAUTEUR
EVIL,"",MAUVAIS
CHARGES,"",CHARGES
WIS - 4,"",SAG - 4
+ Level,"",+ Niveau
SUGGESTION,"",SUGGESTION
CHA - 8,"",CHA - 8
Page,"",Page
sp,"",pa
SPECIAL ABILITIES,"",CAPACITES SPECIALES
Improved Trip,"",Science du Croc en Jambes
Spell Level,"",Niveau de sort
PRESTIGE CLASS,"",CLASSE DE PRESTIGE
Size|Modifier,"",Taille|Modificateur
Level|Bonus,"",Niveau|Bonus
Inquisitor|Level,"",Niveaux|d'Inquisiteur
Far Shot,"",Tir Lointain
DMG,"",DMG
ARCHETYPE,"",ARCHETYPE
Liar,"",Menteur
rds,"",trs
CR,"",FP
Today,"",Aujourd'hui
Reduce effective falling height using wall,"",Chute ralentie
SAVING THROWS,"",JETS DE SAUVEGARDE
ATTACK FEATS,"",DONS D'ATTAQUE
7ft,"","2,10 m"
Timeless Body,"",ÉTERNELLE JEUNESSE
d10,"",d10
Gnome,"",Gnôme
"Treat hands, feet, knees and elbows as weapons","","Traiter les mains, pieds, genoux et coudes comme des armes"
Monk Level,"",Niveau de moine
Cryptic|Level,"",Niveau|Cryptique
d12,"",d12
Cost,"",Coût
"Handle Animal, Intimidate","","Dressage, Intimidation"
Improved|Evasion,"",Science de|l'évasion
Sickened,"",Malade
Treat unarmed attacks as lawful weapons,"",Considère les attaques à mains nues comme des armes Loyales
METAMAGIC,"",MÉTAMAGIE
Apply this bonus to all knowledge skills,"",Appliquer ce bonus à toutes les compétences de connaissances
with Armour,"",avec armure
(Round up),"",(arrondi au supérieur)
INVENTORY,"",INVENTAIRE
Fortitude,"",Vigueur
/  Region,"",/ Région
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","Activer ou changer de représentation bardique par une action de mouvement,|à la place d'une action simple."
Attack|Penalty,"",Attaque|Pénalité
Saving throws against mythic effects are unaffected.,"",Les jets de sauvegarde contre les effets mythiques ne sont pas affectés
(RANGER),"",(RODEUR)
Use a full attack action for more attacks,"",Utiliser une attaque à outrance pour plus d'attaques
Neck / Throat,"","Nuque, cou"
SHARE FAVOURED ENEMY,"",PARTAGER ENNEMI JURE
JACK OF ALL TRADES,"",TOUCHE-À-TOUT
"When below 0hp, always stabilise without needing to make a constitution check (though bleed damage still counts).","","Quand vous êtes en dessous de 0pv, vous vous stabilisez toujours sans faire de jet de constitution (les dommages de saignement comptent toujours)"
Natural|Armour,"",Armure|Naturelle
lb,"",livres
Spell Save DC = 10 + WIS + Spell Level,"",DD de jet de sauvegarde d'un sort = 10 + SAG + niveau du sort
Sneaky,"",Sournois
Ranger Level,"",Niveau de rôdeur
Locate Traps,"",Détection de pièges
Acrobatics skill +4,"",Compétence d'acrobaties +4
Precise Shot,"",Tir Précis
String,"",Instruments à corde
Bully,"",Brute
Critical,"",Critique
"Bluff, Sense Motive","","Bluff, Psychologie"
Sing,"",Chant
DEFENCE & SAVING THROWS,"",DEFENSE & JETS DE SAUVEGARDE
Disable Traps,"",Désarmer les pièges
Wind Instruments,"",Instruments à vent
15ft,"","4,50 m"
Trap Sense +4,"",Sens des pièges +4
Armour AC,"",CA d'armure
Domain Spell,"",Sort de domaine
Bard|Level,"",Barde|Niveau
Manifester|Level,"",Manifestation|Niveau
Sleight of Hand,"",Escamotage
Book,"",Livre
"Diplomacy, Intimidate","","Diplomatie, Intimidation"
20 Reflex save,"",20 Sauvegarde Reflexe
Rounds Today,"",Tours aujourd'hui
MONEY,"",RICHESSES
NPC,"",PNJ
ARMOUR CLASS BONUS,"",BONUS DE CLASSE D'ARMURE
TRAPS,"",PIÈGES
Cannot run or charge|-2 Strength and Dexterity,"",Ne peut pas courir ou charger|-2 Force et Dextérité
INSPIRE COURAGE,"",INSPIRER LE COURAGE
• Fatigued,"",* Fatigué
Inflict Wounds,"",Infliger des blessures
CHA - 12,"",CHA - 12
Dying,"",Mourant
Spellcraft,"",Art de la magie
BONUS FEAT,"",DON SUPPLEMENTAIRE
Antipaladin|Level,"",Antipaladin|Niveau
Stat,"",Stat
Short,"",Court
Cause enemies within 30ft to become shaken,"",Les ennemis dans un rayon de 30pds sont secoués
+ 1d6,"",+ 1d6
d6 / 2d6,"",d6 / 2d6
EMPTY BODY,"",DÉSERTION DE L'ÂME
EFFECTS,"",EFFETS
ARMOUR CLASS,"",CLASSE D'ARMURE
Spell|Save DC,"",Sort|DD sauvegarde
HEALING|POINTS,"",POINTS DE VIE|SOIGNES
Blinded,"",Aveuglé
Times per day,"",Fois par jour
WELL-VERSED,"",Erudition
(MONK),"",(MOINE)
Mobility,"",Mobilité
Purity of Body,"",Pureté physique
PF-RPG,"",PF-JDR
"Acrobatics, Fly","","Acrobaties, Vol"
Regain one use of mythic power per hour.,"",Regagnez une utilisation de pouvoir magique par heure
Armour|Check|Penalty,"",Pénalité|d'Armure
Trap|Sense,"",Sens|des pièges
IN WINTER,"",EN HIVER
MYTHIC POWER,"",POUVOIR MYTHIQUE
• Bleed,"",• Saigne
MONK,"",MOINE
Recover all hit points with 8 hours rest,"",Récupérez tous vos points de vie après 8h de repos
CHA - 4,"",CHA - 4
Paladin|Level,"",Niveau|de Paladin
• Fascinated,"",* Fasciné
Unlimited uses|per day,"",Utilisations illimitées|par jour
LONG JUMP,"",SAUT EN LONGUEUR
BASE ATTACK|BONUS,"",BONUS DE BASE|A L'ATTAQUE
MASTER STRIKE,"",COUP DE MAÎTRE
Bonus,"",Bonus
CHARACTER,"",PERSONNAGE
Barbarian|Level,"",Niveau|de Barbare
Stun (or other effects) target for one round,"",Etourdi (ou autres effets) la cible pour un round
"Master strike cannot be used again on the same target within|24 hours, whether they pass the Fortitude save or not.","","Coup de maître ne peut pas être utilisé à nouveau sur la même cible endéans|24 heures, qu'elle passe son jet de vigueur ou non."
DIAMOND SOUL,"",CORPS DE DIAMANT
TATTOOS,"",TATOUAGES
APPEARANCE,"",APPARENCE
Improved Bull Rush,"",Science de la Bousculade
Improved Shield Bash,"",Science du Coup de Bouclier
Knowledge: Religion,"",Connaissances: Religion
Origin,"",Origine
COMBAT MANOEUVRES,"",MANOEUVRES DE COMBAT
Level|Adjustment,"",Ajustement|de niveau
Knowledge: Dungeoneering,"",Connaissances: Exploration
Current Shape,"",Forme actuelle
"Bluff, Disguise","","Bluff, Déguisement"
STR,"",STR
"Racial,|Feats,|Synergy","","Racial,|Dons,|Synergie"
AC,"",CA
ROGUE,"",ROUBLARD
1ft,"","0,30 m"
STATS,"",STATS
• Panicked,"",* Paniqué
FRIENDS AND FOES,"",AMIS ET ENNEMIS
days,"",jours
GOOD,"",BON
d6,"",d6
NPC GROUP,"",GROUPE DE PNJ
3d6,"",3d6
QUEST ITEMS,"",OBJETS DE QUETE
Act,"",Théâtre
FRIEND,"",AMI
FALL,"",CHUTE
Half-orc,"",Demi-orc
Weapon type,"",Type d'arme
Heavy Load,"",Charge lourde
Summoned|Today,"",Convoqués|Aujourd'hui
Caster|Level,"",Niveau de|Lanceur de Sort
Morale|Bonus,"",Moral|Bonus
per successive hit,"",par coup successif
HUNTER’S BOND,"",PACTE DU CHASSEUR
Improved Critical,"",CritiqueAmélioré
ft,"",pieds
Name,"",Nom
MOUNT,"",MONTURE
sq,"",cases
FEMALE,"",FEMELLE
TEAMWORK FEATS,"",DONS D'EQUIPE
CATCH LEDGE,"",SE RATTRAPER
FAVOURED ENEMIES,"",ENNEMIS JURÉS
Race,"",Race
"From level 10, a Rogue|can take Advanced Talents","","À partir du niveau 10, un Roublard|peut choisir des talents de maître roublard"
FEAT,"",DON
DEFENCE,"",DEFENSE
5ft,"","1,5 m"
Endurance,"",Endurance
KINGDOM MANAGEMENT,"",GESTION DU ROYAUME
DRUID,"",DRUIDE
Advanced Talents,"",Talents de maître roublard
Spell Resistance,"",Résistance à la magie
Character name,"",Nom de personnage
Farms,"",Fermes
(BARD),"",(BARDE)
INT - 12,"",INT - 12
Spell Save DC = 10 + INT + Spell Level,"",DD de jet de sauvegarde d'un sort = 10 + INT + niveau de sort
Use any skill as if you were trained,"",Utiliser n'importe quelle compétence comme si vous étiez formé
Elf,"",Elfe
gp,"",po
Shoulders,"",Epaules
CON,"",CON
AC Penalty,"",Pénalité à la CA
INT,"",INT
+1 per level,"",+1 par niveau
DEITY,"",DEITE
Caster Levels,"",Niveaux de lanceur de sort
Worn Items,"",Objets Portés
• Confused,"",• Confus
Artiste,"",Artiste
COMBAT ABILITIES,"",COMPETENCES DE COMBAT
DEX,"",DEX
Country,"",Pays
2d6 / 3d8,"",2d6 / 3d8
LEVELS,"",NIVEAUX
Strength,"",Force
