Original,Part of,Translation
BASE|ATTACK,BASE|ATTACK BONUS,GRUND-|ANGRIFF
Damage Reduction 3/,Damage Reduction 3/?,Schadensreduzierung 3/
) temporary hit points,) temporäre TP,|+2 attack
Allows you to make an extra attack at your full bonus,1," |but take a -2 penalty to attack rolls and -4 to"
CON,+ CON| per level,KO
Light Load,"",Leichte Last
Penalty applies to economy," all saves drop to 0 and kingdom cannot act"," loyalty and stability|From 10"
Announce before making an attack using a kama," sai or siangham. Roll the attack twice"," nunchaku"
As a full-round action,""," take a single move action and make a single attack at your highest attack bonus|against each enemies you encounter during your movement"
Diplomacy," Motiv erkennen"," Sense Motive"
Hit Die,"",Trefferwürfel
If multiclassing,1," remember to add up the values from all your classes."
step,Pack Attack    Ally’s attack allows you to take 5ft step,Schritt
Uses|per day,"",Einsetzbar|pro Tag
Using any combination of|unarmed strikes and Monk|weapons: Kama," Sai"," Nunchaku"
2d6,"",2W6
for the rest of the round,Charge  -2 to AC for the rest of the round,bis zur nächsten Runde
HEALTH,"",GESUNDHEIT
-2 to attack rolls," skill and ability checks"," damage rolls"
Ignore power attack penalty for first attack,Furious Focus    Ignore power attack penalty for first attack,Ignoriere den Heftiger Angriff Malus für die erste Attacke
One background trait,1," connected to your character’s origin"
Paladin|Level,"",Paladin-|stufe
upwind,"",strong smells double range
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Kritischer Effekt auf dem zweiten
Evil Cleric,"",Böser Kleriker
FEMALE,"",WEIBLICH
Ki Pool (lawful),"",Ki-Vorrat (Rechtschaffen)
2d8 / 4d8,"",2W8 / 4W8
BASE ATTACK,"",GRUND-ANGRIFF
Summon your totem creature as a standardaction,2," with extra temporary hit points"
TAKE 20,TAKE 20 PER DAY,20 NEHMEN
At 2nd," 14th and 18th level"," 6th"
Cleric|Level,"",Kleriker-|Stufe
Foes|Today,"",Gegner|Heute
Knowledge: The Planes,"",Wissen: Die Ebenen
MASS SUGGESTION,"",MASSENEINFLÜSTERUNG
Rogue|Level,"",Schurken|Stufe
Unaffected by wind,""," immune to deafness"
Basic|Damage,"",Grund-|Schaden
Charge through allies,""," turn 90° while charging"
d10,"",W10
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,MAX. GE
Multiplier,"",Multiplikator
Power Attack,"",Heftiger Angriff
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MAX. PUBLIKUM
TOTAL FUNDS,"",GESAMTVERMÖGEN
Bonus to Initiative," Stealth and Survival checks|while underground"," Knowledge (dungeoneering)"
per extra die,Devastating Strike    +2 per extra die,pro extra Würfel
SAVING THROWS,"",RETTUNGSWÜRFE
USES,USES|PER DAY,EINSETZBAR
+ 1d6,"",+ 1W6
4d8,"",4W8
Base|Spells,"",Grund-|zauber
M’wk,"",MA
Total Weight,"",Gesamtgewicht
2d10,"",2W10
Control Water,"  play for (spell level) rounds."," Control Weather"
Make a note of any other abilities your character gains at this level.|This may include extra spells," etc."," combat feats or feat-like choices"
Suppress pain," DR 5/— (DR 10/— nonlethal)"," stunning"
Base Save,"",Basis
Non-lethal,"",Nichttödlich
Skill Ranks,"",Fertigkeitsränge
SPECIAL MOUNT,"",REITTIER
AC,Shield Wall    +1 / +2 to AC when both using shields,RK
All skills are considered class skills,"",Alle Fertigkeiten gelten als Klassenfertigkeiten
Half of Ranger’s|Favoured Enemy|bonus granted to|allies within,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,Halber Erzfeindbonus|des Waldläufer|für Verbündete|innerhalb von
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Lied des Mutes und ähnliches
Not hampered by difficult terrain,"",|Take 10 on Climb and Swim
d6,"",W6
Apply this bonus to Acrobatics,""," Bluff"
Begin or switch a bardic performance as a move action,19,|rather than as a standard action.
Domain,"",Domäne
If drop below 0hp while driving,1," a DC15 Fortitude save allowsyou to remain in control of the vehicle."
Skill|Bonus,"",Fertigkeits-|bonus
As a move action,1," share half your Favoured Enemy bonus against a single target with all allies within 30 ft"
d4 / d8,"",W4 / W8
Reduces penalty to:,Two-weapon fighting    Reduces penalty to:,Reduziert Mali auf:
Act,"",Schauspielkunst
Allows you to reroll one of these checks,1," but you|must take the second result if you do"
Base|Attack Bonus,"",Grund-|angriffsbonus
Bonus to attack and damage rolls,"",Bonus auf Angriffs- und Waffenschadenswürfe
CHA - 4,"",CH - 4
Summoned|Today,"",Heute|beschworen
As a swift action,""," make a wisdom check (above). If successful"
Sickening Critical,"",Kränkelnd
Spellcraft,"",Zauberkunde
WILD EMPATHY,"",TIEREMPATHIE
Headband,"",Stirn
BONUS,MELEE ATTACK|BONUS,BONUS
Roll twice against charm or compulsion|Once per day,1," take 20 on any d20"
Enhancements,"",EIgenschaften
INT,"",IN
RANGED|ATTACK,"",NAHKAMPF|ANGRIFF
TALENTS,TALENTS|KNOWN,TALENTE
When ally is adjacent," zwei mal für zu Fallen bringen würfeln"," roll twice for trip"
Act in surprise round if ally can act,1,Kann in Überraschungsrunde handeln
On a critical,1," Fort (DC 10 + ½ level + DEX) or die"
1d8,"",1W8
As a move action,9," share half your Favoured Enemy|bonus against a single target with all allies within 30 ft"
Base,"",Basis
BONUS,MAX ARMOUR|DEX BONUS,BONUS
FOES,FOES|PER DAY,GEGNER
LANGUAGES,"",SPRACHEN
Monk Level,"",Mönchstufe
STR,"",ST
Improved Vital Strike,"",Verbesserter Konzentrierter Schlag
AC,Improved Back to Back    +2 to ally’s AC,RK
Bonus in swamp terrain,2," cannot be tracked"
CHAOTIC,"",CHAOTISCH
Increased speed in medium or heavy|armour,1," providing this is still below|your normal move speed"
Subtype,"",Unterart
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,um Zauberresistenz zu überwinden
When ally feints,1," gain AoO"
At odd-numbered levels,1," you get to pick a feat.|Make sure your character qualifies for the feat’s preconditions."
FRIGHTENING TUNE,"",LIED DER FURCHT
Raise Dead or similar spell is necessary to recover,1,|but if used during the duration has no material cost.
Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also,1," CMB to knock prone"
Call Barrage is only available on battlefields wherethe Protectorate has deployed its artillery.|Calling a barrage is a standard action,1," but thebarrage will arrive at the start of your next turn."
FASCINATE,FASCINATE|MAX AUDIENCE,FASZINIEREN
to ally’s,Improved Back to Back    +2 to ally’s AC,auf Verbündete
Trained in poisons,1," and cannot accidentally poison yourself."
Begin or switch a battle dance as a swift action,1,|rather than as a move action.
Bluff,"",Bluffen
Cast one spell using a metamagic feat,1,|without increasing its casting time.
CHA - 8,"",CH - 8
DOMAINS,"",DOMÄNEN
Name,"",Name
Once per day,1," manifest one power with a"
to attack |until the end of your turn," Reflex saves and a dodge bonus to"," and ignore damage reduction and hardness.|Alternatively"
Use your base or animal score,1," whichever is higher"
DEFENCE,COMBAT MANOEUVRE|DEFENCE,VERTEIDIGUNG
Knowledge: Dungeoneering,"",Wissen: Gewölbekunde
Other:,"",Sonstige:
Sense Motive,"",Motiv erkennen
Steal a spell from one target,1," and cast it while still performing"
CHARACTER,"",CHARAKTER
No longer age,31," cannot be magically aged"
Two-handed weapon,"",Zweihandwaffe
WIS - 12,"",WE - 12
CON,"",KO
JACK OF ALL TRADES,"",TAUSENDSASSA
PARTY INVENTORY,"",GRUPPENINVENTAR
Ring,"",Ring
SMITE EVIL,"",BÖSES NIEDERSTRECKEN
(ROGUE),"",(SCHURKE)
Add half your level to the DC of Sense Motive,2,|Diplomacy and Knowledge checks about you
BARDIC KNOWLEDGE,"",BARDENWISSEN
Disguise,"",Verkleiden
FIGHTER,"",KÄMPFER
Notes,"",Notizen
Once a day as a standard action,1," swap customisations:"
Spirit heal,2," mass"
+2 to skill checks,""," caster level checks and saving throwsif pertaining to glyphs"
AC,Charge  -2 to AC for the rest of the round,RK
Enemies are frightened and flee your performance,"",Gegner werden in Angst versetzt und fliehen
Use the starting wealth for your class,1," or a value supplied by your GM."
Bonus Spells,Bonus Spells|WIS,Bonus Zauber
to,Coordinated Defence    +2 to CMD,auf die
VERSATILE PERFORMANCE,"",VIELSEITIGER AUFTRITT
EQUIPMENT,"",AUSRÜSTUNG
Make attacks of opportunity against creatures attempting|a grapple,1," even if they have the Improved Grapple feat."
per level,+ INT| per level,pro Stufe
Ask your GM how to create your basis scores. He might give you a|fixed array,""," ask you to roll dice"
Attack bonus|From level 10,1," bonus doubles to confirm critical hits"
Creature|Level,"",Kreaturen-|stufe
CURE / INFLICT,"",HEILEN / VERURSACHEN
MAX AFFECTED,INSPIRE HEROICS  MAX AFFECTED,MAX. BEINFLUSST
Leave no trail,11," unless deliberately"
Sickened,"",Kränkelnd
TOUCH,TOUCH ARMOUR CLASS,BERÜHRUNG
When flanking,Outflank    When flanking,beim in die Zange nehmen
Before making a stealth check,1," allocate sneak points."
Channelling positive energy uses up two of today’s|uses of Lay On Hands.,"",Positive Energie fokussiern verbraucht zählt als|zwei mal Handauflegen
Control your descent by ricocheting between two or more walls no more than 10ft apart.|You can end the drop by diving through a window,1," balconyor other opening.|The DC for this Acrobatics check is 5 for each 10ft dropped."
Evasion,"",Entrinnen
String,"",Saiteninstrumente
Trap|Sense,"",Fallen-|gespür
?estroy all un?ea?. ?ut to rest the poor|souls turned against their will. ?reven? |?he taint of un?eath from spreading to the|newly ?ea?,1," blessing or burning th?|corpses as necessar?."
Ability|Score,"",Attributs-|wert
Ki Pool (magic),"",Ki-Vorrat (Magisch)
Endure cold,2," immune to dazzling"
CMB,"",KMB
CRIT,"",KRIT.
On gaining psionic focus,1," choose one enemy type:"
Scrolls," Components"," Potions"
All spells,1," channelling and other effects to heal undeadare “empowered” for +50%."
Temp Speed,"",Temp.
Unconscious,"",Bewusstlos
Bonus Spells,Bonus Spells|CHA,Bonuszauber
DMG,"",SCHADEN
DRUID,"",DRUIDE
FAVOURED TERRAIN BONUS,"",BEVORZUGTES GELÄNDE BONUS
Knowledge: Arcana,"",Wissen: Arkanes
While surging,""," receive a morale bonus to |attack rolls"
Sing,"",Gesang
to concentration checks,Shielded Caster    +4 to concentration checks,auf Konzentrationswürfe
Today,"",Heute
Cannot be moved,1," even by teleportation"
Conditional Modifiers,"",Umstandsmodifikatoren
No Trace bonus is added to:| • the DC of a Survival check to track the Ninja,1,| • Disguise skill checks| • opposed Stealth checks while stationary
Other skills:|Craft - INT|Perform - CHA,"",Andere Fertigkeiten:|Handwerks - IN|Auftreten – CH
Smiting damage bonus applies double for the|first successful strike against evil outsiders," |Böse Drachen oder Untote werden verdoppelt"," |evil dragons and the undead."
ARMOUR CLASS,TOUCH ARMOUR CLASS,RÜSTUNGSKLASSE
DURATION,DURATION|PER DAY,DAUER
skills,1," opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed"
Track,"",Spuren suchen 
WANDS,"",ZAUBERSTÄBE
When deconstructing a wand with some spent charges,1," the value|recovered is an equivalent fraction of the cost of the wand."
If you fail a save against becoming dazed," make a second save to negate|the effect at the start of your next turn"," frightened"
lb,"",Pfd.
WELL-VERSED,"",BEWANDERT
"",1," Bonus Feat"
Counter magical effects that depend on sight.|Allies within 30ft use Performance roll in place of a saving throw,"",Bannt auf Sicht basierende magische Effekte.Kreaturen innerhalb|von 9m nutzen den Auftrittswurf des Barden als RW.
If vacant," or buy city districts"," +4 unrest at upkeep and cannot claim hexes"
WEAPON,WEAPON BONUSES,WAFFEN
ARMOUR CLASS,"",RÜSTUNGSKLASSE
coins,"",Münzen
As a full round,1," target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall"
Neck / Throat,"",Hals
Oratory,"",Redekunst
dice,"",Würfel
Ki Pool (adamantine),"",Ki-Vorrat (Adamant)
Natural|Armour,"",Natürliche|Rüstung
of selected energy type,1," using any weapon."
per die,Improved Devastating Strike  +2 per die,pro Würfel
DC 20|The bird flutters distractingly around an enemy. On a successful attack,1," the enemy is shaken."
Great Cleave,Great Cleave    Any number of extra attacks per round,Rundumschlag
Unarmed Strike,"",Waffenloser Schlag
Acrobatics," Fliegen"," Fly"
As a standard action,1," gain temporary customisation points"
Morale|Bonus,"",Moral-|bonus
OF,"",VON
skills,9," opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed"
Spell|Save DC,"",Zauber|Rettungs SG
Weapon type,"",Waffengruppe
for overrun manoeuvres,"",|reflex saves against trample attacks
PERFORMANCES,"",AUFTRITTE
Temp Attack|Bonus,"",Temp. Angriffs-|bonus
ABILITIES,"",ATTRIBUTSWERTE
KI POOL,"",Ki-Vorrat
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Zweithandwaffe
Doesn’t stack with magic bonus,Masterwork     Doesn’t stack with magic bonus,Nicht kumulativ mit magischen Boni
Instead of Merciful Healing,1," you may opt to reroll any 1s."
One extra attack at full bonus,Haste    One extra attack at full bonus,Ein zusätzlicher Angriff mit vollem Bonus
Sneak attack damage can be applied when a target is flanked oris denied their DEX bonus to AC.|On ranged attacks,2," it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon."
TRAP SENSE,TRAP SENSE|REFLEX BONUS,FALLENGESPÜR
When using a dagger," kukri"," punching dagger"
Bonus feats should be Psionic Feats,2," Metapsionic Feats|or Psionic Item Creation Feats"
MELEE,"",NAHKAMPF
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to 5/—,Durchschlag. Hieb
SKILLS,"",FERTIGKEITEN
(require,"",(benötigt
2,1," Nimble"
BONUS,EVIL DAMAGE|BONUS,BONUS
Bonus applies to saving throws against illusions,1,|and caster level checks and saving throws to see through disguises
Cleave,Cleave    Extra attack if you hit,Doppelschlag
to,Back to Back    +2 to AC against flanking,auf
Hat / Mask,"",Kopf
If this attack of opportunity hits,1," gain a +2 circumstance |bonus to your"
Improved Critical / Keen weapon / Keen magical effect,"",Verb. Krit. Treffer / Scharfe Waffe
Item|Bonus,"",Gegenstands-|boni
Staggering Critical,"",Wankend
Temp|Score,"",Temporärer|Wert
2 Bonus hit dice|+ 2d10 (including CON),"",2 Bonus Trefferwürfel|+ 2W10 (+ KO Modifikatoren)
AC,Feint Partner    When ally feints,RK
Allies are treated as invisible,1," cannot include yourself"
LAY ON HANDS,"",HANDAUFLEGEN
No action this round|Lose DEX bonus to AC,2," -2 AC"
Deflection|Modifier,"",Ablenkungs-|modifikator
INIT,"",INIT
Level +2 to wild shape into your totem creature,2," -2 otherwise"
Cause an enemy to die of joy or sorrow,"",Einen Gegner vor Freude oder Kummer sterben lassen
Cause the healing effect from a wand,1," potion or |similar item to use your Bard level as its caster level"
Master strike cannot be used again on the same target within|24 hours," ob der RW erfolgreich war oder nicht"," whether they pass the Fortitude save or not."
AC,Back to Back    +2 to AC against flanking,RK
Climb Speed,"",Kletternd
If successful,1," you blend into the crowd"
